COD_DANE,NOMBRE_MPI,DPTO_CNMBR,year,loss_pixels,loss_area_ha,baseline_forest,proyectos_ecoregistry_co,proyectos_goldstandard_co,proyectos_offsetsdb_co,proyectos_acr_co,proyectos_climateactiondata_co,proyectos_carbono_total,poblacion_dane,temp_media_c,prec_anual_mm,proyectos_carbono_co,proyectos_berkeley_co,proyectos_cdm_co
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2001,3473,312.57,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2002,1546,139.14,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2003,427,38.43,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2004,987,88.83,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2005,1271,114.39,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2006,1363,122.67,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2007,3123,281.07,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2008,1006,90.54,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2009,2203,198.27,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2010,1587,142.82999999999998,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2011,640,57.6,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2012,1202,108.18,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2013,291,26.19,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2014,440,39.6,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2015,145,13.05,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2016,214,19.26,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2017,260,23.4,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2018,300,27.0,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2019,282,25.38,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2020,297,26.73,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2021,172,15.48,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2022,97,8.73,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2023,216,19.44,38731.68,0,0,0,0,0,0,,,,0,0,0
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2024,571,51.39,38731.68,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2001,1387,124.83,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2002,729,65.61,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2003,519,46.71,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2004,1110,99.9,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2005,451,40.59,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2006,1110,99.9,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2007,911,81.99,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2008,3933,353.97,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2009,2783,250.47,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2010,447,40.23,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2011,1367,123.03,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2012,1424,128.16,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2013,2166,194.94,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2014,3900,351.0,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2015,3967,357.03,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2016,2838,255.42,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2017,2273,204.57,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2018,6575,591.75,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2019,1609,144.81,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2020,1251,112.59,18691.29,0,0,0,0,0,0,,,,0,0,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,2021,2954,265.86,18691.29,0,0,0,0,0,0,,,,0,0,0
