COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos
05001,MEDELLÍN,ANTIOQUIA,22588.37376280268,20081.22824318067,16623.509389185412,
05002,ABEJORRAL,ANTIOQUIA,38726.58806039049,33980.1042892182,27135.647038127787,
05004,ABRIAQUÍ,ANTIOQUIA,26721.57629056445,25252.53419445941,22050.321546843552,
05021,ALEJANDRÍA,ANTIOQUIA,10851.368113714116,9870.875512443909,8480.029522705301,
05030,AMAGÁ,ANTIOQUIA,7264.200777240081,6525.268658759546,5389.975661553155,
05031,AMALFI,ANTIOQUIA,111509.56649281833,105910.69512120775,96782.74139027836,
05034,ANDES,ANTIOQUIA,37053.48104088151,34942.32269162174,30001.72697603318,
05036,ANGELÓPOLIS,ANTIOQUIA,7548.149394112774,7130.128956369252,6460.917982683253,
05038,ANGOSTURA,ANTIOQUIA,28859.190244251186,25818.47278629889,20398.18740451419,
05040,ANORÍ,ANTIOQUIA,135407.85762101586,131714.19648520608,123811.7164670923,
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,34318.15541868819,27895.807483881257,19741.37505014738,
05044,ANZÁ,ANTIOQUIA,17226.55979322539,14301.027930288135,10412.899875803763,
05045,APARTADÓ,ANTIOQUIA,49492.69021830275,48410.68843652725,45365.22821099729,
05051,ARBOLETES,ANTIOQUIA,42498.00149000891,37127.66849897528,26952.450488679173,
05055,ARGELIA,ANTIOQUIA,22250.92808473034,21299.86669734215,19405.27744046571,
05059,ARMENIA,ANTIOQUIA,7631.433805291213,5893.186414464288,4294.094446233434,
05079,BARBOSA,ANTIOQUIA,16694.997030800696,14416.805273841002,10611.548905738571,
05086,BELMIRA,ANTIOQUIA,23295.93062364849,21182.28109910985,16579.85890377521,
05088,BELLO,ANTIOQUIA,9351.703056399305,8159.420613139701,5908.809886350678,
05091,BETANIA,ANTIOQUIA,16337.43362678816,15585.995006897025,13629.12397531106,
05093,BETULIA,ANTIOQUIA,18000.48076230887,15506.869863512988,12356.996497395534,
05101,CIUDAD BOLÍVAR,ANTIOQUIA,22227.973004609485,20655.77552250752,17402.640972630874,
05107,BRICEÑO,ANTIOQUIA,34754.710797817,33188.41853257081,29734.480411390054,
05113,BURITICÁ,ANTIOQUIA,22878.585700829502,19599.145010229742,15278.089830366627,
05120,CÁCERES,ANTIOQUIA,123086.6858985216,115419.91574721524,101360.01785813484,
05125,CAICEDO,ANTIOQUIA,16064.686200474893,14556.586761218505,11714.498020121193,
05129,CALDAS,ANTIOQUIA,12007.160383926015,11475.846364410298,10519.945718686227,
05134,CAMPAMENTO,ANTIOQUIA,20070.22463356115,18013.033804355364,14736.186495993465,
05138,CAÑASGORDAS,ANTIOQUIA,34647.689536078135,33290.546993996424,30458.314877961056,
05142,CARACOLÍ,ANTIOQUIA,21583.19394827945,20236.231944086816,17444.716955766733,
05145,CARAMANTA,ANTIOQUIA,6669.014986785477,5937.888482982968,4741.437048776437,
05147,CAREPA,ANTIOQUIA,31583.018551009696,29649.72062227233,25491.998734075325,
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,34923.68925472025,32799.88009564385,28864.26864631696,
05150,CAROLINA,ANTIOQUIA,12011.947976070614,10667.937956618987,8724.483763343082,
05154,CAUCASIA,ANTIOQUIA,63069.633810407664,54175.74941170182,39495.95374669923,
05172,CHIGORODÓ,ANTIOQUIA,50790.90489964144,45777.94556891037,37583.957752833616,
05190,CISNEROS,ANTIOQUIA,3639.111592472446,3006.404864165141,2222.354215333304,
05197,COCORNÁ,ANTIOQUIA,22916.28570853867,21326.23312920932,18647.60081306521,
05206,CONCEPCIÓN,ANTIOQUIA,16514.91460260033,14069.851319540248,10496.563725940654,
05209,CONCORDIA,ANTIOQUIA,15075.919212323766,12694.813489253946,9733.379066804608,
05212,COPACABANA,ANTIOQUIA,4693.158970260429,3946.593753458385,2975.3630125875616,
05234,DABEIBA,ANTIOQUIA,190619.0730635856,187781.7051048481,180805.50719054308,
05237,DONMATÍAS,ANTIOQUIA,15266.944307184773,13284.451154381026,9178.848289497184,
05240,EBÉJICO,ANTIOQUIA,19513.67938180987,16938.70997954852,13408.41292282504,
05250,EL BAGRE,ANTIOQUIA,147097.9357756647,145079.40507691097,140055.15571917294,
05264,ENTRERRÍOS,ANTIOQUIA,16457.592736362283,15077.326252686702,11059.918736464137,
05266,ENVIGADO,ANTIOQUIA,5440.565436470468,4902.987630955073,4021.962955327597,
05282,FREDONIA,ANTIOQUIA,18875.453210025466,15024.807762674802,10824.761581317394,
05284,FRONTINO,ANTIOQUIA,132895.82675468107,129302.64776884628,121775.95525099232,
05306,GIRALDO,ANTIOQUIA,6652.979300693677,5718.538174354075,4313.238439409561,
05308,GIRARDOTA,ANTIOQUIA,5607.134094471308,4535.361429416674,3034.51633393914,
05310,GÓMEZ PLATA,ANTIOQUIA,27466.79816087237,24492.566723396347,20032.04165996139,
05313,GRANADA,ANTIOQUIA,15110.015502136908,12681.270823376177,9620.299235648828,
05315,GUADALUPE,ANTIOQUIA,9210.390014445542,7870.041794611607,5997.184208502912,
