COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,px_bosque_tc30,baseline_forest_tc50,baseline_forest_tc75,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
05001,MEDELLÍN,ANTIOQUIA,22737.156034652537,254151,20213.36227957858,16732.784494469008,local:Colombia_treecover2000.tif,Colombia_treecover2000,22737.156034652537,37474.14844977222,2026-09-20T09:50:08
05002,ABEJORRAL,ANTIOQUIA,38984.04407642922,435391,34206.78135185816,27316.69994467531,local:Colombia_treecover2000.tif,Colombia_treecover2000,38984.04407642922,50695.97822742411,2026-09-20T09:50:08
05004,ABRIAQUÍ,ANTIOQUIA,26896.533481239254,300861,25418.008351690398,22195.314361177225,local:Colombia_treecover2000.tif,Colombia_treecover2000,26896.533481239254,29697.418845333672,2026-09-20T09:50:08
05021,ALEJANDRÍA,ANTIOQUIA,10925.53664390105,122148,9937.973778028769,8536.544252471129,local:Colombia_treecover2000.tif,Colombia_treecover2000,10925.53664390105,12885.643128695456,2026-09-20T09:50:08
05030,AMAGÁ,ANTIOQUIA,7312.638429974307,81704,6569.238536579433,5426.56521938755,local:Colombia_treecover2000.tif,Colombia_treecover2000,7312.638429974307,8411.714469905743,2026-09-20T09:50:08
05031,AMALFI,ANTIOQUIA,112240.76221244794,1256447,106606.03308187128,97419.4667463275,local:Colombia_treecover2000.tif,Colombia_treecover2000,112240.76221244794,120834.61881013487,2026-09-20T09:50:08
05034,ANDES,ANTIOQUIA,37297.031702053515,416415,35172.496821336696,30199.57563155348,local:Colombia_treecover2000.tif,Colombia_treecover2000,37297.031702053515,40245.0598820729,2026-09-20T09:50:08
05036,ANGELÓPOLIS,ANTIOQUIA,7597.773371811289,84904,7176.910096349689,6503.603335232469,local:Colombia_treecover2000.tif,Colombia_treecover2000,7597.773371811289,8186.176766327447,2026-09-20T09:50:08
05038,ANGOSTURA,ANTIOQUIA,29050.223387304,325108,25989.341516469747,20533.7461485054,local:Colombia_treecover2000.tif,Colombia_treecover2000,29050.223387304,33836.18495372525,2026-09-20T09:50:08
05040,ANORÍ,ANTIOQUIA,136294.39100985136,1526409,132576.35933613038,124622.58510707045,local:Colombia_treecover2000.tif,Colombia_treecover2000,136294.39100985136,141295.6956988733,2026-09-20T09:50:08
