COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,baseline_forest_tc50,baseline_forest_tc75,n_fragmentos,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
05001,MEDELLÍN,ANTIOQUIA,22588.37376280268,20081.22824318067,16623.509389185412,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,22588.37376280268,,2026-09-20T17:41:03
05002,ABEJORRAL,ANTIOQUIA,38726.58806039049,33980.1042892182,27135.647038127787,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,38726.58806039049,,2026-09-20T17:41:03
05004,ABRIAQUÍ,ANTIOQUIA,26721.57629056445,25252.53419445941,22050.321546843552,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,26721.57629056445,,2026-09-20T17:41:03
05021,ALEJANDRÍA,ANTIOQUIA,10851.368113714116,9870.875512443909,8480.029522705301,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,10851.368113714116,,2026-09-20T17:41:03
05030,AMAGÁ,ANTIOQUIA,7264.200777240081,6525.268658759546,5389.975661553155,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,7264.200777240081,,2026-09-20T17:41:03
05031,AMALFI,ANTIOQUIA,111509.56649281833,105910.69512120775,96782.74139027836,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,111509.56649281833,,2026-09-20T17:41:03
05034,ANDES,ANTIOQUIA,37053.48104088151,34942.32269162174,30001.72697603318,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,37053.48104088151,,2026-09-20T17:41:03
05036,ANGELÓPOLIS,ANTIOQUIA,7548.149394112774,7130.128956369252,6460.917982683253,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,7548.149394112774,,2026-09-20T17:41:03
05038,ANGOSTURA,ANTIOQUIA,28859.190244251186,25818.47278629889,20398.18740451419,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,28859.190244251186,,2026-09-20T17:41:03
05040,ANORÍ,ANTIOQUIA,135407.85762101586,131714.19648520608,123811.7164670923,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,135407.85762101586,,2026-09-20T17:41:03
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,34318.15541868819,27895.807483881257,19741.37505014738,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,34318.15541868819,52555.322525760144,2026-09-20T17:41:03
05044,ANZÁ,ANTIOQUIA,17226.55979322539,14301.027930288135,10412.899875803763,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,17226.55979322539,,2026-09-20T17:41:03
05045,APARTADÓ,ANTIOQUIA,49492.69021830275,48410.68843652725,45365.22821099729,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,49492.69021830275,,2026-09-20T17:41:03
05051,ARBOLETES,ANTIOQUIA,42498.00149000891,37127.66849897528,26952.450488679173,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,42498.00149000891,,2026-09-20T17:41:03
05055,ARGELIA,ANTIOQUIA,22250.92808473034,21299.86669734215,19405.27744046571,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,22250.92808473034,,2026-09-20T17:41:03
05059,ARMENIA,ANTIOQUIA,7631.433805291213,5893.186414464288,4294.094446233434,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,7631.433805291213,,2026-09-20T17:41:03
05079,BARBOSA,ANTIOQUIA,16694.997030800696,14416.805273841002,10611.548905738571,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,16694.997030800696,,2026-09-20T17:41:03
05086,BELMIRA,ANTIOQUIA,23295.93062364849,21182.28109910985,16579.85890377521,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,23295.93062364849,,2026-09-20T17:41:03
05088,BELLO,ANTIOQUIA,9351.703056399305,8159.420613139701,5908.809886350678,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,9351.703056399305,,2026-09-20T17:41:03
05091,BETANIA,ANTIOQUIA,16337.43362678816,15585.995006897025,13629.12397531106,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,16337.43362678816,,2026-09-20T17:41:03
05093,BETULIA,ANTIOQUIA,18000.48076230887,15506.869863512988,12356.996497395534,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,18000.48076230887,,2026-09-20T17:41:03
05101,CIUDAD BOLÍVAR,ANTIOQUIA,22227.973004609485,20655.77552250752,17402.640972630874,,gee:UMD/hansen/global_forest_change_2024_v1_12,global_forest_change_2024_v1_12,22227.973004609485,,2026-09-20T17:41:03
