COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest,pixeles_totales
05001,MEDELLÍN,ANTIOQUIA,22873.59,421441
05002,ABEJORRAL,ANTIOQUIA,39185.28,569829
05004,ABRIAQUÍ,ANTIOQUIA,27077.489999999998,333937
05021,ALEJANDRÍA,ANTIOQUIA,10993.32,145065
05030,AMAGÁ,ANTIOQUIA,7353.45,94551
05031,AMALFI,ANTIOQUIA,113080.59,1362026
05034,ANDES,ANTIOQUIA,37477.979999999996,451823
05036,ANGELÓPOLIS,ANTIOQUIA,7641.36,92019
05038,ANGOSTURA,ANTIOQUIA,29259.719999999998,381142
05040,ANORÍ,ANTIOQUIA,137376.81,1593152
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,34770.24,591074
05044,ANZÁ,ANTIOQUIA,17444.61,287677
05045,APARTADÓ,ANTIOQUIA,50291.369999999995,603078
05051,ARBOLETES,ANTIOQUIA,43251.659999999996,851509
05055,ARGELIA,ANTIOQUIA,22508.55,275664
05059,ARMENIA,ANTIOQUIA,7726.049999999999,124104
05079,BARBOSA,ANTIOQUIA,16912.26,231344
05086,BELMIRA,ANTIOQUIA,23606.73,332954
05088,BELLO,ANTIOQUIA,9473.039999999999,166153
05091,BETANIA,ANTIOQUIA,16528.5,202712
05093,BETULIA,ANTIOQUIA,18226.89,294870
05101,CIUDAD BOLÍVAR,ANTIOQUIA,22492.26,296244
05107,BRICEÑO,ANTIOQUIA,35257.5,423897
05113,BURITICÁ,ANTIOQUIA,23192.46,399786
05120,CÁCERES,ANTIOQUIA,124989.65999999999,2113528
05125,CAICEDO,ANTIOQUIA,16273.529999999999,224996
05129,CALDAS,ANTIOQUIA,12151.98,149227
05134,CAMPAMENTO,ANTIOQUIA,20353.41,261530
05138,CAÑASGORDAS,ANTIOQUIA,35126.28,410489
05142,CARACOLÍ,ANTIOQUIA,21860.28,295699
05145,CARAMANTA,ANTIOQUIA,6743.79,103380
05147,CAREPA,ANTIOQUIA,32089.14,436310
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,35346.869999999995,460118
05150,CAROLINA,ANTIOQUIA,12176.01,168393
05154,CAUCASIA,ANTIOQUIA,64074.869999999995,1612868
05172,CHIGORODÓ,ANTIOQUIA,51578.46,812712
05190,CISNEROS,ANTIOQUIA,3686.31,52760
05197,COCORNÁ,ANTIOQUIA,23193.989999999998,289983
05206,CONCEPCIÓN,ANTIOQUIA,16725.239999999998,227288
05209,CONCORDIA,ANTIOQUIA,15259.949999999999,278511
05212,COPACABANA,ANTIOQUIA,4752.45,76302
05234,DABEIBA,ANTIOQUIA,193302.81,2202038
05237,DONMATÍAS,ANTIOQUIA,15465.06,222898
05240,EBÉJICO,ANTIOQUIA,19763.82,267289
05250,EL BAGRE,ANTIOQUIA,149400.81,1760560
05264,ENTRERRÍOS,ANTIOQUIA,16676.91,241100
05266,ENVIGADO,ANTIOQUIA,5506.11,89380
05282,FREDONIA,ANTIOQUIA,19101.059999999998,285508
05284,FRONTINO,ANTIOQUIA,134681.13,1556190
05306,GIRALDO,ANTIOQUIA,6740.82,105068
05308,GIRARDOTA,ANTIOQUIA,5679.63,93202
05310,GÓMEZ PLATA,ANTIOQUIA,27835.469999999998,373931
05313,GRANADA,ANTIOQUIA,15296.039999999999,213891
05315,GUADALUPE,ANTIOQUIA,9337.77,133104
05318,GUARNE,ANTIOQUIA,9444.6,170767
05321,GUATAPÉ,ANTIOQUIA,5257.26,93707
05347,HELICONIA,ANTIOQUIA,10651.32,129140
05353,HISPANIA,ANTIOQUIA,4270.7699999999995,60841
05360,ITAGÜÍ,ANTIOQUIA,579.24,22081
05361,ITUANGO,ANTIOQUIA,270561.6,3200252
05364,JARDÍN,ANTIOQUIA,18514.71,225907
05368,JERICÓ,ANTIOQUIA,13584.689999999999,230264
05376,LA CEJA,ANTIOQUIA,9204.119999999999,149162
05380,LA ESTRELLA,ANTIOQUIA,2641.95,41371
05390,LA PINTADA,ANTIOQUIA,4157.28,60996
05400,LA UNIÓN,ANTIOQUIA,12216.33,188510
05411,LIBORINA,ANTIOQUIA,17849.16,243492
05425,MACEO,ANTIOQUIA,37334.97,512863
05440,MARINILLA,ANTIOQUIA,6102.54,126278
05467,MONTEBELLO,ANTIOQUIA,6904.889999999999,85423
05475,MURINDÓ,ANTIOQUIA,122034.51,1423246
05480,MUTATÁ,ANTIOQUIA,96909.93,1209735
05483,NARIÑO,ANTIOQUIA,27110.07,355849
05490,NECOCLÍ,ANTIOQUIA,90236.61,1416487
05495,NECHÍ,ANTIOQUIA,66160.8,1058364
05501,OLAYA,ANTIOQUIA,7054.469999999999,97855
05541,PEÑOL,ANTIOQUIA,7407.54,133077
05543,PEQUE,ANTIOQUIA,34999.11,488662
05576,PUEBLORRICO,ANTIOQUIA,6437.07,84718
05579,PUERTO BERRÍO,ANTIOQUIA,79906.41,1373271
05585,PUERTO NARE,ANTIOQUIA,36748.08,651872
05591,PUERTO TRIUNFO,ANTIOQUIA,18031.68,415542
05604,REMEDIOS,ANTIOQUIA,172757.79,2215993
05607,RETIRO,ANTIOQUIA,20196.18,272033
05615,RIONEGRO,ANTIOQUIA,9445.14,220272
05628,SABANALARGA,ANTIOQUIA,22059.54,299132
05631,SABANETA,ANTIOQUIA,1092.42,17603
05642,SALGAR,ANTIOQUIA,24432.12,323785
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,19141.92,232846
05649,SAN CARLOS,ANTIOQUIA,67667.22,806346
05652,SAN FRANCISCO,ANTIOQUIA,35389.53,398404
05656,SAN JERÓNIMO,ANTIOQUIA,13587.84,171131
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,10274.22,141918
05659,SAN JUAN DE URABÁ,ANTIOQUIA,16679.16,284604
05660,SAN LUIS,ANTIOQUIA,49470.93,583233
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,18206.46,264684
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,28591.92,680015
05667,SAN RAFAEL,ANTIOQUIA,33801.659999999996,409431
05670,SAN ROQUE,ANTIOQUIA,36308.79,478053
05674,SAN VICENTE FERRER,ANTIOQUIA,15372.09,259219
05679,SANTA BÁRBARA,ANTIOQUIA,15959.25,220418
05686,SANTA ROSA DE OSOS,ANTIOQUIA,63447.299999999996,973285
05690,SANTO DOMINGO,ANTIOQUIA,23469.66,299314
05697,EL SANTUARIO,ANTIOQUIA,4837.23,93966
05736,SEGOVIA,ANTIOQUIA,109219.76999999999,1278136
05756,SONSÓN,ANTIOQUIA,108010.26,1513064
05761,SOPETRÁN,ANTIOQUIA,18190.62,246403
05789,TÁMESIS,ANTIOQUIA,16933.86,283283
05790,TARAZÁ,ANTIOQUIA,95317.92,1295415
05792,TARSO,ANTIOQUIA,9050.94,135322
05809,TITIRIBÍ,ANTIOQUIA,10348.38,157716
