COD_DANE,year,proyectos_berkeley_co
05034,2007,1
05034,2008,1
05034,2009,1
05034,2010,1
05034,2011,1
05034,2012,1
05034,2013,1
05034,2014,1
05034,2015,1
05034,2016,1
05034,2017,1
05034,2018,1
05034,2019,1
05034,2020,1
05034,2021,1
05034,2022,1
05034,2023,1
05034,2024,1
05079,2014,1
05079,2015,1
05079,2016,1
05079,2017,1
05079,2018,1
05079,2019,1
05079,2020,1
05079,2021,1
05079,2022,1
05079,2023,1
05079,2024,1
05120,2002,1
05120,2003,1
05120,2004,1
05120,2005,1
05120,2006,1
05120,2007,1
05120,2008,1
05120,2009,1
05120,2010,1
05120,2011,1
05120,2012,1
05120,2013,1
05120,2014,1
05120,2015,1
05120,2016,1
05120,2017,1
05120,2018,1
05120,2019,1
05120,2020,1
05120,2021,1
05120,2022,1
05120,2023,1
05120,2024,1
05480,2013,1
05480,2014,1
05480,2015,1
05480,2016,1
05480,2017,1
05480,2018,1
05480,2019,1
05480,2020,1
05480,2021,1
05480,2022,1
05480,2023,1
05480,2024,1
05642,2018,1
05642,2019,1
05642,2020,1
05642,2021,1
05642,2022,1
05642,2023,1
05642,2024,1
05858,2007,1
05858,2008,1
05858,2009,1
05858,2010,1
05858,2011,1
05858,2012,1
05858,2013,1
05858,2014,1
05858,2015,1
05858,2016,1
05858,2017,1
05858,2018,1
05858,2019,1
05858,2020,1
05858,2021,1
05858,2022,1
05858,2023,1
05858,2024,1
05887,2016,1
05887,2017,1
05887,2018,1
05887,2019,1
05887,2020,1
05887,2021,1
05887,2022,1
05887,2023,1
05887,2024,1
13212,2007,1
13212,2008,1
13212,2009,1
13212,2010,1
13212,2011,1
13212,2012,1
13212,2013,1
13212,2014,1
13212,2015,1
13212,2016,1
13212,2017,1
13212,2018,1
13212,2019,1
13212,2020,1
13212,2021,1
13212,2022,1
13212,2023,1
13212,2024,1
15236,2015,1
15236,2016,1
15236,2017,1
15236,2018,1
15236,2019,1
15236,2020,1
15236,2021,1
15236,2022,1
15236,2023,1
15236,2024,1
17174,2003,1
17174,2004,1
17174,2005,1
17174,2006,1
17174,2007,1
17174,2008,1
17174,2009,1
17174,2010,1
17174,2011,1
17174,2012,1
17174,2013,1
17174,2014,1
17174,2015,1
17174,2016,1
17174,2017,1
17174,2018,1
17174,2019,1
17174,2020,1
17174,2021,1
17174,2022,1
17174,2023,1
17174,2024,1
17665,2007,1
17665,2008,1
17665,2009,1
17665,2010,1
17665,2011,1
17665,2012,1
17665,2013,1
17665,2014,1
17665,2015,1
17665,2016,1
17665,2017,1
17665,2018,1
17665,2019,1
17665,2020,1
17665,2021,1
17665,2022,1
17665,2023,1
17665,2024,1
19100,2007,1
19100,2008,1
19100,2009,1
19100,2010,1
19100,2011,1
19100,2012,1
19100,2013,1
19100,2014,1
19100,2015,1
19100,2016,1
19100,2017,1
19100,2018,1
19100,2019,1
19100,2020,1
19100,2021,1
19100,2022,1
19100,2023,1
19100,2024,1
19785,2007,1
19785,2008,1
19785,2009,1
19785,2010,1
19785,2011,1
19785,2012,1
19785,2013,1
19785,2014,1
19785,2015,1
19785,2016,1
19785,2017,1
19785,2018,1
19785,2019,1
19785,2020,1
19785,2021,1
19785,2022,1
19785,2023,1
19785,2024,1
23807,2007,1
23807,2008,1
23807,2009,1
23807,2010,1
23807,2011,1
23807,2012,1
23807,2013,1
23807,2014,1
23807,2015,1
23807,2016,1
23807,2017,1
23807,2018,1
23807,2019,1
23807,2020,1
23807,2021,1
23807,2022,1
23807,2023,1
23807,2024,1
27150,2014,1
27150,2015,1
27150,2016,1
27150,2017,1
27150,2018,1
27150,2019,1
27150,2020,1
27150,2021,1
27150,2022,1
27150,2023,1
27150,2024,1
27205,2019,1
27205,2020,1
27205,2021,1
