COD_DANE,fuente,nombre_proyecto,anio_inicio,anio_fin,confianza,metodo,origen_codigo,url_ficha,territorio_declarado,evidencia
27135,cercarbono,Proyecto Conservación ARLEQUÍN REDD+,2015,,alta,ficha_registro_manual,ficha: Canton de San Pablo,https://registry.cercarbono.com/projects/CDC-22,"ACISANP, COCOILLO, COCOMACER","In the municipalities of Canton de San Pablo, Lloro and Certegui ... protect 82.626 hectares of tropical rainforest"
27413,cercarbono,Proyecto Conservación ARLEQUÍN REDD+,2015,,alta,ficha_registro_manual,ficha: Lloro,https://registry.cercarbono.com/projects/CDC-22,"ACISANP, COCOILLO, COCOMACER","In the municipalities of Canton de San Pablo, Lloro and Certegui ... protect 82.626 hectares of tropical rainforest"
27160,cercarbono,Proyecto Conservación ARLEQUÍN REDD+,2015,,alta,ficha_registro_manual,ficha: Certegui,https://registry.cercarbono.com/projects/CDC-22,"ACISANP, COCOILLO, COCOMACER","In the municipalities of Canton de San Pablo, Lloro and Certegui ... protect 82.626 hectares of tropical rainforest"
97001,cercarbono,Makaro Ap+ro,2018,,alta,ficha_registro_manual,ficha: Mitu,https://registry.cercarbono.com/projects/CDC-52,no nombrado en la ficha,"Colombia, Vaupes, Mitu"
94001,cercarbono,Awakadaa Matsiadali,2018,,alta,ficha_registro_manual,ficha: Inirida,https://registry.cercarbono.com/projects/CDC-55,no nombrado en la ficha,"Colombia, Guainia, Inirida"
99773,cercarbono,BANAKALE - ISIMALI REDD+,2016,,media,ficha_registro_manual,ficha: Cumaribo,https://registry.cercarbono.com/projects/CDC-60,Santa Teresita del Tuparro; San Luis del Tomo,sustainable management system for the forests of the Santa Teresita del Tuparro and San Luis del Tomo indigenous reserves
27372,cercarbono,COCOMAN FRONTERA REDD+,2016,,alta,ficha_registro_manual,ficha: Jurado,https://registry.cercarbono.com/projects/CDC-61,Los Marlin (Jurado); COCOMAN (Novita),"is developed in the department of Choco, specifically in the municipalities of Jurado and Novita"
27491,cercarbono,COCOMAN FRONTERA REDD+,2016,,alta,ficha_registro_manual,ficha: Novita,https://registry.cercarbono.com/projects/CDC-61,Los Marlin (Jurado); COCOMAN (Novita),"is developed in the department of Choco, specifically in the municipalities of Jurado and Novita"
94001,cercarbono,Planeta agradecido con el Resguardo Indígena Bajo R...,2018,,alta,ficha_registro_manual,ANT (resguardo),https://registry.cercarbono.com/projects/CDC-64,Bajo Rio Guainia y Rio Negro,is developed in 61.48% of the total area of the territory of the Indigenous Resguardo Bajo Rio Guainia y Rio Negro
05756,cercarbono,Manejo Sostenible de los Bosques Aplicado al Predio,2014,,alta,ficha_registro_manual,ficha: Sonson,https://registry.cercarbono.com/projects/CDC-65,"Predio Santa Ana, vereda El Popal","applied to the Santa Ana property, El Popal village, Sonson Municipality"
