sector_sugerido,tipo_proyecto,registros,proyectos_unicos,municipios,pct_proyectos
AFOLU,REDD,162,137,67,30.2
AFOLU,ARR,44,43,46,9.5
AFOLU,AFOLU_SIN_SUBTIPO,33,32,22,7.0
AFOLU,WRC,30,30,36,6.6
AFOLU,ALM,3,3,3,0.7
AFOLU,IFM,1,1,1,0.2
NO_AFOLU,RENOVABLE_OTRA,78,71,64,15.6
NO_AFOLU,HIDROELECTRICA,36,28,15,6.2
NO_AFOLU,RESIDUOS_METANO,22,19,6,4.2
NO_AFOLU,ESTUFAS_EFICIENCIA,5,5,4,1.1
NO_AFOLU,COMBUSTIBLES_TERMICA,5,4,2,0.9
NO_AFOLU,TRANSPORTE,4,3,2,0.7
NO_AFOLU,INDUSTRIA,2,2,0,0.4
REVISAR,SIN_CLASIFICAR,95,91,16,20.0
