clave,fuente,nombre_proyecto,cod_dane_original,accion,cod_dane_nuevo,nombre_mpi_nuevo,evidencia,fecha_consulta,id_registro,anio_inicio
"renare|proyecto forestal para la cuenca del rio chinchina, una alternativa ambiental para la ciudad y la region¿",renare,"Proyecto Forestal Para La Cuenca del Rio Chinchiná, una alternativa ambiental para la ciudad y La Región¿",17174,,,,,,,2002.0
cercarbono|proyecto carbono cas,cercarbono,Proyecto Carbono CAS,19392,,,,,,CDC-73,2008.0
cercarbono|carbono paja perdida,cercarbono,Carbono Paja Perdida,05659,,,,,,CDC-4,2008.0
renare|proyecto forestal carbono sombrilla abejorral,renare,Proyecto Forestal Carbono Sombrilla Abejorral,05002,,,,,,,2009.0
renare|proyecto carbono sombrilla abejorral,renare,Proyecto Carbono Sombrilla Abejorral,05002,,,,,,,2009.0
cercarbono|bonos de carbono caracoli,cercarbono,Bonos de Carbono Caracoli,05142,,,,,,CDC-10,2010.0
cercarbono|carbono ganados y bosques,cercarbono,Carbono Ganados y Bosques,05490,,,,,,CDC-30,2010.0
renare|proyecto forestal co2cero refocosta la gloria,renare,PROYECTO FORESTAL CO2CERO REFOCOSTA LA GLORIA,20383,,,,,,,2010.0
renare|mas bosques para medellin,renare,Más Bosques para Medellín,05001,,,,,,,2010.0
renare|proyecto de conservacion palameku kuwei redd+,renare,Proyecto de Conservación PALAMEKU KUWEI REDD+,94888,,,,,,,2010.0
renare|carbono agroforestal la argentina,renare,Carbono Agroforestal La Argentina,41378,,,,,,,2011.0
"cercarbono|proyecto de mitigacion en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en el municipio de barrancabermeja, santander, colombia.",cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",68081,,,,,,CDC-25,2013.0
"renare|proyecto de mitigacion en el sector del uscuss por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en el municipio de barrancabermeja, santander, colombia",renare,"Proyecto de mitigación en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia",68081,,,,,,,2013.0
renare|grouped project for reducing emissions from deforestation and forest degradation redd - in the regional natural park: biological corridor pnn purace pnn cueva de los guacharos,renare,GROUPED PROJECT FOR REDUCING EMISSIONS FROM DEFORESTATION AND FOREST DEGRADATION REDD - IN THE REGIONAL NATURAL PARK: BIOLOGICAL CORRIDOR PNN PURACÉ PNN CUEVA DE LOS GUÁCHAROS,19585,,,,,,,2014.0
cercarbono|proyecto de conservacion unu-mai redd+,cercarbono,Proyecto de Conservación UNU-MAI REDD+,94001,,,,,,CDC-148,2017.0
renare|sustainable agroforestry cacao meta,renare,Sustainable Agroforestry Cacao Meta,50124,,,,,,,2017.0
cercarbono|carbono rancho victoria,cercarbono,Carbono Rancho Victoria,50573,,,,,,CDC-180,2018.0
cercarbono|orinoco redd+ project,cercarbono,ORINOCO REDD+ PROJECT,99773,,,,,,CDC-156,2018.0
renare|proyecto redd+ cuenca alto baudo,renare,PROYECTO REDD+ CUENCA ALTO BAUDO,27025,,,,,,,2018.0
renare|proyecto redd+ origen atrato - baudo_,renare,Proyecto REDD+ Origen Atrato - Baudó_,27050,,,,,,,2018.0
renare|proyecto redd+ del bajo atrato,renare,Proyecto REDD+ del Bajo Atrato,27050,,,,,,,2018.0
renare|origen atrato-baudo redd+ project,renare,ORIGEN ATRATO-BAUDÓ REDD+ PROJECT,27050,,,,,,,2019.0
renare|bajo atrato redd+ project,renare,BAJO ATRATO REDD+ PROJECT,27050,,,,,,,2019.0
renare|kuvay macaro vidi redd+ caruru,renare,KÚVAY MACÄRÖ VIDI REDD+ CARURÚ,97161,,,,,,,2019.0
renare|proyecto co2cero col la gloria - alouatta carbon forest,renare,Proyecto CO2CERO COL LA GLORIA - Alouatta Carbon Forest,20383,,,,,,,2020.0
renare|redd++ manglares del bajo baudo,renare,REDD++ Manglares del Bajo Baudó,27077,,,,,,,2021.0
"renare|project redd+ pacifico norte-sur, acadesan.",renare,"Project REDD+ Pacifico Norte-Sur, ACADESAN.",27077,,,,,,,2024.0
"renare|proyecto de captura de carbono, y conservacion hidrica del bosque altoandino-humedo en la finca la giovanna, pamplona (norte de santander).",renare,"Proyecto de Captura de Carbono, y Conservación Hídrica del Bosque Altoandino-Húmedo en la Finca La Giovanna, Pamplona (Norte de Santander). 
",54518,,,,,,,2025.0
renare|proyecto redd+ cabildo mayor indigena de vigia del fuerte,renare,Proyecto REDD+ Cabildo Mayor Indígena de Vigía del Fuerte,05873,,,,,,,
