clave,fuente,nombre_proyecto,cod_dane_original,accion,cod_dane_nuevo,nombre_mpi_nuevo,evidencia,fecha_consulta
cercarbono|proyecto carbono cas,cercarbono,Proyecto Carbono CAS,19392,,,,,
cercarbono|carbono paja perdida,cercarbono,Carbono Paja Perdida,05659,,,,,
cercarbono|bonos de carbono caracoli,cercarbono,Bonos de Carbono Caracoli,05142,,,,,
renare|proyecto de conservacion palameku kuwei redd+,renare,Proyecto de Conservación PALAMEKU KUWEI REDD+,94888,,,,,
cercarbono|carbono ganados y bosques,cercarbono,Carbono Ganados y Bosques,05490,,,,,
"cercarbono|proyecto de mitigacion en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en el municipio de barrancabermeja, santander, colombia.",cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",68081,,,,,
"verra|sustainable agroforestry cacao meta, colombia",verra,"Sustainable Agroforestry Cacao Meta, Colombia",50124,,,,,
renare|sustainable agroforestry cacao meta,renare,Sustainable Agroforestry Cacao Meta,50124,,,,,
cercarbono|proyecto de conservacion unu-mai redd+,cercarbono,Proyecto de Conservación UNU-MAI REDD+,94001,,,,,
cercarbono|carbono rancho victoria,cercarbono,Carbono Rancho Victoria,50573,,,,,
renare|proyecto redd+ origen atrato - baudo_,renare,Proyecto REDD+ Origen Atrato - Baudó_,27050,,,,,
renare|proyecto redd+ del bajo atrato,renare,Proyecto REDD+ del Bajo Atrato,27050,,,,,
cercarbono|orinoco redd+ project,cercarbono,ORINOCO REDD+ PROJECT,99773,,,,,
renare|bajo atrato redd+ project,renare,BAJO ATRATO REDD+ PROJECT,27050,,,,,
renare|origen atrato-baudo redd+ project,renare,ORIGEN ATRATO-BAUDÓ REDD+ PROJECT,27050,,,,,
