fuente,nombre_proyecto,cod_dane,municipio_asignado,depto_asignado,deptos_en_texto,veredicto
renare,Proyecto CO2CERO COL LA GLORIA - Alouatta Carbon Forest,20383,LA GLORIA,Cesar,,sin departamento en el texto
renare,"Proyecto de Captura de Carbono, y Conservación Hídrica del Bosque Altoandino-Húmedo en la Finca La Giovanna, Pamplona (Norte de Santander). 
",54518,PAMPLONA,Norte de Santander,Norte de Santander; Santander,coherente
renare,"Project REDD+ Pacifico Norte-Sur, ACADESAN.",27077,BAJO BAUDO,Choco,,sin departamento en el texto
renare,Plan VERDE: Valoración de Energías Renovables y Disminución de Emisiones,47189,CIENAGA,Magdalena,,sin departamento en el texto
renare,GROUPED PROJECT FOR REDUCING EMISSIONS FROM DEFORESTATION AND FOREST DEGRADATION REDD - IN THE REGIONAL NATURAL PARK: BIOLOGICAL CORRIDOR PNN PURACÉ PNN CUEVA DE LOS GUÁCHAROS,19585,PURACE,Cauca,,sin departamento en el texto
renare,Generación de electricidad a partir de biomasa forestal para la Zona No Interconectada de Puerto Carreño - Vichada,99001,PUERTO CARRENO,Vichada,Vichada,coherente
renare,ORIGEN ATRATO-BAUDÓ REDD+ PROJECT,27050,ATRATO,Choco,,sin departamento en el texto
renare,BAJO ATRATO REDD+ PROJECT,27050,ATRATO,Choco,,sin departamento en el texto
renare,Proyecto hidroeléctrico Sogamoso,15759,SOGAMOSO,Boyaca,,sin departamento en el texto
renare,Proyecto Forestal Carbono Sombrilla Abejorral,05002,ABEJORRAL,Antioquia,Antioquia,coherente
renare,REDD++ Manglares del Bajo Baudó,27077,BAJO BAUDO,Choco,,sin departamento en el texto
renare,Proyecto REDD+ Cabildo Mayor Indígena de Vigía del Fuerte,05873,VIGIA DEL FUERTE,Antioquia,,sin departamento en el texto
renare,PROYECTO FORESTAL CO2CERO REFOCOSTA LA GLORIA,20383,LA GLORIA,Cesar,,sin departamento en el texto
renare,Proyectos hidroeléctricos El Molino - San Matías,44110,EL MOLINO,La Guajira,,sin departamento en el texto
renare,Sustainable Agroforestry Cacao Meta,50124,CABUYARO,Meta,Meta,coherente
renare,PROYECTO REDD+ CUENCA ALTO BAUDO,27025,ALTO BAUDO,Choco,,sin departamento en el texto
renare,Más Bosques para Medellín,05001,MEDELLIN,Antioquia,,sin departamento en el texto
renare,"Proyecto Forestal Para La Cuenca del Rio Chinchiná, una alternativa ambiental para la ciudad y La Región¿",17174,CHINCHINA,Caldas,,sin departamento en el texto
renare,Proyecto REDD+ Origen Atrato - Baudó_,27050,ATRATO,Choco,,sin departamento en el texto
renare,KÚVAY MACÄRÖ VIDI REDD+ CARURÚ,97161,CARURU,Vaupes,,sin departamento en el texto
renare,Proyecto REDD+ del Bajo Atrato,27050,ATRATO,Choco,,sin departamento en el texto
renare,Proyecto de Conservación PALAMEKU KUWEI REDD+,94888,MORICHAL,Guainia,,sin departamento en el texto
renare,Proyecto Hidroeléctrico Sogamoso,15759,SOGAMOSO,Boyaca,,sin departamento en el texto
renare,"Proyecto de mitigación en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia",68081,BARRANCABERMEJA,Santander,Santander,coherente
renare,Carbono Agroforestal La Argentina,41378,LA ARGENTINA,Huila,,sin departamento en el texto
renare,Despacho técnico-económico de energía y vapor en la Refinería de Barrancabermeja-GRB,68081,BARRANCABERMEJA,Santander,,sin departamento en el texto
renare,Proyecto Carbono Sombrilla Abejorral,05002,ABEJORRAL,Antioquia,Antioquia,coherente
cercarbono,Planta de Tratamiento de Aguas Residuales - PTAR Aguas Claras,05001,MEDELLIN,Antioquia,,sin departamento en el texto
cercarbono,Proyecto Carbono CAS,19392,LA SIERRA,Cauca,,sin departamento en el texto
cercarbono,Proyecto Carbono CAS,19392,LA SIERRA,Cauca,,sin departamento en el texto
cercarbono,Proyecto Carbono CAS,19392,LA SIERRA,Cauca,,sin departamento en el texto
cercarbono,Rio Amoya Run-of-River Hydro Project,73168,CHAPARRAL,Tolima,,sin departamento en el texto
cercarbono,Proyecto Hidroeléctrico Alejandría,05021,ALEJANDRIA,Antioquia,,sin departamento en el texto
cercarbono,Proyecto Hidroeléctrico Alejandría,05021,ALEJANDRIA,Antioquia,,sin departamento en el texto
cercarbono,Proyecto Hidroeléctrico Alejandría,05021,ALEJANDRIA,Antioquia,,sin departamento en el texto
cercarbono,Proyecto de Conservación UNU-MAI REDD+,94001,INIRIDA,Guainia,,sin departamento en el texto
cercarbono,Proyecto de Conservación UNU-MAI REDD+,94001,INIRIDA,Guainia,,sin departamento en el texto
cercarbono,Sogamoso Hydroelectric Project,15759,SOGAMOSO,Boyaca,,sin departamento en el texto
cercarbono,Ciclo Combinado Termoflores IV,08001,BARRANQUILLA,Atlantico,,sin departamento en el texto
cercarbono,Ciclo Combinado Termoflores IV,08001,BARRANQUILLA,Atlantico,,sin departamento en el texto
cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,20250,EL PASO,Cesar,,sin departamento en el texto
cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,20250,EL PASO,Cesar,,sin departamento en el texto
cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica La Loma ,20250,EL PASO,Cesar,,sin departamento en el texto
cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",68081,BARRANCABERMEJA,Santander,Santander,coherente
cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",68081,BARRANCABERMEJA,Santander,Santander,coherente
cercarbono,Carbono Rancho Victoria,50573,PUERTO LOPEZ,Meta,,sin departamento en el texto
cercarbono,Carbono Rancho Victoria,50573,PUERTO LOPEZ,Meta,,sin departamento en el texto
cercarbono,Bonos de Carbono Caracoli,05142,CARACOLI,Antioquia,,sin departamento en el texto
cercarbono,Bonos de Carbono Caracoli,05142,CARACOLI,Antioquia,,sin departamento en el texto
cercarbono,Bonos de Carbono Caracoli,05142,CARACOLI,Antioquia,,sin departamento en el texto
cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,17001,MANIZALES,Caldas,,sin departamento en el texto
cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,17001,MANIZALES,Caldas,,sin departamento en el texto
cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,17001,MANIZALES,Caldas,,sin departamento en el texto
cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,17001,MANIZALES,Caldas,,sin departamento en el texto
cercarbono,Carbono Paja Perdida,05659,SAN JUAN DE URABA,Antioquia,,sin departamento en el texto
cercarbono,Carbono Paja Perdida,05659,SAN JUAN DE URABA,Antioquia,,sin departamento en el texto
cercarbono,ORINOCO REDD+ PROJECT,99773,CUMARIBO,Vichada,,sin departamento en el texto
cercarbono,Central Hidroeléctrica de Santa Ana,47707,SANTA ANA,Magdalena,,sin departamento en el texto
cercarbono,Carbono Ganados y Bosques,05490,NECOCLI,Antioquia,,sin departamento en el texto
cercarbono,Granja Solar de Inírida,94001,INIRIDA,Guainia,,sin departamento en el texto
