Project ID,Project Name,Project Stage,Project URL,Project proponent,Project developer,Is Migrated,Protocol,Sector,Methodology,Mitigation type,Duration start,Duration end,Start date first crediting period,Crediting periord start,Crediting period end,n_filas_registro,n_matches,cod_dane,municipio
CDC-102,Proyecto Agrupado YAAWI IIPANA REDD+,Certified,https://www.ecoregistry.io/projects/102,BIOFIX CONSULTORIA S.A.S BIC,BIOFIX CONSULTORIA S.A.S BIC,No,PROTOCOL CVCC 4.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2016-01-01,2045-12-31,2016-01-01,2016-01-01,2035-12-31,3,3,13683;19701;94888,MORICHAL;SANTA ROSA
CDC-116,Generación Eléctrica/Térmica a partir de Biomasa – Manuelita S.A.,Verification,https://www.ecoregistry.io/projects/116,Manuelita S.A.,MGM Innova Consulting SAS,No,PROTOCOL CVCC 4.2,Energy industries,CDM - ACM0006: Electricity and heat generation from biomass,Avoidance,2018-06-22,2068-06-21,2018-06-22,2018-06-22,2028-06-21,4,0,,
CDC-71,	Bajo Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/71,CELSIA COLOMBIA S.A. E.S.P.,CELSIA COLOMBIA S.A. E.S.P.,No,"PROTOCOL CVCC V2.1, PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.5",Energy industries,"CDM - ACM0002: Grid-connected electricity generation from renewable sources, M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation.","Avoidance, Does not apply",2011-11-29,2065-01-29,2011-11-29,2011-11-29,2035-11-28,4,2,70717;76670,SAN PEDRO
CDC-70,Alto Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/70,CELSIA COLOMBIA S.A. E.S.P.,CELSIA COLOMBIA S.A. E.S.P.,No,"PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.5",Energy industries,"CDM - ACM0002: Grid-connected electricity generation from renewable sources, M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation.","Avoidance, Does not apply",2012-01-01,2062-05-27,2012-01-01,2012-01-01,2035-12-31,3,0,,
CDC-221,Planta de Tratamiento de Aguas Residuales - PTAR Aguas Claras,Verification,https://www.ecoregistry.io/projects/221,Aguas Nacionales EPM S.A. E.S.P.,Aguas Nacionales EPM S.A. E.S.P.,No,PROTOCOL CVCC 4.4,Waste handling and disposal,ACM0014: Treatment of wastewater,Avoidance,2020-01-01,2060-12-31,2020-01-01,2020-01-01,2029-12-31,1,1,05001,MEDELLIN
CDC-67,Proyecto REDD+ Zona Isana y Surubi,Certified,https://www.ecoregistry.io/projects/67,ACURIS,HUMAN FOREST SAS,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2018-01-01,2047-12-31,2018-01-01,2018-01-01,2037-12-31,3,0,,
CDC-73,Proyecto Carbono CAS,Validation,https://www.ecoregistry.io/projects/73,Compañia Agricola de la Sierra Sucursal Colombia,Forestry Consulting Group S.A.S.,No,"PROTOCOL CVCC V2.1, PROTOCOL CVCC 4.5",Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2008-11-30,2038-11-29,2008-11-30,2008-11-30,2028-11-30,3,1,19392,LA SIERRA
CDC-254,Proyecto Forestal CO2CERO Chigüiro,Validation,https://www.ecoregistry.io/projects/244,CO2CERO,CO2CERO,No,PROTOCOL CVCC 4.5,Land use (AFOLU),"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2020-04-08,2040-04-08,2020-04-08,2020-04-08,2025-09-30,1,3,50568;50573;99524,LA PRIMAVERA;PUERTO GAITAN;PUERTO LOPEZ
CDC-47,Infraestructuras Ecosistémicas REDD+ para los Campesinos de Antioquia Colombia,Verification,https://www.ecoregistry.io/projects/47,FUNDACION ECOTROPICS COLOMBIA,FUNDACION ECOTROPICS COLOMBIA,No,PROTOCOL CVCC 4.5,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2019-01-01,2058-12-31,2019-01-01,2019-01-01,2038-12-31,1,0,,
CDC-97,CARBONO SANTA INES,Certified,https://www.ecoregistry.io/projects/97,AGROINDUSTRIAS SANTA INES S.A.S. - AGROSI S.A.S.,Forestry Consulting Group S.A.S.,No,PROTOCOL CVCC V2.1,Land use (AFOLU),"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops",Removal,2013-03-01,2037-02-28,2013-03-01,2013-03-01,2037-06-30,2,2,13654;13657,SAN JACINTO;SAN JUAN NEPOMUCENO
CDC-202,Rio Amoya Run-of-River Hydro Project,Certified,https://www.ecoregistry.io/projects/202,ISAGEN S.A. ESP,ISAGEN S.A. ESP,Yes,PROTOCOL CVCC 4.1,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2008-05-07,2058-05-06,2019-07-01,2019-07-01,2026-06-30,1,1,73168,CHAPARRAL
CDC-69,PCH La Naveta,Verification,https://www.ecoregistry.io/projects/69,IAC ENERGY S.A.S E.S.P.,CO2CERO,No,PROTOCOL CVCC V2.1,Energy industries,CDM - AMS-I.D.: Grid connected renewable electricity generation,Avoidance,2016-01-01,2035-12-31,2016-01-01,2016-01-01,2035-12-31,3,0,,
CDC-72,Amaime Minor Hydroelectric Power Plant,Verification,https://www.ecoregistry.io/projects/72,CELSIA COLOMBIA S.A. E.S.P.,CELSIA COLOMBIA S.A. E.S.P.,No,"PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.5",Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2010-11-18,2060-11-17,2017-11-18,2017-11-18,2034-11-17,3,2,68162;76248,CERRITO;EL CERRITO
CDC-99,Pedeguita y Mancilla REDD+,Verification,https://www.ecoregistry.io/projects/99,TERRA COMMODITIES,Carbo Sostenible S.A.S.,No,PROTOCOL CVCC 3.1,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2020-01-06,2040-01-05,2020-01-01,2020-01-01,2059-12-31,3,3,17614;27150;27615,CARMEN DEL DARIEN;RIOSUCIO
CDC-196,Guajira I Wind Farm,Certified,https://www.ecoregistry.io/projects/196,ISAGEN S.A. ESP,ISAGEN S.A. ESP,No,PROTOCOL CVCC 4.3,Energy industries,CDM - ACM0002: Grid-connected electricity generation from renewable sources,Avoidance,2022-07-09,2042-07-08,2022-07-09,2022-07-09,2032-07-08,2,0,,
CDC-230,Proyecto REDD+ Fundación Biodiversa en tierras bajas del Magdalena,Verification,https://www.ecoregistry.io/projects/230,FUNDACIÓN BIODIVERSA COLOMBIA,FUNDACIÓN BIODIVERSA COLOMBIA,No,PROTOCOL CVCC 4.4,Land use (AFOLU),CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels,Avoidance and removal,2019-11-27,2049-11-26,2019-11-27,2019-11-27,2039-11-26,1,2,47189;52079,BARBACOAS;CIENAGA
