COD_DANE,NOMBRE_MPI,mun_limpio_panel,confianza_sugerencia,candidatos_subcadena,candidatos_difflib_solamente
05042,SANTA FÉ DE ANTIOQUIA,santa fe de antioquia,alta (coincidencia de subcadena),antioquia,santander de quilichao; san jose de fragua; santafe de bogota d.c.; san jose de la montana; santa rosa de cabal
05101,CIUDAD BOLÍVAR,ciudad bolivar,alta (coincidencia de subcadena),bolivar,el carmen de bolivar
05148,EL CARMEN DE VIBORAL,el carmen de viboral,alta (coincidencia de subcadena),carmen de viboral; el carmen,el carmen de bolivar; carmen de apicala; belen de umbria
05237,DONMATÍAS,donmatias,"baja (solo similitud de letras, verificar con cuidado)",,don matias; nimaima
05390,LA PINTADA,la pintada,"baja (solo similitud de letras, verificar con cuidado)",,la tebaida; la llanada; planadas; la uvita; la playa
05585,PUERTO NARE,puerto nare,"baja (solo similitud de letras, verificar con cuidado)",,puerto narino; puerto carreno; puerto parra; puerto salgar; puerto rico
05647,SAN ANDRÉS DE CUERQUÍA,san andres de cuerquia,alta (coincidencia de subcadena),san andres,san andres y providencia; san juan de betulia; santander de quilichao; san juan de uraba; san andres de sotavento
05664,SAN PEDRO DE LOS MILAGROS,san pedro de los milagros,alta (coincidencia de subcadena),san pedro,san pedro de cartago; santa rosa de osos; san pedro de uraba
05674,SAN VICENTE FERRER,san vicente ferrer,alta (coincidencia de subcadena),san vicente,san vicente de chucuri; san vicente del caguan
05697,EL SANTUARIO,el santuario,alta (coincidencia de subcadena),santuario,el rosario; el calvario; santamaria; santa rosa
08001,BARRANQUILLA,barranquilla,alta (coincidencia de subcadena),barranquilla  (dist.port.,marinilla; barrancas; arauquita; raquira
08558,POLONUEVO,polonuevo,"baja (solo similitud de letras, verificar con cuidado)",,polo nuevo; pueblo nuevo; hato nuevo
11001,"BOGOTÁ, D.C.","bogota, d.c.","baja (solo similitud de letras, verificar con cuidado)",,santafe de bogota d.c.
13001,CARTAGENA DE INDIAS,cartagena de indias,"baja (solo similitud de letras, verificar con cuidado)",,cartagena del chaira; agua de dios; cartagena (dist. esp.); barranca de upia; carmen de viboral
13042,ARENAL,arenal,"baja (solo similitud de letras, verificar con cuidado)",,armenia; saravena; zarzal; tauramena; carepa
13062,ARROYOHONDO,arroyohondo,"baja (solo similitud de letras, verificar con cuidado)",,yondo
13222,CLEMENCIA,clemencia,"baja (solo similitud de letras, verificar con cuidado)",,valencia; florencia; venecia; leticia; armenia
13268,EL PEÑÓN,el penon,"baja (solo similitud de letras, verificar con cuidado)",,el pe¥on; el pi¥on; el playon; el espino; repelon
13468,SANTA CRUZ DE MOMPOX,santa cruz de mompox,alta (coincidencia de subcadena),santa cruz,santa rosa de osos; santa helena de opon
13490,NOROSÍ,norosi,"baja (solo similitud de letras, verificar con cuidado)",,anori; potosi; toro
13580,REGIDOR,regidor,"baja (solo similitud de letras, verificar con cuidado)",,retiro; abrego
13620,SAN CRISTÓBAL,san cristobal,"baja (solo similitud de letras, verificar con cuidado)",,santa rita; san jacinto; san benito abad; santa isabel; san francisco
13655,SAN JACINTO DEL CAUCA,san jacinto del cauca,alta (coincidencia de subcadena),san jacinto,san vicente del caguan; san juan del cesar; san juan de uraba; san juan de arama
15332,GÜICÁN DE LA SIERRA,guican de la sierra,alta (coincidencia de subcadena),guican; la sierra,candelaria; juan de acosta
15550,PISBA,pisba,"baja (solo similitud de letras, verificar con cuidado)",,pisva; oiba; isla; apia; purisima
15806,TIBASOSA,tibasosa,"baja (solo similitud de letras, verificar con cuidado)",,tibabosa; tibana; barbosa; tausa; tasco
15839,TUTAZÁ,tutaza,alta (coincidencia de subcadena),tuta,tutasa; suaza; tubara; taraza
17495,NORCASIA,norcasia,"baja (solo similitud de letras, verificar con cuidado)",,nocaima; circasia; tocaima; carcasi; caucasia
17665,SAN JOSÉ,san jose,alta (coincidencia de subcadena),san jose de fragua; san jose de la montana; san jose de ocune; san jose de pare; san jose del guaviare,san roque; santa rosa; san onofre; san marcos
18610,SAN JOSÉ DEL FRAGUA,san jose del fragua,"baja (solo similitud de letras, verificar con cuidado)",,san jose de fragua; san jose del guaviare; san jose del palmar; san jose de pare; san jose de ocune
18785,SOLITA,solita,"baja (solo similitud de letras, verificar con cuidado)",,soata; suaita; sotara; solano; socota
19300,GUACHENÉ,guachene,"baja (solo similitud de letras, verificar con cuidado)",,guacheta; guarne; gacheta; guateque; guaca
19532,PATÍA,patia,alta (coincidencia de subcadena),patia (el bordo),paipa; supata; palestina; paya; palmira
19533,PIAMONTE,piamonte,"baja (solo similitud de letras, verificar con cuidado)",,ocamonte; pamplonita; gigante; pinchote; piendamo
19548,PIENDAMÓ - TUNÍA,piendamo - tunia,alta (coincidencia de subcadena),piendamo,
19760,SOTARÁ PAISPAMBA,sotara paispamba,alta (coincidencia de subcadena),sotara,
19824,TOTORÓ,totoro,alta (coincidencia de subcadena),toro,yotoco; toribio; socorro; tota
19845,VILLA RICA,villa rica,"baja (solo similitud de letras, verificar con cuidado)",,villarrica; villamaria; villa caro; villa vieja; villa hermosa
20400,LA JAGUA DE IBIRICO,la jagua de ibirico,"baja (solo similitud de letras, verificar con cuidado)",,la jagua de iribico; san juan de rio seco; agua de dios
20570,PUEBLO BELLO,pueblo bello,alta (coincidencia de subcadena),bello,pueblo viejo; pueblo nuevo; pueblo rico; puerto berrio; pueblorrico
23300,COTORRA,cotorra,"baja (solo similitud de letras, verificar con cuidado)",,cota; cocorna; victoria; corrales; concordia
23350,LA APARTADA,la apartada,"baja (solo similitud de letras, verificar con cuidado)",,la plata; apartado; la dorada; la tebaida; la llanada
23500,MOÑITOS,monitos,alta (coincidencia de subcadena),monitos (is.),mo¥itos; orito; montecristo; potosi
23586,PURÍSIMA DE LA CONCEPCIÓN,purisima de la concepcion,alta (coincidencia de subcadena),concepcion; purisima,
23675,SAN BERNARDO DEL VIENTO,san bernardo del viento,alta (coincidencia de subcadena),san bernardo,san bernardo el viento; san bernardo el viento (i; san andres de sotavento; santa rosa de viterbo
23682,SAN JOSÉ DE URÉ,san jose de ure,"baja (solo similitud de letras, verificar con cuidado)",,san jose de pare; san jose de ocune; san jose del guaviare; san jose de fragua; san jose del palmar
23815,TUCHÍN,tuchin,"baja (solo similitud de letras, verificar con cuidado)",,chinu; nunchia; chia; achi
25258,EL PEÑÓN,el penon,"baja (solo similitud de letras, verificar con cuidado)",,el pe¥on; el pi¥on; el playon; el espino; repelon
