COD_DANE,antes,ahora
5021,2014.0,0.0
5031,2017.0,0.0
5107,2023.0,0.0
5142,0.0,2010.0
5197,2017.0,0.0
5212,2022.0,0.0
5237,2022.0,0.0
5310,2014.0,0.0
5440,2019.0,0.0
5490,0.0,2010.0
5615,2022.0,0.0
5642,2016.0,0.0
5647,2013.0,0.0
5659,0.0,2008.0
5664,2012.0,0.0
5670,2007.0,2014.0
5686,2010.0,0.0
5690,2015.0,0.0
5756,2018.0,0.0
5792,2019.0,0.0
8001,2017.0,2024.0
8758,2015.0,0.0
11001,2017.0,0.0
15759,2016.0,0.0
17541,2017.0,0.0
20250,2018.0,0.0
25754,2013.0,0.0
25845,2012.0,0.0
44430,2021.0,0.0
52001,2020.0,0.0
68176,2014.0,0.0
68500,2023.0,0.0
68745,2014.0,0.0
68770,2020.0,0.0
73168,2008.0,0.0
85139,2025.0,0.0
