project_id,name,proponent,project_url,registry,matched_cod_dane,matched_municipio,n_matches
VCS4894,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",ALLCOT A.G.,https://registry.verra.org/app/projectDetail/VCS/4894,verra,41206;47001,COLOMBIA;SANTA MARTA,2
VCS4748,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,FUNDACIÓN PROYECTO PRIMATES - FPP,https://registry.verra.org/app/projectDetail/VCS/4748,verra,41206;47288,COLOMBIA;FUNDACION,2
VCS3594,Finca la Paz II,Col La Paz SAS,https://registry.verra.org/app/projectDetail/VCS/3594,verra,20621;68397,LA PAZ,2
VCS3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,Fundación Biodiversa Colombia (FBC),https://registry.verra.org/app/projectDetail/VCS/3564,verra,41206;47288,COLOMBIA;FUNDACION,2
VCS3217,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,"Asociación de Autoridades Tradicionales y Cabildos De Los Pueblos Indígenas Murui, Muinane, Coreguaje y Nasa Del Municipio De Leguizamo y Puerto Asis, Alto Resguardo Predio Putumayo - ACILAPP",https://registry.verra.org/app/projectDetail/VCS/3217,verra,41206;86568,COLOMBIA;PUERTO ASIS,2
VCS479,Curva de Rodas and La Pradera landfill gas management project,Green Gas Colombia,https://registry.verra.org/app/projectDetail/VCS/479,verra,41206;76563,COLOMBIA;PRADERA,2
VCS1796,Santa Rosa - Altamira hydroelectric projects,Desarrollo de Energías Renovables S.A.S .ES.P.,https://registry.verra.org/app/projectDetail/VCS/1796,verra,13683;19701;41026,ALTAMIRA;SANTA ROSA,3
VCS1173,San Andres Hydroelectric project,Celsia Colombia S.A. E.S.P.,https://registry.verra.org/app/projectDetail/VCS/1173,verra,41206;68669;88001,COLOMBIA;SAN ANDRES,3
VCS1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Fundación Natura,https://registry.verra.org/app/projectDetail/VCS/1657,verra,41206;47288,COLOMBIA;FUNDACION,2
VCS1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/1395,verra,68432;76126,CALIMA;MALAGA,2
VCS576,"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia",Asorpar Ltd.,https://registry.verra.org/app/projectDetail/VCS/576,verra,41206;5120;81220,CACERES;COLOMBIA;CRAVO NORTE,3
VCS1065,HYDROELECTRIC PROJECT ITUANGO,Empresas Públicas de Medellín E.S.P,https://registry.verra.org/app/projectDetail/VCS/1065,verra,5001;5361,ITUANGO;MEDELLIN,2
CCB25,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",Sociedad Agropecuaria YUMA SAS,https://www.ecoregistry.io/projects/CDC-25,cercarbono,41206;68081,BARRANCABERMEJA;COLOMBIA,2
CCB27,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Peñón Santander, Colombia.",Grama Industria Agrícola S.A.,https://www.ecoregistry.io/projects/CDC-27,cercarbono,13268;25258;41206;68250,COLOMBIA;EL PENON,4
CCB39,Proyecto Hidroeléctrico Dario Valencia Samper,Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-39,cercarbono,23855;41206,COLOMBIA;VALENCIA,2
CCB47,Infraestructuras Ecosistémicas REDD+ para los Campesinos de Antioquia Colombia,FUNDACION ECOTROPICS COLOMBIA,https://www.ecoregistry.io/projects/CDC-47,cercarbono,41206;47288,COLOMBIA;FUNDACION,2
CCB48,Granja Solar de Inírida, ALLCOT X Colombia S.A.S,https://www.ecoregistry.io/projects/CDC-48,cercarbono,41206;94001,COLOMBIA;INIRIDA,2
CCB58,PEQUEÑA CENTRAL HIDROELÉCTRICA SAN ANDRÉS DE CUERQUIA,CELSIA COLOMBIA S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-58,cercarbono,41206;5647;68669;88001,COLOMBIA;SAN ANDRES;SAN ANDRES DE CUERQUIA,4
CCB65,"Manejo Sostenible de los Bosques Aplicado al Predio Santa Ana, Vereda El Popal, Municipio De Sonsón, Bajo El Esquema BancO2",Corporación Masbosques,https://www.ecoregistry.io/projects/CDC-65,cercarbono,47707;5756,SANTA ANA;SONSON,2
CCB73,Proyecto Carbono CAS,Compañia Agricola de la Sierra Sucursal Colombia,https://www.ecoregistry.io/projects/CDC-73,cercarbono,19392;41206,COLOMBIA;LA SIERRA,2
CCB91,Veolia LFG PTA Manizales and Cúcuta Landfill,VEOLIA COLOMBIA HOLDING SA,https://www.ecoregistry.io/projects/CDC-91,cercarbono,17001;41206,COLOMBIA;MANIZALES,2
CCB151,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,Enel Colombia S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-151,cercarbono,20250;41206,COLOMBIA;EL PASO,2
CCB230,Proyecto REDD+ Fundación Biodiversa en tierras bajas del Magdalena,FUNDACIÓN BIODIVERSA COLOMBIA,https://www.ecoregistry.io/projects/CDC-230,cercarbono,41206;47288,COLOMBIA;FUNDACION,2
GLD3708,GS3510 Fundacion Natura Cookstove PoA_Satander,FundaciÃ³n Natura Colombia,https://registry.goldstandard.org/projects?q=gs3708,gold-standard,41206;47288,COLOMBIA;FUNDACION,2
GLD3510,Fundacion Natura Cookstove POA,FundaciÃ³n Natura Colombia,https://registry.goldstandard.org/projects?q=gs3510,gold-standard,41206;47288,COLOMBIA;FUNDACION,2
GLD3025,Conservation and reforestation of degraded areas in Barbosa Colombia,Deactivated Projects,https://registry.goldstandard.org/projects?q=gs3025,gold-standard,41206;5079;68077,BARBOSA;COLOMBIA,3
