COD_DANE,estado,NOMBRE_MPI,motivo
05134,ambos,CAMPAMENTO,
05480,ambos,MUTATÁ,
15236,ambos,CHIVOR,
18150,ambos,CARTAGENA DEL CHAIRÁ,
19318,ambos,GUAPI,
23672,ambos,SAN ANTERO,
27001,ambos,QUIBDÓ,
27006,ambos,ACANDÍ,
27025,ambos,ALTO BAUDÓ,
27077,ambos,BAJO BAUDÓ,
27150,ambos,CARMEN DEL DARIÉN,
27205,ambos,CONDOTO,
27361,ambos,ISTMINA,
27430,ambos,MEDIO BAUDÓ,
27495,ambos,NUQUÍ,
27600,ambos,RÍO QUITO,
27615,ambos,RIOSUCIO,
27800,ambos,UNGUÍA,
41668,ambos,SAN AGUSTÍN,
50590,ambos,PUERTO RICO,
52490,ambos,OLAYA HERRERA,
52835,ambos,SAN ANDRÉS DE TUMACO,
76109,ambos,BUENAVENTURA,
91405,ambos,LA CHORRERA,
91669,ambos,PUERTO SANTANDER,
94001,ambos,INÍRIDA,
97001,ambos,MITÚ,
97161,ambos,CARURÚ,
99773,ambos,CUMARIBO,
05893,solo_dosis,YONDÓ,
18756,solo_dosis,SOLANO,
19418,solo_dosis,LÓPEZ DE MICAY,
66682,solo_dosis,SANTA ROSA DE CABAL,
68190,solo_dosis,CIMITARRA,
95015,solo_dosis,CALAMAR,
97511,solo_dosis,PACOA,
05756,solo_panel,SONSÓN,
19585,solo_panel,PURACÉ,
27050,solo_panel,ATRATO,
27135,solo_panel,EL CANTÓN DEL SAN PABLO,
27160,solo_panel,CÉRTEGUI,
27372,solo_panel,JURADÓ,
27413,solo_panel,LLORÓ,
27491,solo_panel,NÓVITA,
27493,solo_panel,NUEVO BELÉN DE BAJIRÁ,
52250,solo_panel,EL CHARCO,
68464,solo_panel,MOGOTES,"Proyecto agrupado del corredor de robles Guantiva-La Rusia-Iguaque. La ubicacion es plausible y el municipio se mantiene tratado en el analisis binario, pero el area declarada (1.075.348 ha) es la frontera del proyecto agrupado completo y no mide la superficie bajo conservacion en Mogotes (dosis bosque 32). Se excluye solo del analisis de intensidad."
94888,solo_panel,MORICHAL,
95001,solo_panel,SAN JOSÉ DEL GUAVIARE,
95025,solo_panel,EL RETORNO,
08001,excluido_error_asignacion,BARRANQUILLA,"Proyecto CO2ROZO, 400.000 ha geocodificadas sobre un municipio urbano de 15.413 ha. El punto corresponde a la sede del proponente. Excluido tambien del tratamiento binario."
68464,excluido_error_asignacion,MOGOTES,"Proyecto agrupado del corredor de robles Guantiva-La Rusia-Iguaque. La ubicacion es plausible y el municipio se mantiene tratado en el analisis binario, pero el area declarada (1.075.348 ha) es la frontera del proyecto agrupado completo y no mide la superficie bajo conservacion en Mogotes (dosis bosque 32). Se excluye solo del analisis de intensidad."
