_id,nombre_verra,verra,status_registro,estado_registro,es_wrc,COD_DANE,NOMBRE_MPI,berkeley,creditos_berkeley,tipo_berkeley,offsetsdb,creditos_odb,protocol,status_odb,veredicto
3475,ACABA REDD+ Project,REDD,Pipeline listing (under development) approved,S1,False,27025,ALTO BAUDÓ,REDD,0.0,REDD+,REDD,0.0,['vm0009'],listed,acuerdo
1389,Acapa -­ Bajo Mira Y Frontera REDD+ Project,REDD,Registered,S3,False,52835,SAN ANDRÉS DE TUMACO,REDD,1019569.0,REDD+,REDD,1019569.0,['vm0006'],registered,acuerdo
2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",AFOLU_no_REDD,Registered,S3,False,99001,PUERTO CARREÑO,AFOLU_no_REDD,609543.0,Afforestation/Reforestation,AFOLU_no_REDD,609543.0,['ar-acm0003'],registered,acuerdo
3215,ASATIQ Vaupés Maloca REDD+ Project,REDD,Inactive,S1,False,97001,MITÚ,REDD,0.0,REDD+,REDD,0.0,['vm0009'],listed,acuerdo
3216,ASATRIZY Vaupés Maloca REDD+ Project,REDD,Registration and verification approval requested,S2,False,97001,MITÚ,REDD,0.0,REDD+,REDD,0.0,['vm0009'],listed,acuerdo
1524,AXIA Energia Cogeneration Project in Familia,no_AFOLU,Pipeline listing (under development) approved,S1,False,5001,MEDELLÍN,no_AFOLU,0.0,Natural Gas Electricity Generation,no_AFOLU,0.0,['ams-ii-d'],listed,acuerdo
1405,AXIA Energia Cogeneration Project in Unibol,no_AFOLU,Pipeline listing (under development) approved,S1,False,8758,SOLEDAD,no_AFOLU,0.0,Natural Gas Electricity Generation,no_AFOLU,0.0,['ams-ii-d'],listed,acuerdo
3210,Bajo Atrato REDD+ Project,REDD,Registration and verification approval requested,S2,False,27615,RIOSUCIO,REDD,0.0,REDD+,REDD,0.0,['vm0009'],listed,acuerdo
1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,REDD,Registered,S3,False,76109,BUENAVENTURA,REDD,2150996.0,REDD+,REDD,2150996.0,['vm0006'],registered,acuerdo
5305,Bella Bosque Vichada Afforestation Project,AFOLU_no_REDD,Under validation (Public comment period closed),S1,False,99524,LA PRIMAVERA,AFOLU_no_REDD,0.0,Afforestation/Reforestation,AFOLU_no_REDD,0.0,['vm0047'],listed,acuerdo
491,"Bionersis landfill  project in Pasto, Colombia",no_AFOLU,Late to Verify,S2,False,52001,PASTO,no_AFOLU,0.0,Landfill Methane,no_AFOLU,0.0,['ams-iii-g'],unknown,acuerdo
1910,"Bionersis landfill project in Pasto, Colombia",no_AFOLU,Late to Verify,S2,False,86757,SAN MIGUEL,no_AFOLU,466.0,Landfill Methane,no_AFOLU,466.0,['acm0001'],unknown,acuerdo
2290,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,REDD,Late to Verify,S2,False,23672,SAN ANTERO,REDD,59363.0,REDD+,REDD,59363.0,['vm0007'],unknown,acuerdo
5335,Boomitra grassland Restoration in Colombia,AFOLU_no_REDD,Pipeline listing (under development) approved,S1,False,20295,GAMARRA,AFOLU_no_REDD,0.0,Sustainable Grassland Management,AFOLU_no_REDD,0.0,['vm0042'],listed,acuerdo
1392,Cajambre REDD+ Project,REDD,Registered,S3,False,76109,BUENAVENTURA,REDD,694190.0,REDD+,REDD,694190.0,['vm0006'],registered,acuerdo
3970,Carbon In Flavor and Arome Forests (C-BOSAR),AFOLU_no_REDD,Registered,S3,False,20570,PUEBLO BELLO,AFOLU_no_REDD,0.0,Afforestation/Reforestation,AFOLU_no_REDD,0.0,['ar-acm0003'],registered,acuerdo
3927,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,AFOLU_no_REDD,Registration and verification approval requested,S2,False,50573,PUERTO LÓPEZ,AFOLU_no_REDD,0.0,Sustainable Grassland Management,AFOLU_no_REDD,0.0,['vm0042'],listed,acuerdo
1390,Carmen del Darién (CDD) REDD+ Project,REDD,Registered,S3,False,27150,CARMEN DEL DARIÉN,REDD,681565.0,REDD+,REDD,681565.0,['vm0006'],registered,acuerdo
1835,Caruquia 9.76 MW Hydroelectric Project,no_AFOLU,Late to Verify,S2,False,5686,SANTA ROSA DE OSOS,no_AFOLU,23636.0,Hydropower,no_AFOLU,23636.0,['ams-i-d'],unknown,acuerdo
2969,CHONTA COROZO REDD+,REDD,Pipeline listing requested (under development),S1,False,19318,GUAPI,sin_dato,,,sin_dato,,,,sin_contraste
5680,CO2ROZO,REDD,Pipeline listing (under development) approved,S1,True,8001,BARRANQUILLA,REDD,0.0,REDD+,REDD,0.0,"['vm0007', 'vm0042']",listed,acuerdo
2071,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",REDD,Under validation (Public comment period closed),S1,False,27001,QUIBDÓ,REDD,0.0,REDD+,REDD,0.0,"['vm0006', 'vm0048']",listed,acuerdo
1400,Concosta REDD+ Project,REDD,Registered,S3,False,27077,BAJO BAUDÓ,REDD,727518.0,REDD+,REDD,727518.0,['vm0006'],registered,acuerdo
2723,CONDOTO REDD+,REDD,Verification approval requested,S2,False,27205,CONDOTO,REDD,397194.0,REDD+,REDD,397194.0,['vm0007'],unknown,acuerdo
2298,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",REDD,Pipeline listing (under development) approved,S1,False,76109,BUENAVENTURA,REDD,0.0,REDD+,REDD,0.0,['vm0006'],listed,acuerdo
1821,Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',REDD,Withdrawn,S1,False,94001,INÍRIDA,REDD,0.0,REDD+,REDD,0.0,['vm0007'],completed,acuerdo
2084,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",REDD,Registered,S3,False,50590,PUERTO RICO,REDD,0.0,REDD+,REDD,0.0,['vm0015'],registered,acuerdo
2872,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+  PROJECT,REDD,Withdrawn,S1,False,18756,SOLANO,REDD,0.0,REDD+,REDD,0.0,['vm0007'],completed,acuerdo
2532,Cumare carbon project,AFOLU_no_REDD,Registered,S3,False,50689,SAN MARTÍN,AFOLU_no_REDD,1220754.0,Afforestation/Reforestation,AFOLU_no_REDD,1220754.0,['ar-acm0003'],registered,acuerdo
479,Curva de Rodas and La Pradera landfill gas management project,no_AFOLU,Late to Verify,S2,False,5212,COPACABANA,no_AFOLU,19722.0,Landfill Methane,no_AFOLU,19722.0,['acm0001'],unknown,acuerdo
