tarea,fuente,nombre_proyecto,COD_DANE,nota,clasificacion_sugerida,motivo_sugerencia,clave,anio_inicio,id_registro,n_registros,url,tipo_registro,tokens_match,cod_dane_match
MUNICIPIO,cercarbono,Proyecto Carbono CAS,19392,"Carbono CAS (CDC-73): token LA SIERRA, probable nombre de la empresa",AFOLU,Sector: Land use (AFOLU),cercarbono|proyecto carbono cas,2008.0,CDC-73,1.0,https://www.ecoregistry.io/projects/73,,LA SIERRA,19392
MUNICIPIO,cercarbono,Carbono Paja Perdida,05659,"Cercarbono: ubicacion por texto, verificar con Project URL",AFOLU,Sector: Land use (AFOLU),cercarbono|carbono paja perdida,2008.0,CDC-4,1.0,https://www.ecoregistry.io/projects/4,,SAN JUAN DE URABA,05659
MUNICIPIO,cercarbono,Bonos de Carbono Caracoli,05142,"Cercarbono: ubicacion por texto, verificar con Project URL",AFOLU,Sector: Land use (AFOLU),cercarbono|bonos de carbono caracoli,2010.0,CDC-10,1.0,https://www.ecoregistry.io/projects/10,,CARACOLI,05142
MUNICIPIO,renare,Proyecto de Conservación PALAMEKU KUWEI REDD+,94888,"Morichal: plausible, no verificable por nombre",AFOLU,tipo: Proyecto REDD+,renare|proyecto de conservacion palameku kuwei redd+,2010.0,68b229ae2cb375c800b83a79;68b22b702cb375c800b83c20,2.0,,Proyecto REDD+,MORICHAL,94888
MUNICIPIO,cercarbono,Carbono Ganados y Bosques,05490,"Cercarbono: ubicacion por texto, verificar con Project URL",AFOLU,Sector: Land use (AFOLU),cercarbono|carbono ganados y bosques,2010.0,CDC-30,1.0,https://www.ecoregistry.io/projects/30,,NECOCLI,05490
MUNICIPIO,cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",68081,"Cercarbono: ubicacion por texto, verificar con Project URL",AFOLU,Sector: Land use (AFOLU),"cercarbono|proyecto de mitigacion en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en el municipio de barrancabermeja, santander, colombia.",2013.0,CDC-25,1.0,https://www.ecoregistry.io/projects/25,,BARRANCABERMEJA,68081
MUNICIPIO,verra,"Sustainable Agroforestry Cacao Meta, Colombia",50124,"Cabuyaro: plausible, no verificable por nombre",AFOLU,sectoralScope: Agriculture Forestry and Other Land Use,"verra|sustainable agroforestry cacao meta, colombia",2017.0,,,,,,
MUNICIPIO,renare,Sustainable Agroforestry Cacao Meta,50124,"Cabuyaro: plausible, no verificable por nombre",REVISAR,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|sustainable agroforestry cacao meta,2017.0,68b22bfc2cb375c800b83cb8,1.0,,PDBC - Proyectos de Desarrollo Bajo en Carbono,CABUYARO,50124
MUNICIPIO,cercarbono,Proyecto de Conservación UNU-MAI REDD+,94001,"Cercarbono: ubicacion por texto, verificar con Project URL",AFOLU,Sector: Land use (AFOLU),cercarbono|proyecto de conservacion unu-mai redd+,2017.0,CDC-148,1.0,https://www.ecoregistry.io/projects/148,,INIRIDA,94001
MUNICIPIO,cercarbono,Carbono Rancho Victoria,50573,"Cercarbono: ubicacion por texto, verificar con Project URL",AFOLU,Sector: Land use (AFOLU),cercarbono|carbono rancho victoria,2018.0,CDC-180,1.0,https://www.ecoregistry.io/projects/180,,PUERTO LOPEZ,50573
MUNICIPIO,renare,Proyecto REDD+ Origen Atrato - Baudó_,27050,Bajo Atrato asignado a Atrato; esperado Riosucio/Unguia,AFOLU,tipo: Proyecto REDD+,renare|proyecto redd+ origen atrato - baudo_,2018.0,68b22b302cb375c800b83be7,1.0,,Proyecto REDD+,ATRATO,27050
MUNICIPIO,renare,Proyecto REDD+ del Bajo Atrato,27050,Bajo Atrato asignado a Atrato; esperado Riosucio/Unguia,AFOLU,tipo: Proyecto REDD+,renare|proyecto redd+ del bajo atrato,2018.0,68b22a512cb375c800b83b1f,1.0,,Proyecto REDD+,ATRATO,27050
MUNICIPIO,cercarbono,ORINOCO REDD+ PROJECT,99773,"Cercarbono: ubicacion por texto, verificar con Project URL",AFOLU,Sector: Land use (AFOLU),cercarbono|orinoco redd+ project,2018.0,CDC-156,1.0,https://www.ecoregistry.io/projects/156,,CUMARIBO,99773
MUNICIPIO,renare,BAJO ATRATO REDD+ PROJECT,27050,Bajo Atrato asignado a Atrato; esperado Riosucio/Unguia,AFOLU,tipo: Proyecto REDD+,renare|bajo atrato redd+ project,2019.0,68b22c902cb375c800b83d54,1.0,,Proyecto REDD+,ATRATO,27050
MUNICIPIO,renare,ORIGEN ATRATO-BAUDÓ REDD+ PROJECT,27050,Bajo Atrato asignado a Atrato; esperado Riosucio/Unguia,AFOLU,tipo: Proyecto REDD+,renare|origen atrato-baudo redd+ project,2019.0,68b22c952cb375c800b83d58,1.0,,Proyecto REDD+,ATRATO,27050
