tarea,fuente,nombre_proyecto,COD_DANE,nota,clasificacion_sugerida,motivo_sugerencia,clave,anio_inicio,id_registro,n_registros,url,tipo_registro,tokens_match,cod_dane_match
SECTOR,renare,Proyecto de Desarrollo Bajo en Carbono - Granja Solar El Cinco,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|proyecto de desarrollo bajo en carbono - granja solar el cinco,,6a7e79ab956159ac50315e7d,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Sembrando Futuro 2.0,,"Verificado como proyecto de restauración forestal/ARR en Antioquia. Evidencia pública de implementación 2023-2026; se usa 2023 como primer año de implementación pública, no como fecha RENARE confirmada.",REVISAR,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|sembrando futuro 2.0,2023.0,6a7cdbba2ae62d26b5e216ec,1.0,https://www.terraformation.com/projects/sembrando-futuro-2-0-colombia,PDBC - Proyectos de Desarrollo Bajo en Carbono,JARDIN;TAMESIS,5364;5789
SECTOR,renare,Rehabilitación del Corredor Férreo La Dorada - Chiriguaná,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|rehabilitacion del corredor ferreo la dorada - chiriguana,,6a6365cec4dc4aa74a6f1b69,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,CALDAS;CHIRIGUANA;CIENAGA;LA DORADA,15131;17380;20178;47189;5129
SECTOR,renare,Diseño y desarrollo de sistemas de tratamientos de aguas residuales domésticas e industriales a través de biomasas adsorbentes. ,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde principalmente a energía, residuos, transporte, industria o infraestructura; no se identifica como AFOLU.",NO_AFOLU,tipo=MDL - Proyectos del Mecanismo ; actividades sugiere AFOLU,renare|diseno y desarrollo de sistemas de tratamientos de aguas residuales domesticas e industriales a traves de biomasas adsorbentes.,,6a0ce0526ba4657064ecab7a,1.0,https://renare.minambiente.gov.co/,MDL - Proyectos del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,Proyecto Forestal CO2CERO Chigüiro,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|proyecto forestal co2cero chiguiro,,6995c4dbdc90ca1cbe64d7fc,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,,
SECTOR,renare,Proyecto Forestal CO2CERO Alcaraván Orinoquia,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|proyecto forestal co2cero alcaravan orinoquia,,6973d618dc90ca1cbe64d460,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,CUMARIBO;PUERTO GAITAN;PUERTO LLERAS,50568;50577;99773
SECTOR,renare,Proyecto CO2CERO COL LA GLORIA - Alouatta Carbon Forest,,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,renare|proyecto co2cero col la gloria - alouatta carbon forest,,695d37c9dc90ca1cbe64d1fa,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,LA GLORIA,20383
SECTOR,renare,MDL PoA Mundo verde,,Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | REVISAR: el nombre disponible no permite confirmar con suficiente certeza la naturaleza AFOLU/no-AFOLU ni la fecha de inicio; no se imputa un año.,REVISAR,tipo=MDL PoA - Programas de Activid; actividades sugiere AFOLU,renare|mdl poa mundo verde,,691726b38903bc9c31018518,1.0,https://renare.minambiente.gov.co/,MDL PoA - Programas de Actividades del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,hkjhkh,,Registro de prueba / nombre no informativo; no debe entrar como proyecto AFOLU sin validación manual en RENARE.,REVISAR,tipo=MDL - Proyectos del Mecanismo ; actividades sugiere AFOLU,renare|hkjhkh,,69133b64471be180c8ed9831,1.0,https://renare.minambiente.gov.co/,MDL - Proyectos del Mecanismo de Desarrollo Limpio,,
SECTOR,renare,"Proyecto de Captura de Carbono, y Conservación Hídrica del Bosque Altoandino-Húmedo en la Finca La Giovanna, Pamplona (Norte de Santander). 
",,"Fuente primaria: RENARE/MinAmbiente; el detalle individual no está indexado públicamente en buscadores. Se conserva REVISAR cuando la ficha pública no permitió confirmar fecha de inicio. | Clasificación revisada: la actividad/nombre corresponde a uso de suelo, forestación/reforestación, conservación de bosques, agroforestería o ganadería/biomasa en tierras; AFOLU.",AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,"renare|proyecto de captura de carbono, y conservacion hidrica del bosque altoandino-humedo en la finca la giovanna, pamplona (norte de santander).",,690caa31471be180c8ed9765,1.0,https://renare.minambiente.gov.co/,PDBC - Proyectos de Desarrollo Bajo en Carbono,PAMPLONA,54518
