fuente,nombre_proyecto,campo_sectorial,COD_DANE,anio_inicio,clase,motivo
cercarbono,Bonos Verdes Colombia Grupo Custodiar S.A.,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal,13212;52215;63212,,AFOLU_NO_REDD,sector~afforest
cercarbono,Bonos de Carbono Caracoli,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | PROTOCOL CVCC 3.1 | Removal",05142,,AFOLU_NO_REDD,sector~reforest
cercarbono,CARBONO GRESCO2,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | ES-I-CC-002, PROTOCOL CVCC V1.1 | Re",05129;15131;17433;17541;17873;25743;52381,,AFOLU_NO_REDD,sector~reforest
cercarbono,CARBONO NEGOCIOS AGROFORESTALES,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05154;05895;13654,,AFOLU_NO_REDD,sector~afforest
cercarbono,CARBONO OXIGENO PARA TODOS,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05001;05129;05148;05607;15131;54245,2009.0,AFOLU_NO_REDD,sector~afforest
cercarbono,CARBONO RINCCO,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",,2008.0,AFOLU_NO_REDD,sector~afforest
cercarbono,CARBONO SANTA INES,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",13654;13657,2013.0,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Agroforestal La Argentina,"NTC 6208 - Mitigation actions in the land use, change in land use and forestry sector at the rural level, incorporating social and biodiversity considerations | Land use (AFOLU) | PROTOCOL CVCC 3.1 | ",05001;05858;41378,,AFOLU_NO_REDD,nombre~agroforest
cercarbono,Carbono Agroporvanda,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V1.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Agrorios,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V1.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Bagatela,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal",05051;13212;23419;52215;63212,2011.0,AFOLU_NO_REDD,sector~reforest
cercarbono,Carbono Flor y Nuevo,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V1.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Ganados y Bosques,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal,05490,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Hass,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | PROTOCOL CVCC 4.2 | Removal",05129;15104;15131;17616,,AFOLU_NO_REDD,sector~reforest
cercarbono,Carbono Inmunizar,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono La Puya y San Lorenzo,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",13212;23419;52215;52687;63212,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Nueva Esperanza,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Paja Perdida,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05659,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Rancho Victoria,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | PROTOCOL CVCC 4.2 | Removal",50573,,AFOLU_NO_REDD,sector~reforest
cercarbono,Carbono Reforesta,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Reforestadora El Guasimo,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05001;05129;15131,2007.0,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Refosinu,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | ES-I-CC-002 | Removal,,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carbono Verde,CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands | Land use (AFOLU) | PROTOCOL CVCC V2.1 | Removal,13212;23580;52215;63212,,AFOLU_NO_REDD,sector~afforest
cercarbono,Carvida,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05129;15131,2007.0,AFOLU_NO_REDD,sector~afforest
cercarbono,LIGNUS - BONOS DE CARBONO,"CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Land use (AFOLU) | PROTOCOL CVCC 4.4 | Removal",13873;44874;68872;85162;85440,2020.0,AFOLU_NO_REDD,sector~reforest
cercarbono,MultiAntioquia,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05129;05670;15131;17013;19110;52381;68013,,AFOLU_NO_REDD,sector~afforest
cercarbono,Nucleos Carbono,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",05001;05036;05129;05347;05647;05887;05890;15131;68669;73675;88001,,AFOLU_NO_REDD,sector~afforest
cercarbono,PROYECTO ASOCIATIVO PROGRAMATICO ZONA ANDINA Y COSTA ATLANTICA - FCG,"CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands, CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishm",,2011.0,AFOLU_NO_REDD,sector~afforest
