projectName,_nom_exp,methodology,afolu_activities,clase_metodologia,motivo_metodologia,clase_titulo,status_registro,estado_registro,es_wrc,metodo_match,score_match,COD_DANE,NOMBRE_MPI,requiere_revision
"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems","Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",AR-ACM0003 (Version NA),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,REDD_por_titulo,Late to Verify,S2,False,id,1.0,25793,TAUSA,True
BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,VM0007 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0007,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,23672,SAN ANTERO,True
CO2ROZO,CO2ROZO,"VM0007 (Version NA), VM0042 (Version NA)","ALM,REDD,WRC",REDD_ESTRICTO,metodologia VM0007,no_REDD_por_titulo,Pipeline listing (under development) approved,S1,True,id,1.0,8001,BARRANQUILLA,True
Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',Conservación de los Ecosistemas y el Almacén de Carbono Región de Transición Guayano Amazónica 'Flor de Inírida',VM0007 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0007,no_REDD_por_titulo,Withdrawn,S1,False,id,1.0,94001,INÍRIDA,True
Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,VM0015 (Version NA),REDD,REDD_ESTRICTO,metodologia VM0015,no_REDD_por_titulo,Registration requested,S1,False,id,1.0,27800,UNGUÍA,True
"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA","AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",AR-ACM0003 (Version NA),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Registered,S3,False,id,1.0,99001,PUERTO CARREÑO,False
Bella Bosque Vichada Afforestation Project,Bella Bosque Vichada Afforestation Project,VM0047 (Version NA),ARR,AFOLU_NO_REDD,metodologia VM0047,no_REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,99524,LA PRIMAVERA,False
Boomitra grassland Restoration in Colombia,Boomitra grassland Restoration in Colombia,VM0042 (Version NA),ALM,AFOLU_NO_REDD,metodologia VM0042,no_REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,20295,GAMARRA,False
Carbon In Flavor and Arome Forests (C-BOSAR),Carbon In Flavor and Arome Forests (C-BOSAR),AR-ACM0003 (Version 2),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Registered,S3,False,id,1.0,20570,PUEBLO BELLO,False
CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,VM0042 (Version 2),ALM,AFOLU_NO_REDD,metodologia VM0042,no_REDD_por_titulo,Registration and verification approval requested,S2,False,id,1.0,50573,PUERTO LÓPEZ,False
Cumare carbon project,Cumare carbon project,AR-ACM0003 (Version NA),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Registered,S3,False,id,1.0,50689,SAN MARTÍN,False
Finca la Paz II,Finca la Paz II,VM0047 (Version NA),ARR,AFOLU_NO_REDD,metodologia VM0047,no_REDD_por_titulo,Registration and verification approval requested,S2,False,id,1.0,99001,PUERTO CARREÑO,False
"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region","Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region",AR-ACM0003 (Version 2),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,73043,ANZOÁTEGUI,False
Forestry Project “More Forests for Medellin”,Forestry Project “More Forests for Medellin”,AR-ACM0003 (Version 2),,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Withdrawn,S1,False,id,1.0,5001,MEDELLÍN,False
Green and Carbon Capture project,Green and Carbon Capture project,VM0047 (Version NA),ARR,AFOLU_NO_REDD,metodologia VM0047,no_REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,47551,PIVIJAY,False
Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada,Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada,AR-ACM0003 (Version NA),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Registered,S3,False,id,1.0,99001,PUERTO CARREÑO,False
"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia","Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia","AR-ACM0003 (Version NA), VM0005 (Version NA)","IFM,REDD",AFOLU_NO_REDD,metodologia AR-ACM0003/VM0005,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,68190,CIMITARRA,False
"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia","MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",VM0047 (Version NA),ARR,AFOLU_NO_REDD,metodologia VM0047,no_REDD_por_titulo,Pipeline listing (under development) approved,S1,False,id,1.0,47189,CIÉNAGA,False
NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION,NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION,VM0042 (Version NA),ALM,AFOLU_NO_REDD,metodologia VM0042,no_REDD_por_titulo,Under validation (Public comment period closed),S1,False,id,1.0,99524,LA PRIMAVERA,False
"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia","NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia",AR-ACM0003 (Version NA),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Verification approval requested,S2,False,id,1.0,5579,PUERTO BERRÍO,False
Recovery of degraded areas with agroforestry systems in Colombia,Recovery of degraded areas with agroforestry systems in Colombia,AR-ACM0003 (Version NA),ARR,AFOLU_NO_REDD,metodologia AR-ACM0003,no_REDD_por_titulo,Late to Verify,S2,False,id,1.0,5837,TURBO,False
