id,entityId,esUpdatedOn,standardId,standardName,accountId,accountName,modifiedDate,auxiliaries,status,publicStateNameEn,projectId,projectName,projectDescription,environmentalCategory,piusListed,projectStartDate,projectActivationDate,projectPublicVisibility,statePublicVisibility,projectSubmittedDate,projectRegistrationDate,projectEndDate,masterProjectId,masterProjectName,projectType,vcsProjectId,validatorName,validatorId,ragRating,stateCode,units,countryId,countryName,city,stateProvince,gridReference,latitude,longitude,accountExternalIdentifier,certification,additionalCertification,additionalGoalInfo,complianceEligibility,projectSubmissionId,submissionDate,startDate,latitudeLongitude,sectoralScope,unitsIssuedInPermanenceBufferAccount,unitsIssuedInCorrespondingAdjustmentReserveAccount,unitsIssuedInCountrySopReserveAccount,electricityGenerated,plasticCredits,exanteQuantity,unitsGhgEmissionReduction,unitsIssued,unitsInOmgeAccount,unitsInAppFundAccount,hcloaName,corrAdjustmentName,projectCategory,projectActivityType,considerAccountPrivate,authorizedRepresentative,methodologies,ccbStandardTypeId,ccbStandardTypeName,periodOfValidityStart,verraProjectRegistrationDate,regionId,regionName,area,website,proponents,afoluNames,avgAnnualVolVcu,otherGhgProgramName,otherGhgProgramId,registeredOtherGhgProgram,jnrProgramProjectName,creditPeriodStartDate,creditPeriodEndDate,sdContributions,projectSize,projectSizeId,creditPeriodTerm,creditPeriod,jurisdictionalStatus,jurisdictionalStatusId,jnrScenario,jnrScenarioId,dateOfInactivity,linkedVcsProjectId,registeredInVcs,estimatedAnnualCarbonDioxideRemovals,estimatedEmissionsAnnualReduction,projectMaterialTypes,projectEndOfLifeSelections,fuente,_id_estable
110200000674123,110200000674123,2026-08-21T17:27:46.103504499,150000000000001,Verified Carbon Standard,,,2024-03-14T09:42:14,,Pipeline Listing (under development) approved,Pipeline listing (under development) approved,3475,ACABA REDD+ Project,"The ACABA REDD+ Project is located in the General Community Council of the Baudó River and its Tributaries (ACABA) on the Pacific coast of the department of Chocó. The Project contains very humid tropical forest with transition to tropical pluvial forest, and has unique habitat conditions for both flora and fauna. It is considered an invaluable region at the national and international level and is classified as one of the of the most biodiverse hotspots on Earth, characterized by the presence of endemic species. Significant and exponential deforestation has occurred in the region over time, which according to the IDEAM forest monitoring report for the 2010-2017 period was 10,559 ha. This scenario is the caused by a lack of territorial planning, which in turn results in processes associated with wood extraction, the expansion of the agricultural frontier, the establishment of crops for illicit use, unplanned infrastructure, the construction of new road accesses, and itinerant open-pit mining. The project uses a standalone approach and an annual average of 208,556 tCO2e are expected to be reduced with a total reduction of 6,465,226 tCO2e over the project’s lifetime of thirty years. With the implementation of the REDD+ project, the community will achieve the reduction of emissions resulting from deforestation and forest degradation, and thereby environmental and social benefits will be generated. Additionally, economic resources will be available to be invested in the creation of productive opportunities aimed at improving the living conditions of the inhabitants, in alignment with the ACABA ethno-development plan. The Project is eligible under the VCS Program and uses the VM0009, v3 Methodology. The project will have a AUDD activity type baseline scenario, using Colombia’s national Forest Reference Emissions Levels (FREL). The project will generate GHG emission reductions by reducing unplanned deforestation, covering activities within the scope of the VCS Program.",Carbon,No,2019-02-13T00:00:00,,True,True,,,2029-02-12T00:00:00,,,,3475,,,,PIPELINE_LISTING_UNDER_DEVELOPMENT_APPROVED,False,100000000000011,Colombia,Municipalities of Alto Baudó and Medio Baudó,department of Chocó,,5.539792,77.105663,,,,,,3475,2019-02-13T00:00:00,2019-02-13T00:00:00,5.539792/77.105663,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-02-13T00:00:00,,150000000000045.0,Latin America,98683.0,https://www.wildlifeworks.com/,"Consejo Comunitario General Del Río Baudo y sus Afluentes, ACABA",REDD,208556,,,False,,2019-02-13T00:00:00,2029-02-12T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,,,,,,,,False,,,,,verra_platts,3475
110200000673379,110200000673379,2026-08-21T17:27:46.001735749,150000000000001,Verified Carbon Standard,,,2026-08-12T17:15:37.27,,Inactive,Inactive,3215,ASATIQ Vaupés Maloca REDD+ Project,"The ASATIQ Vaupés Maloca REDD+ Project is located within the area of the Association of Traditional Indigenous Authorities of Querarí (ASATIQ), which is part of the Great Eastern Indigenous Reservation of Vaupés in jurisdiction of the municipality of Mitú, in the department of Vaupés, Colombia. ASATIQ’s territory is located in the Colombian Amazon biome. The objective of the ASATIQ Vaupés Maloca REDD+ Project is to reduce greenhouse gas emissions coming mainly from deforestation and degradation of the Amazon Forest. Potential activities to reduce deforestation include forest protection and monitoring, the intensification and improvement of agricultural productivity in local communities, planting of fruit and timber trees (including those used for firewood), planting of other species used as construction materials, the creation of jobs as an alternative source of income (for example, in forest monitoring) and the improvement of health and education conditions of the communities in order to offer non-extractive work options. At the same time, actions in the medium and long terms have been defined to support the territory’s self-governance principles, as well as to promote the development of local traditional practices and ancestral education. The proposals made are framed aligned with the general action lines of the ASATIQ Life Plan. On the other hand, between 40% and 60% of recent IDEAM deforestation early warning bulletins come from the Amazon, and the department of Vaupés appears in the first five ranks of alert. Under these circumstances, the without-project scenario presents an unplanned use of forest resources with extractive logging activities and the expansion of the agricultural frontier through subsistence crops and itinerant mining, which are being developed progressively putting at risk the ecosystem balance of the forests and the cultural traditions of the communities. The duration of the project is proposed from January 1, 2018 to December 31, 2047.",Carbon,No,2019-11-08T00:00:00,,True,True,,,2049-11-07T00:00:00,,,,3215,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,INACTIVE,False,100000000000011,Colombia,municipality of Mitu,Department of Vaupés,,1.605186,70.48573,,,,,,3215,2019-11-08T00:00:00,,1.605186/70.485730,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-11-08T00:00:00,,150000000000045.0,Latin America,391310.0,www.wildlifeworks.com,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),REDD,943225,,,False,,2019-11-08T00:00:00,2049-11-07T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,3215
110200000673688,110200000673688,2026-08-21T17:27:46.021506895,150000000000001,Verified Carbon Standard,,,2024-11-01T20:12:04,,Registration and verification approval requested,Registration and verification approval requested,3216,ASATRIZY Vaupés Maloca REDD+ Project,"The ASATRIZY Vaupés Maloca REDD+ Project proposed to be implemented in the Great Eastern Reservation of Vaupés is in the Reduced Emissions from Deforestation and Degradation (REDD+) category. Development of the REDD+ project is based on the VM0009 Methodology, v3 of the VCS. This methodology is applicable to this project and is being used for other REDD+ projects in the region. It has also been used by Wildlife Works, having two types of areas of application.  The first, corresponding to the Project Area (PA) and the second to the Project Accounting Area (PAA). The PAA is the area with forest cover, where the project would implement activities to prevent deforestation and whose results would be used to calculate carbon credits. According to the territory conditions, this is a standalone project that respects ASATRIZY’s autonomy. In the without-project scenario, the forest ecosystems in the department of Vaupés and in particular those in the territory of ASATRIZY are located in life zones of tropical humid forest. This area has been recognized as one of the most biodiverse in the country and the whole continent, being characterized by its endemic species. The forest monitoring carried out by the Colombian Government and coordinated by IDEAM has shown a national annual deforestation average between 177,764 ha and 219,552 ha for the 2016-2017 period, with the Amazon biome representing 70% of the total deforestation. In addition, between 40% and 60% of recent IDEAM deforestation early warning bulletins come from the Amazon, and the department of Vaupés appears in the first five ranks of alert. According to this scenario and based on data obtained from the Amazonian Scientific Research Institute (SINCHI) and through field visits carried out by WWC, it was possible to identify the unplanned use of forestry resources as the main driver of deforestation in the project area, consisting of “slash-and-burn” activities in the jungle to expand the chagras.",Carbon,No,2019-05-30T00:00:00,,True,True,,,2049-05-29T00:00:00,,,,3216,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,REGISTRATION_VERIFICATION_APPROVAL_REQ,False,100000000000011,Colombia,Municipality of Mitú,Department of Vaupés,,0.588388,70.455077,,,,,,3216,2019-05-30T00:00:00,2019-05-30T00:00:00,0.588388/70.455077,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-05-30T00:00:00,,150000000000045.0,Latin America,128556.0,www.wildlifeworks.com,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),REDD,355612,,,False,,2019-05-30T00:00:00,2049-05-29T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,3216
110200000677888,110200000677888,2026-08-21T17:27:52.638254306,150000000000001,Verified Carbon Standard,,,2024-12-09T00:37:24,,Registration and verification approval requested,Registration and verification approval requested,3210,Bajo Atrato REDD+ Project,"The purpose of the REDD+ Bajo Atrato project is to reduce GHG emissions from deforestation and forest degradation activities, envisioning that the efforts of the communities inhabiting and owning the territories where it is located are materialized in actions that lead to forest conservation and the improvement of living conditions. The project is located in the northwest of Colombia, in the Department of Chocó, between the municipalities of Riosucio and Carmen del Darién, in the lower basin of the Atrato River, which is part of the Darién area. In the area of the project’s first instance, the following Afro-descendant communal lands are grouped: the Quiparadó River Basin Community Council, the Curbaradó River Community Council, the Salaquí River Basin Community Council, the Cacarica River Basin Community Council, the Truandó Medio La Teresita Community Council, the Bocas de Taparal Community Council, the Dos Bocas Chintado Community Council, the La Nueva Truandó Community Council, and the Clavellino Community Council. The actions that will make possible to reduce deforestation and forest degradation in the project area are aligned with the needs and purposes  identified during the first meetings with the communities and while conducting the prior, free and informed consent process. These actions are aimed at achieving four major purposes: strengthening of governance and community management; improvement of community welfare; provision of social and community infrastructure; and boost of sustainable livelihoods and environmental protection, basic sanitation and aqueducts. The lands in the project area include tropical pluvial forests with transition to cold and very humid tropical forests. There, forests, grasslands, secondary vegetation, swampy areas and agroecosystems are found. In these areas, deforestation is associated with wood extraction, agricultural frontier expansion, illicit crop cultivation, and unplanned infrastructure construction.",Carbon,No,2019-10-17T00:00:00,,True,True,,,2049-10-16T00:00:00,,,,3210,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,REGISTRATION_VERIFICATION_APPROVAL_REQ,False,100000000000011,Colombia,Municipalities of Riosucio and Carmen del Darién,Department of Chocó,,7.354147,77.391208,,,,,,3210,2019-10-17T00:00:00,2019-10-17T00:00:00,7.354147/77.391208,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-10-17T00:00:00,,150000000000045.0,Latin America,313082.0,www.wildlifeworks.com,Multiple Project Proponents,REDD,668184,,,False,,2019-10-17T00:00:00,2049-10-16T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,3210
110200000675301,110200000675301,2026-08-21T17:27:46.293129712,150000000000001,Verified Carbon Standard,,,2024-05-09T14:11:29,,Registered,Registered,3970,Carbon In Flavor and Arome Forests (C-BOSAR),"The Carbon in Flavor and Aroma Forest (C-BOSAR), is a ARR carbon sequestration grouped project proposed by PROJECT SIERRA , designed by ECOTIERRA and RIOSIERRA with the support of RED ECOLSIERRA . The project is based on improving existent land use models to introduce coffee, cocoa, and honey agroforestry systems. The project aims to develop improved agroforestry systems for the production of shade coffee, cocoa and honey, with organic and fair-trade certification, through tree planting, the restoration of the community-nature relationship, technical training and assistance and contribution to the strengthening of value chains for these products in the Sierra Nevada de Santa Marta and the Serranía del Perijá.",Carbon,No,2022-09-02T00:00:00,2024-05-09T14:11:29,True,True,,,2072-09-01T00:00:00,,,,3970,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,REGISTERED,False,100000000000011,Colombia,"Sierra Nevada de Santa Marta, Serranía del Perija","Magdalena, La Guajira and Cesar departments",,-73.5187,10.4316,,,,,,3970,2022-09-02T00:00:00,2022-09-02T00:00:00,-73.518700/10.431600,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,AR-ACM0003 (Version 2),,,2022-09-02T00:00:00,2024-05-09T00:00:00,150000000000045.0,Latin America,3858.0,https://www.ecotierra.co/our-projects,Multiple Project Proponents,ARR,10247,,,False,,2022-09-02T00:00:00,2072-09-01T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,50.0,,,,,,,False,,,,,verra_platts,3970
110200000676584,110200000676584,2026-08-21T17:27:52.550365902,150000000000001,Verified Carbon Standard,,,2023-02-10T15:21:46,,Pipeline listing requested (under development),Pipeline listing requested (under development),2969,CHONTA COROZO REDD+,"The CHONTA COROZO REDD+ project develops in the upper and middle basin of the Guapi river in the Colombian pacific region, known as Choco Biogeographic, characterized by its high biodiversity. This area is immersed in the territories awarded to Community Council of the Alto Guapi (INCORA Resolution 01083 of 1998). These territories have historically been characterized by the confluence of deforestation drivers, among which the following stand out: the conversion of the forest lands for crops or pastures, the extraction of elements from the forest in a little controlled way (illegal extraction of wood and extraction of firewood), population migration, illegal activities and natural phenomena promoted by human activities. By associating these phenomena with the socioeconomic conditions presented by the community council and its closets territorial environment, which is the municipality of Guapi, in Cauca. It is evident that there is a high percentage of unsatisfied basic needs, mainly related to health conditions, informal work, and education. Therefore, acknowledging these limitations for the social development of the council and the guarantee of the conservation of the ecosystems that inhabit, we bring forward the importance of generating mechanisms to strengthen local aspects to overcome these limitations. With the development of the activities framed in each line of action, it is intended to develop participatory processes that allow the establishment of a sustainable forest management system, which allows the mitigation of the threats posed by the deforestation drivers described. This through the strategy of avoiding deforestation and forest degradation through the implementation of the REDD+ project (Reduction of Emissions due to Deforestation and Forest Degradation, conservation of carbon reserves, sustainable management of forests and improvement of forest reserves in developing countries).",Carbon,No,2017-07-01T00:00:00,,True,True,,,2037-06-30T00:00:00,,,,2969,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,PIPELINE_LISTING_UNDER_DEVELOPMENT,False,100000000000011,Colombia,Guapi/Cauca,Consejo Comunitario Alto Guapi,,2.281089,77.668355,,,,,,2969,2017-07-01T00:00:00,2017-07-01T00:00:00,2.281089/77.668355,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0007 (Version NA),,,2017-07-01T00:00:00,,150000000000045.0,Latin America,93142.0,https://www.biofix.co/proyectos,Multiple Project Proponents,REDD,129,,,False,,2017-07-01T00:00:00,2037-06-30T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,20.0,,,,,,,False,,,,,verra_platts,2969
110200000675201,110200000675201,2026-08-21T17:27:46.287098187,150000000000001,Verified Carbon Standard,,,2026-04-24T13:38:16,,Pipeline Listing (under development) approved,Pipeline listing (under development) approved,5680,CO2ROZO,"CO2rozo is a large-scale grouped project within the AFOLU sector that aims to mitigate climate change through the conservation of strategic ecosystems and the sustainable transformation of livestock systems in the Caribbean region of Colombia. Its approach integrates forest and wetland protection with the implementation of regenerative agricultural practices, combining two methodologies: VM0007 – REDD+ for the conservation of natural ecosystems, and VM0042 – Improved Agricultural Land Management, for the transition to sustainable livestock systems. The project has a 40-year crediting period, during which it plans to intervene in over 200,000 hectares distributed across private lands in the Colombian Caribbean. The project area encompasses the departments of Atlántico, Antioquia, Bolívar, Cesar, Córdoba, La Guajira, Magdalena, Norte de Santander, Santander, and Sucre, all located within the Colombian Caribbean biome—a region of high ecological value that has experienced significant degradation due to agricultural frontier expansion. This region includes critical ecosystems such as tropical dry forests, seasonal wetlands, and natural savannas. REDD+ activities (VM0007) are designed to avoid unplanned deforestation and conserve remaining patches of tropical dry forests and inland wetlands through interventions such as knowledge management, land cover monitoring, hydrological restoration, and the formalization of voluntary conservation agreements with rural landowners to protect areas of high ecological value. IALM activities (VM0042) promote a regenerative livestock model through actions such as the implementation of silvopastoral systems, elimination of fire use, and improved pasture and water management. These measures aim to restore soils, increase soil organic carbon (SOC) content, and reduce emissions associated with enteric methane (CH₄) and nitrous oxide (N₂O) from conventional pasture and manure management practices.",Carbon,No,2024-07-01T00:00:00,,True,True,,,2064-06-30T00:00:00,,,,5680,,,,PIPELINE_LISTING_UNDER_DEVELOPMENT_APPROVED,False,100000000000011,Colombia,BARRANQUILLA,ATLANTICO,,11.011883,74.791289,,,,,,5680,2024-07-01T00:00:00,2024-07-01T00:00:00,11.011883/74.791289,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,"VM0007 (Version NA), VM0042 (Version NA)",,,2024-07-01T00:00:00,,150000000000045.0,Latin America,400000.0,https://www.cataruben.org/project/Co2rozo,FUNDACIÓN CATARUBEN,"ALM,REDD,WRC",336242,,,False,,2024-07-01T00:00:00,2064-06-30T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,40.0,,,,,,,False,,,,,verra_platts,5680
110200000676301,110200000676301,2026-08-21T17:27:52.533425564,150000000000001,Verified Carbon Standard,,,2026-03-26T23:48:31,,Pipeline Listing (under development) approved,Pipeline listing (under development) approved,5756,El Estero biogas recovery and utilization,"The El Estero Biogas Recovery and Utilization Project (hereafter referred to as the Project) is implemented by Extractora El Estero and involves the installation of a methane capture and biogas utilization system at its palm oil mill, located in Maní, Casanare Department, Colombia. The Project includes the implementation of an anaerobic digestion system and biogas collection infrastructure designed to capture methane (CH₄) emissions generated during the treatment of Palm Oil Mill Effluent (POME) in anaerobic lagoons. The captured biogas will be used for on-site electricity generation, supplying the energy demands of the palm oil processing facility. This system displaces fossil fuel-based energy consumption and contributes to the overall reduction of greenhouse gas (GHG) emissions. The facility is located within Extractora El Estero’s industrial complex in the municipality of Maní, Casanare, where palm oil is extracted and processed. The wastewater treatment system responsible for the methane emissions is fully integrated within the operational boundaries of the site.Under the baseline scenario, prior to project implementation, POME was treated in uncovered anaerobic lagoons without any biogas recovery system. As a result, methane generated through the anaerobic decomposition of organic matter was released directly into the atmosphere, significantly contributing to climate change due to methane’s high global warming potential. In addition to these emissions, the facility has historically relied on a diesel-based power plant for its electricity needs. Approximately 299,000 gallons of diesel are consumed annually, resulting in the production of approximately 3,531,667 kWh per year. In 2022, a biomass-powered cogeneration system was introduced to complement the plant’s energy supply; however, diesel remains the principal energy source under baseline conditions.",Carbon,No,2025-05-01T00:00:00,,True,True,,,2032-04-30T00:00:00,,,,5756,,,,PIPELINE_LISTING_UNDER_DEVELOPMENT_APPROVED,False,100000000000011,Colombia,Maní,Casanare,,4.607494,72.271111,,,,,,5756,2025-05-01T00:00:00,2025-05-01T00:00:00,4.607494/72.271111,"Energy industries (renewable/non-renewable sources), Waste handling and disposal",,,,,,,,,,,,,,,False,,AMS-III.H. (Version NA),,,2025-05-01T00:00:00,,150000000000045.0,Latin America,,,EXTRACTORA EL ESTERO S.A.S. (PP),,26877,,,False,,2025-05-01T00:00:00,2032-04-30T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,,,,,,,,False,,,,,verra_platts,5756
110200000674733,110200000674733,2026-08-21T17:27:46.195236456,150000000000001,Verified Carbon Standard,,,2026-06-19T13:34:09,,Under validation (Public comment period closed),Under validation (Public comment period closed),5632,Green and Carbon Capture project,"The Green and Carbon Capture Project, is a reforestation project led by Scellec Teca Colombia SAS, located in the Colombian Caribbean, the first project activity instance (PAI) is located specifically within Montería (Córdoba department) and Pivijay (Magdalena department). The primary goal of the project is the establishment of commercial teak (Tectona grandis) and roble (Tabebuia rosea) plantations, while also supporting biodiversity and providing socioeconomic benefits to surrounding communities — contributing to broader climate change mitigation efforts. The first PAI spans a total of 2,344.6 hectares in areas that have been mainly used for cattle raising since at least 10 years before project start. Project area are owned by Scellec Teca Colombia SAS. Project started in 30 June 2022, with the plantation of first project trees. Beyond its environmental focus, the project integrates community-focused initiatives, including environmental education, training, and support for planting, maintenance, and monitoring activities. These efforts not only contribute to climate action but also help strengthen the social and economic well-being of local populations, promoting greater environmental awareness and improved living conditions. Strengthen local employment opportunities by creating sustainable jobs and training the community in responsible forest management practices.",Carbon,No,2022-06-30T00:00:00,,True,True,,,2062-06-29T00:00:00,,,,5632,Colombian Institute for Technical Standards and Certification (ICONTEC),110100000042585.0,,UNDER_VAL_COMMENT_CLOSED,False,100000000000011,Colombia,Caribean Region,"Magdalena, Cordoba.",,10.372215,74.315697,,,,,,5632,2022-06-30T00:00:00,2022-06-30T00:00:00,10.372215/74.315697,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0047 (Version NA),,,2022-06-30T00:00:00,,150000000000045.0,Latin America,2345.0,https://www.scellec.ie/,Scellec Teca Colombia SAS (PP),ARR,15759,,,False,,2022-06-30T00:00:00,2062-06-29T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,40.0,,,,,,,False,,,,,verra_platts,5632
110200000677280,110200000677280,2026-08-21T17:27:52.603369118,150000000000001,Verified Carbon Standard,,,2025-01-15T14:34:40,,Registration and verification approval requested,Registration and verification approval requested,3218,Origen Atrato-Baudó REDD+ Project,"The Atrato-Baudó REDD+ Project aims to reduce GHG emissions from deforestation of natural forest. It is expected to achieve this through implementation of community actions framed in conservation, protection and sustainable management of the forest, which lead to improvements in living conditions in the territories. The area of the project’s first instance is located in the Tumbes-Chocó-Magdalena bioregion, in the municipalities of Alto Baudó, Quibdó, Lloró, Bagadó, Tadó, Río Iró (Santa Rita) and Cértegui, in the department of Chocó. The project is designed as a grouped project, initially made up of the collective territories of the following Afro-descendant communities: Community Council of San Isidro, Community Council of Villa Conto and Major Community Council of the Alto Atrato Popular Peasant Organization (COCOMOPOCA).  The project activities are aligned with the community needs and purposes identified during the process of relationship and free and informed prior consent developed with the communities. These actions are aimed at achieving four major purposes, which are: Governance and community management; social and community infrastructure; sustainable livelihoods and environmental protection, basic sanitation and aqueducts. Currently, the forests in the project area include areas of very humid tropical forest with transition to Tropical Rainforest. These ecosystem characteristics potentiate the habitat conditions of both flora and fauna, being cataloged as one of the most biodiverse areas of the country and the continent, characterized by endemism.  Deforestation that occurs in the project area are the result of a combination of complex socioeconomic and historical factors, associated with extractive processes that have directly affected biodiversity and ecosystem services. The project, as an alternative to conversion, aims to maintain carbon stocks through sustainable forest management, promoting improvements in the living conditions of local communities.",Carbon,No,2019-12-13T00:00:00,,True,True,,,2049-12-12T00:00:00,,,,3218,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,REGISTRATION_VERIFICATION_APPROVAL_REQ,False,100000000000011,Colombia,Municipality of Alto Baudó,Department of Chocó,,5.61735,76.831547,,,,,,3218,2019-12-13T00:00:00,2019-12-13T00:00:00,5.617350/76.831547,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-12-13T00:00:00,,150000000000045.0,Latin America,113492.0,www.wildlifeworks.com,Multiple Project Proponents,REDD,343528,,,False,,2019-12-13T00:00:00,2049-12-12T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,3218
