COD_DANE,NOMBRE_MPI,DPTO_CNMBR,area_municipio_ha,bosque_base_ha,area_redd_ha,n_proyectos,anio_primer_proyecto,area_proyecto_max_ha,tratado,dosis_area_cruda,dosis_bosque_cruda,desborda_area,desborda_bosque,dosis_area,dosis_bosque,umbral_dosel,truncada,fecha_generacion
05001,MEDELLÍN,ANTIOQUIA,37474.14844977222,22737.156034652537,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05002,ABEJORRAL,ANTIOQUIA,50695.97822742411,38984.04407642922,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05004,ABRIAQUÍ,ANTIOQUIA,29697.418845333672,26896.53348123925,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05021,ALEJANDRÍA,ANTIOQUIA,12885.643128695456,10925.53664390105,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05030,AMAGÁ,ANTIOQUIA,8411.714469905743,7312.638429974307,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05031,AMALFI,ANTIOQUIA,120834.61881013488,112240.76221244794,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05034,ANDES,ANTIOQUIA,40245.0598820729,37297.03170205352,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05036,ANGELÓPOLIS,ANTIOQUIA,8186.176766327447,7597.773371811289,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05038,ANGOSTURA,ANTIOQUIA,33836.18495372525,29050.223387304,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05040,ANORÍ,ANTIOQUIA,141295.6956988733,136294.39100985136,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,52555.322525760144,34544.34045070865,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05044,ANZÁ,ANTIOQUIA,25591.05274257436,17338.94152899429,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05045,APARTADÓ,ANTIOQUIA,53535.13574648304,49813.76790671096,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05051,ARBOLETES,ANTIOQUIA,75427.64551847993,42764.10365090751,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05055,ARGELIA,ANTIOQUIA,24519.895072658583,22396.75718448192,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05059,ARMENIA,ANTIOQUIA,11042.213658792509,7680.836810054097,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05079,BARBOSA,ANTIOQUIA,20555.297575895867,16805.43650629239,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05086,BELMIRA,ANTIOQUIA,29585.87326060444,23447.59895010221,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05088,BELLO,ANTIOQUIA,14770.069491091996,9414.586912928757,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05091,BETANIA,ANTIOQUIA,18052.530289669096,16445.998643101877,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05093,BETULIA,ANTIOQUIA,26236.212141861524,18120.60345973864,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05101,CIUDAD BOLÍVAR,ANTIOQUIA,26379.0910510875,22375.50262859601,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05107,BRICEÑO,ANTIOQUIA,37624.01070583626,34986.21314912754,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05113,BURITICÁ,ANTIOQUIA,35527.88721118467,23028.39246060302,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05120,CÁCERES,ANTIOQUIA,187278.47323748752,123887.7304826818,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05125,CAICEDO,ANTIOQUIA,20013.032896863064,16171.331654241736,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05129,CALDAS,ANTIOQUIA,13276.52458800169,12084.232144737482,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05134,CAMPAMENTO,ANTIOQUIA,23208.52357035644,20199.67507326769,7593.0,1,2016.0,7593.0,1,0.32716428414680865,0.3758971355954433,0,0,0.32716428414680865,0.3758971355954433,30,1,2026-09-20T18:06:24
05138,CAÑASGORDAS,ANTIOQUIA,36484.01879380207,34877.972814160545,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05142,CARACOLÍ,ANTIOQUIA,26258.321252142723,21726.754602981247,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05145,CARAMANTA,ANTIOQUIA,9206.265409398487,6712.114727917373,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05147,CAREPA,ANTIOQUIA,38745.09124484511,31792.8851177368,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,40912.69710322367,35155.18770906495,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05150,CAROLINA,ANTIOQUIA,14951.37254596639,12091.45486359546,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05154,CAUCASIA,ANTIOQUIA,142818.19866301373,63476.09226939874,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05172,CHIGORODÓ,ANTIOQUIA,72198.16656448029,51120.76854114493,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05190,CISNEROS,ANTIOQUIA,4685.696233982768,3662.1535949745953,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05197,COCORNÁ,ANTIOQUIA,25780.93968934336,23067.11363844823,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05206,CONCEPCIÓN,ANTIOQUIA,20195.259696037367,16621.721320239623,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05209,CONCORDIA,ANTIOQUIA,24786.63532627889,15174.867263410504,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05212,COPACABANA,ANTIOQUIA,6783.625809036667,4723.327910065305,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05234,DABEIBA,ANTIOQUIA,195769.9103288221,191864.76657154475,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05237,DONMATÍAS,ANTIOQUIA,19804.97621932147,15365.321026937558,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05240,EBÉJICO,ANTIOQUIA,23771.14511008932,19643.51563706762,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05250,EL BAGRE,ANTIOQUIA,155889.04935347632,148050.7802361373,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05264,ENTRERRÍOS,ANTIOQUIA,21422.851874127315,16566.39200082101,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05266,ENVIGADO,ANTIOQUIA,7951.026112768669,5473.977426891011,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05282,FREDONIA,ANTIOQUIA,25406.98293997905,19000.14339298689,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05284,FRONTINO,ANTIOQUIA,138443.8159933402,133764.4623746457,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05306,GIRALDO,ANTIOQUIA,9342.241949918394,6695.273335821868,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05308,GIRARDOTA,ANTIOQUIA,8282.978908128058,5644.496298048198,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05310,GÓMEZ PLATA,ANTIOQUIA,33203.11721420013,27644.938902690046,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05313,GRANADA,ANTIOQUIA,19011.81846300525,15208.643894565885,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05315,GUADALUPE,ANTIOQUIA,11814.868986180538,9270.595167038771,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05318,GUARNE,ANTIOQUIA,15178.8282697052,9388.123309657209,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05321,GUATAPÉ,ANTIOQUIA,8328.168694507956,5226.092861366137,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05347,HELICONIA,ANTIOQUIA,11486.68410989132,10588.365764839216,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05353,HISPANIA,ANTIOQUIA,5417.935855530039,4248.940817863313,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05360,ITAGÜÍ,ANTIOQUIA,1964.475366359619,575.8699211214999,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05361,ITUANGO,ANTIOQUIA,284084.0876263541,268363.8389819238,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05364,JARDÍN,ANTIOQUIA,20117.752401913844,18427.19274358198,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05368,JERICÓ,ANTIOQUIA,20497.123284634497,13515.738477402145,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05376,LA CEJA,ANTIOQUIA,13266.672321236128,9153.71612428648,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05380,LA ESTRELLA,ANTIOQUIA,3679.265231573309,2626.727136902642,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05390,LA PINTADA,ANTIOQUIA,5428.273395209872,4136.114741631522,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05400,LA UNIÓN,ANTIOQUIA,16767.033763582178,12150.608901483478,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05411,LIBORINA,ANTIOQUIA,21638.676219132514,17726.393843013575,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05425,MACEO,ANTIOQUIA,45526.90608138932,37091.66307956372,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05440,MARINILLA,ANTIOQUIA,11223.604580039366,6066.954441337274,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05467,MONTEBELLO,ANTIOQUIA,7599.829566716436,6868.110298086128,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05475,MURINDÓ,ANTIOQUIA,126679.24746770096,121168.33275362692,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
05480,MUTATÁ,ANTIOQUIA,107502.10946440548,96118.42993227192,34288.0,1,2013.0,34288.0,1,0.31895188076614384,0.3567265926436835,0,0,0.31895188076614384,0.3567265926436835,30,1,2026-09-20T18:06:24
05483,NARIÑO,ANTIOQUIA,31660.3872674357,26981.348559971168,0.0,0,,,0,0.0,0.0,0,0,0.0,0.0,30,1,2026-09-20T18:06:24
