COD_DANE,fuente,nombre_proyecto,anio_inicio,anio_fin,confianza,metodo
27025,verra,ACABA REDD+ Project,2019.0,2029.0,alta,punto_en_poligono
52835,verra,Acapa -­ Bajo Mira Y Frontera REDD+ Project,2013.0,2043.0,alta,punto_en_poligono
99001,verra,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",2016.0,2046.0,alta,punto_en_poligono
97001,verra,ASATIQ Vaupés Maloca REDD+ Project,2019.0,2049.0,alta,punto_en_poligono
97001,verra,ASATRIZY Vaupés Maloca REDD+ Project,2019.0,2049.0,alta,punto_en_poligono
05001,verra,AXIA Energia Cogeneration Project in Familia,2016.0,2026.0,alta,punto_en_poligono
08758,verra,AXIA Energia Cogeneration Project in Unibol,2015.0,2025.0,alta,punto_en_poligono
27615,verra,Bajo Atrato REDD+ Project,2019.0,2049.0,alta,punto_en_poligono
76109,verra,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,2013.0,2043.0,alta,punto_en_poligono
99524,verra,Bella Bosque Vichada Afforestation Project,2024.0,2054.0,alta,punto_en_poligono
52001,verra,"Bionersis landfill  project in Pasto, Colombia",2020.0,2030.0,alta,punto_en_poligono
86757,verra,"Bionersis landfill project in Pasto, Colombia",,,alta,punto_en_poligono
23672,verra,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,2015.0,2045.0,alta,punto_en_poligono
76109,verra,Cajambre REDD+ Project,2013.0,2043.0,alta,punto_en_poligono
20570,verra,Carbon In Flavor and Arome Forests (C-BOSAR),2022.0,2072.0,alta,punto_en_poligono
50573,verra,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,2020.0,2060.0,alta,punto_en_poligono
27150,verra,Carmen del Darién (CDD) REDD+ Project,2014.0,2044.0,alta,punto_en_poligono
05686,verra,Caruquia 9.76 MW Hydroelectric Project,2020.0,2030.0,alta,punto_en_poligono
19318,verra,CHONTA COROZO REDD+,2017.0,2037.0,alta,punto_en_poligono
