fuente,nombre_proyecto,municipios_mencionados,cod_dane,Project ID,Sector
renare,Sembrando Futuro 2.0,JARDIN;TAMESIS,5364;5789,,
renare,Rehabilitación del Corredor Férreo La Dorada - Chiriguaná,CALDAS;CHIRIGUANA;CIENAGA;LA DORADA,15131;17380;20178;47189;5129,,
renare,Proyecto Forestal CO2CERO Alcaraván Orinoquia,CUMARIBO;PUERTO GAITAN;PUERTO LLERAS,50568;50577;99773,,
renare,Proyecto REDD Mapiripan,MAPIRIPAN;MORICHAL;SAN FERNANDO,13650;50325;94888,,
renare,Proyecto REDD+ Bogotá Región ,BOYACA;EL ESPINO;GUACHENE,15104;15248;19300,,
renare,Proyecto Hidroeléctrico El Edén,CALDAS;MANZANARES;MARQUETALIA;PENSILVANIA;SILVANIA,15131;17433;17444;17541;25743;5129,,
renare,Carbono Bagatela,ARBOLETES;CORDOBA;LOS CORDOBAS,13212;23419;5051;52215;63212,,
renare,Proyecto Hidroeléctrico San Miguel 42 MW,SAN MIGUEL,68686;86757,,
renare,"FINCA LA PAZ II LA VICHADA, COLOMBIA",LA PAZ,20621;68397,,
renare,PROYECTO FORESTAL CO2CERO CAUCHO PL UNO,MONTERREY;PUERTO GAITAN;PUERTO LOPEZ;SABANALARGA,50568;50573;5628;85162;85300;8638,,
renare,PROYECTO FORESTAL CARBONO IG FARMS ,CORDOBA;LA APARTADA,13212;23350;52215;63212,,
renare,Pequeña central hidroeléctrica San Andrés de Cuerquia,SAN ANDRES;SAN ANDRES DE CUERQUIA,5647;68669;88001,,
renare,Proyecto Forestal MAVALLE en plantaciones de Caucho natural,PUERTO GAITAN;PUERTO LOPEZ,50568;50573,,
renare,"Proyecto de mitigación en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Peñón Santander, Colombia",EL PENON,13268;25258;68250,,
renare,"Restauración de áreas degradadas y reforestación en Cáceres y Cravo Norte, Colombia",CACERES;CRAVO NORTE,5120;81220,,
cercarbono,Proyecto Agrupado YAAWI IIPANA REDD+,MORICHAL;SANTA ROSA,13683;19701;94888,CDC-102,Land use (AFOLU)
cercarbono,	Bajo Tuluá Minor Hydroelectric Power Plant,SAN PEDRO,70717;76670,CDC-71,Energy industries
cercarbono,Proyecto Forestal CO2CERO Chigüiro,LA PRIMAVERA;PUERTO GAITAN;PUERTO LOPEZ,50568;50573;99524,CDC-254,Land use (AFOLU)
cercarbono,CARBONO SANTA INES,SAN JACINTO;SAN JUAN NEPOMUCENO,13654;13657,CDC-97,Land use (AFOLU)
cercarbono,Amaime Minor Hydroelectric Power Plant,CERRITO;EL CERRITO,68162;76248,CDC-72,Energy industries
cercarbono,Pedeguita y Mancilla REDD+,CARMEN DEL DARIEN;RIOSUCIO,17614;27150;27615,CDC-99,Land use (AFOLU)
cercarbono,Proyecto REDD+ Fundación Biodiversa en tierras bajas del Magdalena,BARBACOAS;CIENAGA,47189;52079,CDC-230,Land use (AFOLU)
cercarbono,LIGNUS - BONOS DE CARBONO,MONTERREY;VILLANUEVA,13873;44874;68872;85162;85440,CDC-232,Land use (AFOLU)
cercarbono,Carbono Reforestadora El Guásimo,CALDAS;MEDELLIN,05001;05129;15131,CDC-49,Land use (AFOLU)
cercarbono,CARBONO OXIGENO PARA TODOS,CALDAS;EL CARMEN;EL CARMEN DE VIBORAL;MEDELLIN;RETIRO,05001;05129;05148;05607;15131;54245,CDC-19,Land use (AFOLU)
cercarbono,Carbono Bagatela,ARBOLETES;CORDOBA;LOS CORDOBAS,05051;13212;23419;52215;63212,CDC-23,Land use (AFOLU)
cercarbono,Proyecto Conservación ARLEQUÍN REDD+,CERTEGUI;SAN PABLO,13670;27160;52693,CDC-22,Land use (AFOLU)
cercarbono,Recuperación de suelos degradados con el uso de incentivos financieros en el centro y oriente de Colombia,CALDAS;RISARALDA,05129;15131;17616,CDC-14,Land use (AFOLU)
cercarbono,PEQUEÑA CENTRAL HIDROELÉCTRICA SAN ANDRÉS DE CUERQUIA,SAN ANDRES;SAN ANDRES DE CUERQUIA;YARUMAL,05647;05887;68669;88001,CDC-58,Energy industries
cercarbono,JAJÖM CMARI REDD+ ,BARRANCOMINAS;INIRIDA;MORICHAL;PUERTO COLOMBIA,08573;94001;94343;94884;94888,CDC-98,Land use (AFOLU)
cercarbono,Carvida,CALDAS,05129;15131,CDC-68,Land use (AFOLU)
cercarbono,PCH NARE,ALEJANDRIA;SANTO DOMINGO,05021;05690,CDC-194,Energy industries
