COD_DANE,fecha_inicio,fecha_fin,fuente,proyecto_id,anio_inicio,anio_fin
27025,2019-02-13,2029-02-12,Verra,3475,2019,2029.0
52835,2013-11-13,2043-11-12,Verra,1389,2013,2043.0
99001,2016-09-15,2046-09-14,Verra,2512,2016,2046.0
97001,2019-11-08,2049-11-07,Verra,3215,2019,2049.0
97001,2019-05-30,2049-05-29,Verra,3216,2019,2049.0
05001,2016-05-01,2026-04-30,Verra,1524,2016,2026.0
08758,2015-07-01,2025-06-30,Verra,1405,2015,2025.0
27615,2019-10-17,2049-10-16,Verra,3210,2019,2049.0
76109,2013-08-26,2043-08-25,Verra,1395,2013,2043.0
99524,2024-06-17,2054-06-16,Verra,5305,2024,2054.0
52001,2020-04-06,2030-04-05,Verra,491,2020,2030.0
23672,2015-05-15,2045-05-14,Verra,2290,2015,2045.0
20295,2022-05-12,2042-05-11,Verra,5335,2022,2042.0
76109,2013-11-14,2043-11-13,Verra,1392,2013,2043.0
20570,2022-09-02,2072-09-01,Verra,3970,2022,2072.0
50573,2020-01-20,2060-01-19,Verra,3927,2020,2060.0
27150,2014-01-28,2044-01-27,Verra,1390,2014,2044.0
05686,2020-01-28,2030-01-27,Verra,1835,2020,2030.0
19318,2017-07-01,2037-06-30,Verra,2969,2017,2037.0
08001,2024-07-01,2064-06-30,Verra,5680,2024,2064.0
27001,2016-08-31,2046-08-30,Verra,2071,2016,2046.0
27077,2013-07-18,2043-07-17,Verra,1400,2013,2043.0
27205,2019-01-08,2049-01-07,Verra,2723,2019,2049.0
76109,2018-06-19,2118-06-18,Verra,2298,2018,2118.0
94001,2017-01-01,2116-12-31,Verra,1821,2017,2116.0
50590,2019-01-01,2048-12-31,Verra,2084,2019,2048.0
18756,2018-01-11,2048-01-10,Verra,2872,2018,2048.0
50689,2016-11-01,2116-10-31,Verra,2532,2016,2116.0
05212,2022-07-07,2029-07-06,Verra,479,2022,2029.0
85139,2025-05-01,2032-04-30,Verra,5756,2025,2032.0
05197,2017-04-17,2027-04-16,Verra,1797,2017,2027.0
50573,2026-01-01,2035-12-31,Verra,5908,2026,2035.0
05615,2022-03-01,2032-02-29,Verra,1169,2022,2032.0
