fuente,id_registro,nombre_proyecto,estado,anio_inicio,sector_sugerido,tipo_proyecto,evidencia_tipo,clasificacion_final_manual,COD_DANE,n_municipios,n_matches_texto,en_varias_fuentes,alerta,campos_sectoriales,clave
cercarbono,CDC-10,Bonos de Carbono Caracoli,Verification,2010.0,AFOLU,ARR,campo_registrador,AFOLU,05142,1,1.0,False,,"PROTOCOL CVCC 3.1 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|bonos de carbono caracoli
cercarbono,CDC-17,CARBONO GRESCO2,Verification,2009.0,AFOLU,ARR,campo_registrador,AFOLU,05129;15131;17433;17541;17873;25743;52381,7,7.0,False,municipio ambiguo,"ES-I-CC-002, PROTOCOL CVCC V1.1 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|carbono gresco2
cercarbono,CDC-31,Carbono Agroforestal La Argentina,Certified,2011.0,AFOLU,ARR,campo_registrador+nombre,AFOLU,05001;05858;41378,3,3.0,True,municipio ambiguo,"PROTOCOL CVCC 3.1 | Land use (AFOLU) | NTC 6208 - Mitigation actions in the land use, change in land use and forestry sector at the rural level, incorporating social and biodiversity considerations | Avoidance",cercarbono|carbono agroforestal la argentina
cercarbono,CDC-23,Carbono Bagatela,Verification,2011.0,AFOLU,ARR,campo_registrador,AFOLU,05051;13212;23419;52215;63212,5,5.0,True,municipio ambiguo,"PROTOCOL CVCC V2.1 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|carbono bagatela
cercarbono,CDC-181,Carbono Hass,Certified,2018.0,AFOLU,ARR,campo_registrador,AFOLU,05129;15104;15131;17616,4,4.0,False,municipio ambiguo,"PROTOCOL CVCC 4.2 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|carbono hass
cercarbono,CDC-180,Carbono Rancho Victoria,Verification,2018.0,AFOLU,ARR,campo_registrador,AFOLU,50573,1,1.0,False,,"PROTOCOL CVCC 4.2 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|carbono rancho victoria
cercarbono,CDC-232,LIGNUS - BONOS DE CARBONO,Verification,2021.0,AFOLU,ARR,campo_registrador,AFOLU,13873;44874;68872;85162;85440,5,5.0,False,municipio ambiguo,"PROTOCOL CVCC 4.4 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|lignus - bonos de carbono
cercarbono,CDC-32,Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Cacerí S.A.,Certified,2007.0,AFOLU,ARR,campo_registrador,AFOLU,,0,0.0,False,,"PROTOCOL CVCC 3.1 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|programa de compensaciones de gases de efecto invernadero (gei) – reforestadora caceri s.a.
cercarbono,CDC-254,Proyecto Forestal CO2CERO Chigüiro,Validation,2020.0,AFOLU,ARR,campo_registrador,AFOLU,50568;50573;99524,3,3.0,True,municipio ambiguo,"PROTOCOL CVCC 4.5 | Land use (AFOLU) | CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops | Removal",cercarbono|proyecto forestal co2cero chiguiro
cercarbono,CDC-54,AZIRPA,Rejected,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,PROTOCOL CVCC V2.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|azirpa
cercarbono,CDC-155,Awakadaa Jiduaa,Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,08573;17665;94884,3,3.0,True,municipio ambiguo,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|awakadaa jiduaa
cercarbono,CDC-55,Awakadaa Matsiadali,Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,PROTOCOL CVCC 3.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|awakadaa matsiadali
cercarbono,CDC-53,BAKA ROKARIRE ~IA TIR+~DITO,Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,PROTOCOL CVCC V2.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|baka rokarire ~ia tir+~dito
cercarbono,CDC-60,BANAKALE - ISIMALI REDD+,Certified,2016.0,AFOLU,REDD,campo_registrador,AFOLU,05660;73678,2,2.0,False,municipio ambiguo,PROTOCOL CVCC V2.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|banakale - isimali redd+
cercarbono,CDC-117,CHONTA COROZO REDD+ Project,Certified,2017.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|chonta corozo redd+ project
cercarbono,CDC-61,COCOMAN FRONTERA REDD+,Certified,2016.0,AFOLU,REDD,campo_registrador,AFOLU,27372;27491,2,2.0,False,municipio ambiguo,"PROTOCOL CVCC V2.1, PROTOCOL CVCC 4.4 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal",cercarbono|cocoman frontera redd+
cercarbono,CDC-118,"Cavadacavᵾ Coreivᵾ Jocᵾ Bᵾcᵾro Rẽ, N̄ᵾjẽ N̄ecᵾvã Aiye Baquepe",Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,"cercarbono|cavadacavᵾ coreivᵾ jocᵾ bᵾcᵾro re, nᵾje necᵾva aiye baquepe"
cercarbono,CDC-152,GUAINIA REDD+ PROJECT,Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|guainia redd+ project
cercarbono,CDC-47,Infraestructuras Ecosistémicas REDD+ para los Campesinos de Antioquia Colombia,Verification,2019.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,True,,PROTOCOL CVCC 4.5 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|infraestructuras ecosistemicas redd+ para los campesinos de antioquia colombia
cercarbono,CDC-98,JAJÖM CMARI REDD+ ,Retired,2017.0,AFOLU,REDD,campo_registrador,AFOLU,08573;94001;94343;94884;94888,5,5.0,False,municipio ambiguo,PROTOCOL CVCC 3.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|jajom cmari redd+
cercarbono,CDC-56,Jocū Bucūrō Apūrō,Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,PROTOCOL CVCC 3.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|jocu bucuro apuro
cercarbono,CDC-52,Makaro Ap+ro,Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,True,,PROTOCOL CVCC V2.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|makaro ap+ro
cercarbono,CDC-65,"Manejo Sostenible de los Bosques Aplicado al Predio Santa Ana, Vereda El Popal, Municipio De Sonsón, Bajo El Esquema BancO2",Certified,2014.0,AFOLU,REDD,campo_registrador,AFOLU,05756;47707,2,2.0,False,municipio ambiguo,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,"cercarbono|manejo sostenible de los bosques aplicado al predio santa ana, vereda el popal, municipio de sonson, bajo el esquema banco2"
cercarbono,CDC-28,Manejo Sostenible de los Bosques Aplicado en el Oriente Antioqueño bajo el esquema BancO2®,Certified,2017.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,False,,"PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.4 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal",cercarbono|manejo sostenible de los bosques aplicado en el oriente antioqueno bajo el esquema banco2®
cercarbono,CDC-156,ORINOCO REDD+ PROJECT,Retired,2018.0,AFOLU,REDD,campo_registrador,AFOLU,99773,1,1.0,False,,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|orinoco redd+ project
cercarbono,CDC-100,PITUGUCAJUDE,Certified,2018.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,True,,PROTOCOL CVCC 3.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|pitugucajude
cercarbono,CDC-114,PROYECTO REDD+ PAZCÍFICO SUR,Certified,2017.0,AFOLU,REDD,campo_registrador,AFOLU,05483;25483;52480,3,3.0,False,municipio ambiguo,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|proyecto redd+ pazcifico sur
cercarbono,CDC-99,Pedeguita y Mancilla REDD+,Verification,2020.0,AFOLU,REDD,campo_registrador,AFOLU,17614;27150;27615,3,3.0,True,municipio ambiguo,PROTOCOL CVCC 3.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|pedeguita y mancilla redd+
cercarbono,CDC-146,Planeta Agradecido con el Resguardo indígena Bajo Río Guainía y Río Negro II,Certified,2022.0,AFOLU,REDD,campo_registrador,AFOLU,,0,0.0,True,,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|planeta agradecido con el resguardo indigena bajo rio guainia y rio negro ii
cercarbono,CDC-102,Proyecto Agrupado YAAWI IIPANA REDD+,Certified,2016.0,AFOLU,REDD,campo_registrador,AFOLU,13683;19701;94888,3,3.0,False,municipio ambiguo,PROTOCOL CVCC 4.1 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|proyecto agrupado yaawi iipana redd+
cercarbono,CDC-22,Proyecto Conservación ARLEQUÍN REDD+,Certified,2015.0,AFOLU,REDD,campo_registrador,AFOLU,13670;27160;52693,3,3.0,False,municipio ambiguo,"PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.4 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal",cercarbono|proyecto conservacion arlequin redd+
cercarbono,CDC-230,Proyecto REDD+ Fundación Biodiversa en tierras bajas del Magdalena,Verification,2019.0,AFOLU,REDD,campo_registrador,AFOLU,47189;52079,2,2.0,True,municipio ambiguo,PROTOCOL CVCC 4.4 | Land use (AFOLU) | CCB - M/LU-REDD+: Methodology for the Implementation of REDD+ Projects Consistent with National Reference Levels | Avoidance and removal,cercarbono|proyecto redd+ fundacion biodiversa en tierras bajas del magdalena
