COD_DANE,NOMBRE_MPI,DPTO_CNMBR,loss_pixels,loss_area_ha
05001,MEDELLÍN,ANTIOQUIA,3025,272.25
05002,ABEJORRAL,ANTIOQUIA,2638,237.42
05004,ABRIAQUÍ,ANTIOQUIA,35,3.15
05021,ALEJANDRÍA,ANTIOQUIA,84,7.56
05030,AMAGÁ,ANTIOQUIA,151,13.59
05031,AMALFI,ANTIOQUIA,427,38.43
05034,ANDES,ANTIOQUIA,1907,171.63
05036,ANGELÓPOLIS,ANTIOQUIA,1535,138.15
05038,ANGOSTURA,ANTIOQUIA,1773,159.57
05040,ANORÍ,ANTIOQUIA,3674,330.65999999999997
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,497,44.73
05044,ANZÁ,ANTIOQUIA,5540,498.59999999999997
05045,APARTADÓ,ANTIOQUIA,248,22.32
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,1521,136.89
05150,CAROLINA,ANTIOQUIA,1789,161.01
05154,CAUCASIA,ANTIOQUIA,375,33.75
05172,CHIGORODÓ,ANTIOQUIA,391,35.19
05190,CISNEROS,ANTIOQUIA,682,61.38
05197,COCORNÁ,ANTIOQUIA,2032,182.88
05206,CONCEPCIÓN,ANTIOQUIA,352,31.68
05209,CONCORDIA,ANTIOQUIA,5552,499.67999999999995
05212,COPACABANA,ANTIOQUIA,987,88.82999999999998
05234,DABEIBA,ANTIOQUIA,163,14.67
05237,DONMATÍAS,ANTIOQUIA,3240,291.59999999999997
05240,EBÉJICO,ANTIOQUIA,11,0.99
05250,EL BAGRE,ANTIOQUIA,2149,193.41
05264,ENTRERRÍOS,ANTIOQUIA,185,16.65
05266,ENVIGADO,ANTIOQUIA,92,8.28
05411,LIBORINA,ANTIOQUIA,404,36.36
05425,MACEO,ANTIOQUIA,7240,651.6
05440,MARINILLA,ANTIOQUIA,29,2.61
05467,MONTEBELLO,ANTIOQUIA,204,18.36
05475,MURINDÓ,ANTIOQUIA,156,14.04
05480,MUTATÁ,ANTIOQUIA,1873,168.57
05483,NARIÑO,ANTIOQUIA,861,77.49
05490,NECOCLÍ,ANTIOQUIA,150,13.5
05495,NECHÍ,ANTIOQUIA,7497,674.73
05501,OLAYA,ANTIOQUIA,70,6.3
05541,PEÑOL,ANTIOQUIA,25,2.25
05543,PEQUE,ANTIOQUIA,143,12.87
05576,PUEBLORRICO,ANTIOQUIA,14,1.2599999999999998
05579,PUERTO BERRÍO,ANTIOQUIA,91,8.19
