COD_DANE,NOMBRE_MPI,DPTO_CNMBR,year,loss_pixels,loss_area_ha
05001,MEDELLÍN,ANTIOQUIA,2001,2181,196.29
05001,MEDELLÍN,ANTIOQUIA,2002,1467,132.03
05001,MEDELLÍN,ANTIOQUIA,2003,384,34.56
05001,MEDELLÍN,ANTIOQUIA,2004,1924,173.16
05001,MEDELLÍN,ANTIOQUIA,2005,1431,128.79
05001,MEDELLÍN,ANTIOQUIA,2006,1855,166.95
05001,MEDELLÍN,ANTIOQUIA,2007,1484,133.56
05001,MEDELLÍN,ANTIOQUIA,2008,1140,102.6
05001,MEDELLÍN,ANTIOQUIA,2009,2124,191.16
05001,MEDELLÍN,ANTIOQUIA,2010,924,83.16
05001,MEDELLÍN,ANTIOQUIA,2011,1054,94.86
05001,MEDELLÍN,ANTIOQUIA,2012,1383,124.47
05001,MEDELLÍN,ANTIOQUIA,2013,721,64.89
05001,MEDELLÍN,ANTIOQUIA,2014,964,86.75999999999999
05001,MEDELLÍN,ANTIOQUIA,2015,473,42.57
05001,MEDELLÍN,ANTIOQUIA,2016,839,75.50999999999999
05001,MEDELLÍN,ANTIOQUIA,2017,1611,144.98999999999998
05001,MEDELLÍN,ANTIOQUIA,2018,809,72.81
05001,MEDELLÍN,ANTIOQUIA,2019,1332,119.88
05001,MEDELLÍN,ANTIOQUIA,2020,708,63.72
05001,MEDELLÍN,ANTIOQUIA,2021,817,73.53
05001,MEDELLÍN,ANTIOQUIA,2022,758,68.22
05001,MEDELLÍN,ANTIOQUIA,2023,809,72.81
05001,MEDELLÍN,ANTIOQUIA,2024,1089,98.00999999999999
05002,ABEJORRAL,ANTIOQUIA,2001,1418,127.61999999999999
05002,ABEJORRAL,ANTIOQUIA,2002,707,63.629999999999995
05002,ABEJORRAL,ANTIOQUIA,2003,500,45.0
05002,ABEJORRAL,ANTIOQUIA,2004,884,79.56
05002,ABEJORRAL,ANTIOQUIA,2005,502,45.18
05002,ABEJORRAL,ANTIOQUIA,2006,1071,96.39
05002,ABEJORRAL,ANTIOQUIA,2007,433,38.97
05002,ABEJORRAL,ANTIOQUIA,2008,903,81.27
05002,ABEJORRAL,ANTIOQUIA,2009,987,88.83
05002,ABEJORRAL,ANTIOQUIA,2010,687,61.83
05002,ABEJORRAL,ANTIOQUIA,2011,1230,110.7
05002,ABEJORRAL,ANTIOQUIA,2012,1025,92.25
05002,ABEJORRAL,ANTIOQUIA,2013,337,30.33
05002,ABEJORRAL,ANTIOQUIA,2014,504,45.36
05002,ABEJORRAL,ANTIOQUIA,2015,310,27.9
05002,ABEJORRAL,ANTIOQUIA,2016,1268,114.11999999999999
05002,ABEJORRAL,ANTIOQUIA,2017,2281,205.29
05002,ABEJORRAL,ANTIOQUIA,2018,2680,241.2
05002,ABEJORRAL,ANTIOQUIA,2019,2473,222.57
05002,ABEJORRAL,ANTIOQUIA,2020,2041,183.69
05002,ABEJORRAL,ANTIOQUIA,2021,1543,138.87
05002,ABEJORRAL,ANTIOQUIA,2022,1905,171.45
05002,ABEJORRAL,ANTIOQUIA,2023,3271,294.39
05002,ABEJORRAL,ANTIOQUIA,2024,2154,193.85999999999999
05004,ABRIAQUÍ,ANTIOQUIA,2001,273,24.57
05004,ABRIAQUÍ,ANTIOQUIA,2002,144,12.959999999999999
05004,ABRIAQUÍ,ANTIOQUIA,2003,153,13.77
05004,ABRIAQUÍ,ANTIOQUIA,2004,154,13.86
05004,ABRIAQUÍ,ANTIOQUIA,2005,216,19.439999999999998
05004,ABRIAQUÍ,ANTIOQUIA,2006,445,40.05
05004,ABRIAQUÍ,ANTIOQUIA,2007,316,28.439999999999998
05004,ABRIAQUÍ,ANTIOQUIA,2008,457,41.129999999999995
05004,ABRIAQUÍ,ANTIOQUIA,2009,877,78.92999999999999
05004,ABRIAQUÍ,ANTIOQUIA,2010,281,25.29
05004,ABRIAQUÍ,ANTIOQUIA,2011,304,27.36
05004,ABRIAQUÍ,ANTIOQUIA,2012,698,62.82
05004,ABRIAQUÍ,ANTIOQUIA,2013,156,14.04
05004,ABRIAQUÍ,ANTIOQUIA,2014,264,23.759999999999998
05004,ABRIAQUÍ,ANTIOQUIA,2015,319,28.709999999999997
05004,ABRIAQUÍ,ANTIOQUIA,2016,555,49.949999999999996
05004,ABRIAQUÍ,ANTIOQUIA,2017,2675,240.75
05004,ABRIAQUÍ,ANTIOQUIA,2018,709,63.809999999999995
05004,ABRIAQUÍ,ANTIOQUIA,2019,1673,150.57
05004,ABRIAQUÍ,ANTIOQUIA,2020,600,54.0
05004,ABRIAQUÍ,ANTIOQUIA,2021,479,43.11
