project_id,quantity,retirement_account,retirement_beneficiary,retirement_beneficiary_harmonized,retirement_note,retirement_reason,transaction_date,transaction_type,transaction_url,vintage
VCS1068,20515.0,,,,,,2021-12-23 00:00:00+00:00,issuance,,2017
VCS1068,24041.0,,,,,,2021-12-23 00:00:00+00:00,issuance,,2018
VCS1068,14762.0,,,,,,2021-12-23 00:00:00+00:00,issuance,,2019
VCS1068,13792.0,,,,,,2021-12-23 00:00:00+00:00,issuance,,2020
VCS1206,21441.0,,,,,,2015-09-22 00:00:00+00:00,issuance,,2012
VCS1206,43250.0,,,,,,2015-09-22 00:00:00+00:00,issuance,,2013
VCS1206,20224.0,,,,,,2015-09-22 00:00:00+00:00,issuance,,2014
VCS1206,35719.0,,,,,,2020-07-22 00:00:00+00:00,issuance,,2015
VCS1206,38874.0,,,,,,2020-08-13 00:00:00+00:00,issuance,,2017
VCS1206,39479.0,,,,,,2020-08-19 00:00:00+00:00,issuance,,2018
VCS1206,35844.0,,,,,,2020-09-09 00:00:00+00:00,issuance,,2016
VCS1206,23144.0,,,,,,2020-11-19 00:00:00+00:00,issuance,,2014
VCS1233,55476.0,,,,,,2020-11-10 00:00:00+00:00,issuance,,2019
VCS1233,4896.0,,,,,,2020-11-17 00:00:00+00:00,issuance,,2012
VCS1233,10895.0,,,,,,2020-11-17 00:00:00+00:00,issuance,,2013
VCS1233,8960.0,,,,,,2020-11-17 00:00:00+00:00,issuance,,2014
VCS1233,16595.0,,,,,,2020-11-17 00:00:00+00:00,issuance,,2015
VCS1233,41347.0,,,,,,2021-01-12 00:00:00+00:00,issuance,,2016
VCS1233,33077.0,,,,,,2021-01-12 00:00:00+00:00,issuance,,2017
VCS1233,40519.0,,,,,,2021-01-12 00:00:00+00:00,issuance,,2018
VCS1364,17632.0,,,,,,2020-10-07 00:00:00+00:00,issuance,,2017
VCS1364,69740.0,,,,,,2020-10-07 00:00:00+00:00,issuance,,2018
VCS1364,72868.0,,,,,,2021-10-08 00:00:00+00:00,issuance,,2020
VCS1364,10441.0,,,,,,2021-10-08 00:00:00+00:00,issuance,,2021
VCS1364,15533.0,,,,,,2021-10-14 00:00:00+00:00,issuance,,2018
VCS1364,78791.0,,,,,,2024-01-19 00:00:00+00:00,issuance,,2019
VCS1364,6740.0,,,,,,2026-01-22 00:00:00+00:00,issuance,,2024
VCS1364,77034.0,,,,,,2026-02-24 00:00:00+00:00,issuance,,2021
VCS1364,80522.0,,,,,,2026-02-24 00:00:00+00:00,issuance,,2022
VCS1364,65144.0,,,,,,2026-02-24 00:00:00+00:00,issuance,,2023
VCS1378,24299.0,,,,,,2016-11-26 00:00:00+00:00,issuance,,2012
VCS1378,24299.0,,,,,,2017-06-23 00:00:00+00:00,issuance,,2010
VCS1378,24299.0,,,,,,2017-09-05 00:00:00+00:00,issuance,,2003
VCS1378,24299.0,,,,,,2018-02-27 00:00:00+00:00,issuance,,2005
VCS1378,24299.0,,,,,,2021-08-19 00:00:00+00:00,issuance,,2004
VCS1378,24299.0,,,,,,2021-09-02 00:00:00+00:00,issuance,,2009
VCS1378,24299.0,,,,,,2021-10-11 00:00:00+00:00,issuance,,2008
VCS1378,24299.0,,,,,,2021-11-09 00:00:00+00:00,issuance,,2007
VCS1378,24299.0,,,,,,2021-12-10 00:00:00+00:00,issuance,,2011
VCS1378,24299.0,,,,,,2022-04-06 00:00:00+00:00,issuance,,2006
VCS1389,16520.0,,,,,,2020-06-15 00:00:00+00:00,issuance,,2013
VCS1389,134588.0,,,,,,2020-06-15 00:00:00+00:00,issuance,,2014
VCS1389,144327.0,,,,,,2020-07-12 00:00:00+00:00,issuance,,2015
VCS1389,167653.0,,,,,,2021-01-18 00:00:00+00:00,issuance,,2018
VCS1389,154502.0,,,,,,2021-02-16 00:00:00+00:00,issuance,,2016
VCS1389,165543.0,,,,,,2021-04-12 00:00:00+00:00,issuance,,2017
VCS1389,236436.0,,,,,,2024-06-25 00:00:00+00:00,issuance,,2019
VCS1390,176470.0,,,,,,2019-10-25 00:00:00+00:00,issuance,,2014
VCS1390,170440.0,,,,,,2020-02-10 00:00:00+00:00,issuance,,2015
VCS1390,169042.0,,,,,,2020-12-11 00:00:00+00:00,issuance,,2016
VCS1390,165613.0,,,,,,2021-07-13 00:00:00+00:00,issuance,,2017
VCS1391,46195.0,,,,,,2019-10-24 00:00:00+00:00,issuance,,2013
VCS1391,237853.0,,,,,,2019-10-24 00:00:00+00:00,issuance,,2014
VCS1391,240087.0,,,,,,2020-02-10 00:00:00+00:00,issuance,,2015
VCS1391,249564.0,,,,,,2020-12-11 00:00:00+00:00,issuance,,2016
VCS1391,247447.0,,,,,,2021-02-16 00:00:00+00:00,issuance,,2017
VCS1391,328667.0,,,,,,2025-08-27 00:00:00+00:00,issuance,,2018
VCS1392,128316.0,,,,,,2019-10-24 00:00:00+00:00,issuance,,2014
VCS1392,13566.0,,,,,,2020-02-06 00:00:00+00:00,issuance,,2013
VCS1392,113446.0,,,,,,2020-02-10 00:00:00+00:00,issuance,,2015
VCS1392,111423.0,,,,,,2020-12-07 00:00:00+00:00,issuance,,2016
VCS1392,110681.0,,,,,,2020-12-10 00:00:00+00:00,issuance,,2017
VCS1392,216758.0,,,,,,2026-01-19 00:00:00+00:00,issuance,,2018
VCS1395,133849.0,,,,,,2019-10-24 00:00:00+00:00,issuance,,2013
VCS1395,391266.0,,,,,,2019-10-24 00:00:00+00:00,issuance,,2014
VCS1395,366210.0,,,,,,2019-12-18 00:00:00+00:00,issuance,,2015
VCS1395,364715.0,,,,,,2020-12-11 00:00:00+00:00,issuance,,2016
VCS1395,364162.0,,,,,,2021-07-13 00:00:00+00:00,issuance,,2017
VCS1395,530794.0,,,,,,2025-11-11 00:00:00+00:00,issuance,,2019
VCS1396,18548.0,,,,,,2019-11-18 00:00:00+00:00,issuance,,2014
VCS1396,201745.0,,,,,,2020-01-17 00:00:00+00:00,issuance,,2015
VCS1396,175579.0,,,,,,2020-11-19 00:00:00+00:00,issuance,,2016
VCS1396,171414.0,,,,,,2021-02-16 00:00:00+00:00,issuance,,2017
VCS1399,57042.0,,,,,,2019-10-25 00:00:00+00:00,issuance,,2013
VCS1399,88793.0,,,,,,2019-10-25 00:00:00+00:00,issuance,,2014
VCS1399,93127.0,,,,,,2020-02-10 00:00:00+00:00,issuance,,2015
VCS1399,100002.0,,,,,,2020-12-11 00:00:00+00:00,issuance,,2016
VCS1399,104646.0,,,,,,2021-02-16 00:00:00+00:00,issuance,,2017
VCS1399,111568.0,,,,,,2025-08-27 00:00:00+00:00,issuance,,2018
VCS1400,51707.0,,,,,,2019-10-24 00:00:00+00:00,issuance,,2013
VCS1400,114938.0,,,,,,2019-10-24 00:00:00+00:00,issuance,,2014
VCS1400,119281.0,,,,,,2020-02-10 00:00:00+00:00,issuance,,2015
VCS1400,132264.0,,,,,,2020-07-21 00:00:00+00:00,issuance,,2017
VCS1400,126088.0,,,,,,2020-12-11 00:00:00+00:00,issuance,,2016
VCS1400,183240.0,,,,,,2025-10-22 00:00:00+00:00,issuance,,2018
VCS1473,5372.0,,,,,,2023-04-28 00:00:00+00:00,issuance,,2019
VCS1473,13985.0,,,,,,2023-04-28 00:00:00+00:00,issuance,,2020
VCS1473,20220.0,,,,,,2023-04-28 00:00:00+00:00,issuance,,2021
VCS1530,34940.0,,,,,,2022-05-28 00:00:00+00:00,issuance,,2019
VCS1530,49206.0,,,,,,2022-05-31 00:00:00+00:00,issuance,,2017
VCS1530,2790.0,,,,,,2022-06-23 00:00:00+00:00,issuance,,2011
VCS1530,13223.0,,,,,,2022-06-23 00:00:00+00:00,issuance,,2012
VCS1530,22952.0,,,,,,2022-06-23 00:00:00+00:00,issuance,,2013
VCS1530,33226.0,,,,,,2022-06-23 00:00:00+00:00,issuance,,2014
VCS1530,36412.0,,,,,,2022-06-23 00:00:00+00:00,issuance,,2015
VCS1530,39072.0,,,,,,2022-06-23 00:00:00+00:00,issuance,,2016
VCS1530,49206.0,,,,,,2022-06-23 00:00:00+00:00,issuance,,2018
VCS1530,16234.0,,,,,,2022-12-01 00:00:00+00:00,issuance,,2020
VCS1566,3615316.0,,,,,,2017-10-09 00:00:00+00:00,issuance,,2013
VCS1566,7097573.0,,,,,,2017-12-21 00:00:00+00:00,issuance,,2015
VCS1566,6404775.0,,,,,,2019-04-23 00:00:00+00:00,issuance,,2017
VCS1566,3175941.0,,,,,,2021-07-22 00:00:00+00:00,issuance,,2018
VCS1566,6800812.0,,,,,,2021-07-22 00:00:00+00:00,issuance,,2019
VCS1682,256.0,,,,,,2023-11-07 00:00:00+00:00,issuance,,2015
VCS1682,1865.0,,,,,,2023-11-07 00:00:00+00:00,issuance,,2016
VCS1682,3692.0,,,,,,2023-11-07 00:00:00+00:00,issuance,,2017
VCS1682,5591.0,,,,,,2023-11-07 00:00:00+00:00,issuance,,2018
VCS1682,6840.0,,,,,,2023-11-07 00:00:00+00:00,issuance,,2019
VCS1682,9858.0,,,,,,2023-11-07 00:00:00+00:00,issuance,,2020
VCS1682,12521.0,,,,,,2023-11-07 00:00:00+00:00,issuance,,2021
VCS1695,3016.0,,,,,,2023-08-01 00:00:00+00:00,issuance,,2015
VCS1695,2260.0,,,,,,2023-08-07 00:00:00+00:00,issuance,,2016
VCS1723,40467.0,,,,,,2021-12-01 00:00:00+00:00,issuance,,2020
VCS1723,24676.0,,,,,,2021-12-23 00:00:00+00:00,issuance,,2019
VCS1723,104650.0,,,,,,2023-03-20 00:00:00+00:00,issuance,,2021
VCS1723,25412.0,,,,,,2025-07-14 00:00:00+00:00,issuance,,2020
VCS1723,112832.0,,,,,,2026-03-12 00:00:00+00:00,issuance,,2022
VCS1723,67065.0,,,,,,2026-03-12 00:00:00+00:00,issuance,,2023
VCS1723,62098.0,,,,,,2026-03-12 00:00:00+00:00,issuance,,2024
VCS1769,3891.0,,,,,,2021-09-29 00:00:00+00:00,issuance,,2017
VCS1769,128.0,,,,,,2022-09-11 00:00:00+00:00,issuance,,2015
VCS1769,1064.0,,,,,,2022-09-11 00:00:00+00:00,issuance,,2016
VCS1769,4910.0,,,,,,2022-09-11 00:00:00+00:00,issuance,,2018
VCS1769,2898.0,,,,,,2022-09-11 00:00:00+00:00,issuance,,2019
VCS1797,83676.0,,,,,,2022-03-16 00:00:00+00:00,issuance,,2018
VCS1797,100643.0,,,,,,2022-03-16 00:00:00+00:00,issuance,,2019
VCS1797,109790.0,,,,,,2022-03-16 00:00:00+00:00,issuance,,2020
VCS1797,55786.0,,,,,,2022-04-14 00:00:00+00:00,issuance,,2017
VCS1797,87705.0,,,,,,2023-03-10 00:00:00+00:00,issuance,,2021
VCS1797,18310.0,,,,,,2024-05-20 00:00:00+00:00,issuance,,2021
VCS1806,47927.0,,,,,,2026-03-02 00:00:00+00:00,issuance,,2014
VCS1806,63902.0,,,,,,2026-03-02 00:00:00+00:00,issuance,,2015
VCS1806,63902.0,,,,,,2026-03-02 00:00:00+00:00,issuance,,2016
VCS1806,63902.0,,,,,,2026-03-02 00:00:00+00:00,issuance,,2017
VCS1806,15976.0,,,,,,2026-05-22 00:00:00+00:00,issuance,,2020
VCS1835,17931.0,,,,,,2018-12-24 00:00:00+00:00,issuance,,2010
VCS1835,5705.0,,,,,,2018-12-24 00:00:00+00:00,issuance,,2011
VCS1836,14192.0,,,,,,2018-12-24 00:00:00+00:00,issuance,,2010
VCS1836,25126.0,,,,,,2018-12-24 00:00:00+00:00,issuance,,2011
VCS1836,23563.0,,,,,,2018-12-24 00:00:00+00:00,issuance,,2012
VCS1836,14302.0,,,,,,2018-12-24 00:00:00+00:00,issuance,,2013
VCS1909,44.0,,,,,,2024-10-31 00:00:00+00:00,issuance,,2015
VCS1910,466.0,,,,,,2024-10-31 00:00:00+00:00,issuance,,2011
VCS2060,6809.0,,,,,,2022-04-07 00:00:00+00:00,issuance,,2014
VCS2060,4143.0,,,,,,2023-03-06 00:00:00+00:00,issuance,,2019
VCS2060,3417.0,,,,,,2023-03-06 00:00:00+00:00,issuance,,2020
VCS2060,7965.0,,,,,,2023-04-25 00:00:00+00:00,issuance,,2021
VCS2290,15619.0,,,,,,2021-05-20 00:00:00+00:00,issuance,,2016
VCS2290,18160.0,,,,,,2021-05-20 00:00:00+00:00,issuance,,2018
VCS2290,8990.0,,,,,,2021-05-25 00:00:00+00:00,issuance,,2015
VCS2290,16594.0,,,,,,2021-12-22 00:00:00+00:00,issuance,,2017
VCS2297,1171271.0,,,,,,2025-01-20 00:00:00+00:00,issuance,,2017
VCS2297,1341866.0,,,,,,2025-01-20 00:00:00+00:00,issuance,,2019
VCS2297,1416568.0,,,,,,2025-05-16 00:00:00+00:00,issuance,,2020
VCS2317,2677.0,,,,,,2024-03-08 00:00:00+00:00,issuance,,2019
VCS2317,3647.0,,,,,,2024-03-18 00:00:00+00:00,issuance,,2020
VCS2317,2468.0,,,,,,2024-03-19 00:00:00+00:00,issuance,,2016
VCS2317,2759.0,,,,,,2024-03-19 00:00:00+00:00,issuance,,2017
VCS2317,3880.0,,,,,,2025-04-03 00:00:00+00:00,issuance,,2018
VCS2512,160758.0,,,,,,2022-06-20 00:00:00+00:00,issuance,,2019
VCS2512,227079.0,,,,,,2022-06-20 00:00:00+00:00,issuance,,2020
VCS2512,88559.0,,,,,,2023-03-15 00:00:00+00:00,issuance,,2018
VCS2512,5772.0,,,,,,2024-10-31 00:00:00+00:00,issuance,,2017
VCS2512,11047.0,,,,,,2025-02-27 00:00:00+00:00,issuance,,2020
VCS2512,63730.0,,,,,,2025-02-27 00:00:00+00:00,issuance,,2021
VCS2512,52598.0,,,,,,2025-02-27 00:00:00+00:00,issuance,,2022
VCS2532,94969.0,,,,,,2022-12-26 00:00:00+00:00,issuance,,2018
VCS2532,185865.0,,,,,,2023-01-24 00:00:00+00:00,issuance,,2019
VCS2532,144865.0,,,,,,2023-02-09 00:00:00+00:00,issuance,,2020
VCS2532,27364.0,,,,,,2023-02-10 00:00:00+00:00,issuance,,2017
VCS2532,23778.0,,,,,,2025-09-26 00:00:00+00:00,issuance,,2020
VCS2532,247971.0,,,,,,2025-10-24 00:00:00+00:00,issuance,,2023
VCS2532,247971.0,,,,,,2026-03-10 00:00:00+00:00,issuance,,2021
VCS2532,247971.0,,,,,,2026-05-08 00:00:00+00:00,issuance,,2022
VCS2723,86424.0,,,,,,2023-09-29 00:00:00+00:00,issuance,,2021
VCS2723,167414.0,,,,,,2023-12-21 00:00:00+00:00,issuance,,2020
VCS2723,143356.0,,,,,,2024-05-16 00:00:00+00:00,issuance,,2019
VCS2750,715.0,,,,,,2025-12-18 00:00:00+00:00,issuance,,2021
VCS2750,59.0,,,,,,2026-01-07 00:00:00+00:00,issuance,,2017
VCS2750,82.0,,,,,,2026-01-07 00:00:00+00:00,issuance,,2018
VCS2750,251.0,,,,,,2026-01-07 00:00:00+00:00,issuance,,2019
VCS2750,434.0,,,,,,2026-01-07 00:00:00+00:00,issuance,,2020
VCS2750,1057.0,,,,,,2026-01-07 00:00:00+00:00,issuance,,2022
VCS3450,19871.0,,,,,,2026-04-24 00:00:00+00:00,issuance,,2021
VCS386,2810.0,,,,,,2010-09-16 00:00:00+00:00,issuance,,2007
VCS386,364.0,,,,,,2012-04-27 00:00:00+00:00,issuance,,2008
VCS386,515.0,,,,,,2024-10-31 00:00:00+00:00,issuance,,2018
VCS479,19722.0,,,,,,2010-10-05 00:00:00+00:00,issuance,,2009
VCS576,20160.0,,,,,,2011-08-16 00:00:00+00:00,issuance,,2009
VCS576,7134.0,,,,,,2011-08-26 00:00:00+00:00,issuance,,2002
VCS576,7134.0,,,,,,2011-08-26 00:00:00+00:00,issuance,,2003
VCS576,7975.0,,,,,,2011-08-26 00:00:00+00:00,issuance,,2004
VCS576,9625.0,,,,,,2011-08-26 00:00:00+00:00,issuance,,2005
VCS576,16941.0,,,,,,2011-08-26 00:00:00+00:00,issuance,,2006
VCS576,19455.0,,,,,,2011-08-26 00:00:00+00:00,issuance,,2007
VCS576,20317.0,,,,,,2011-12-21 00:00:00+00:00,issuance,,2008
VCS576,20160.0,,,,,,2012-08-28 00:00:00+00:00,issuance,,2010
VCS576,63909.0,,,,,,2015-02-27 00:00:00+00:00,issuance,,2011
VCS576,63909.0,,,,,,2015-02-27 00:00:00+00:00,issuance,,2013
VCS576,63909.0,,,,,,2015-12-30 00:00:00+00:00,issuance,,2012
VCS576,42606.0,,,,,,2017-08-16 00:00:00+00:00,issuance,,2014
VCS576,3793.0,,,,,,2023-12-06 00:00:00+00:00,issuance,,2014
VCS576,11378.0,,,,,,2024-01-26 00:00:00+00:00,issuance,,2015
VCS576,11378.0,,,,,,2025-02-05 00:00:00+00:00,issuance,,2016
VCS576,5689.0,,,,,,2025-10-30 00:00:00+00:00,issuance,,2021
VCS576,11378.0,,,,,,2026-02-06 00:00:00+00:00,issuance,,2018
VCS856,104577.0,,,,,,2013-01-30 00:00:00+00:00,issuance,,2012
VCS856,330710.0,,,,,,2018-09-24 00:00:00+00:00,issuance,,2017
VCS1806,209.0,,FairClimateFund,,Retired on behalf of FairClimateFund – 209 VCUs from Riscales REDD+ Project (2020),Other,2026-05-26 00:00:00+00:00,retirement,,2020
VCS1392,10000.0,,,,,,2026-05-21 00:00:00+00:00,retirement,,2018
VCS1806,9150.0,,FairClimateFund,,Retired on behalf of FairClimateFund – 9150 VCUs from Riscales REDD+ Project (2020),Other,2026-05-22 00:00:00+00:00,retirement,,2020
VCS2532,995.0,,,,,,2026-05-18 00:00:00+00:00,retirement,,2022
VCS2532,2200.0,,Betsson Group 2025,,Betsson Group 2025,Environmental Benefit,2026-05-28 00:00:00+00:00,retirement,,2022
VCS2532,9167.0,,CMA CGM,CMA CGM,on behalf of its customers as part of the ACT+ program,Retirement for Person or Organization,2026-04-28 00:00:00+00:00,retirement,,2021
VCS576,608.0,,Betsson Group 2025,,Betsson Group 2025,Environmental Benefit,2026-04-27 00:00:00+00:00,retirement,,2021
VCS2532,7.0,,,,,,2026-03-16 00:00:00+00:00,retirement,,2021
VCS2532,130.0,,,,,,2026-03-16 00:00:00+00:00,retirement,,2021
VCS2532,531.0,,,,,,2026-03-16 00:00:00+00:00,retirement,,2021
VCS2532,5.0,,,,,,2026-03-16 00:00:00+00:00,retirement,,2021
VCS1806,550.0,,FairClimateFund,,Retired on behalf of FairClimateFund – 550 VCUs from Riscales REDD+ Project (oldest vintage),Other,2026-04-07 00:00:00+00:00,retirement,,2014
VCS576,1676.0,,Telefónica S.A.,,VCUs retired on behalf of Telefónica S.A. to offset part of its 2025 carbon footprint.,Environmental Benefit,2026-02-06 00:00:00+00:00,retirement,,2018
VCS576,7559.0,,Telefónica España,,VCUs retired on behalf of Telefónica España to offset part of its 2025 carbon footprint.,Environmental Benefit,2026-02-06 00:00:00+00:00,retirement,,2018
VCS1400,17500.0,,,,,,2026-01-30 00:00:00+00:00,retirement,,2018
VCS1392,17500.0,,,,,,2026-01-30 00:00:00+00:00,retirement,,2018
VCS1391,17500.0,,,,,,2026-01-30 00:00:00+00:00,retirement,,2018
VCS1399,17500.0,,,,,,2026-01-30 00:00:00+00:00,retirement,,2018
VCS2317,94.0,,"Seguridad Fenix de Colombia Ltda. Nit 800.234.493-4 Compensó las emisiones de categorías evaluadas de su huella (1/9/2023-30/8/2025), apoyando proyectos de mitigación climática.",,"Seguridad Fenix de Colombia Ltda. Nit 800.234.493-4 Compensó las emisiones de categorías evaluadas de su huella (1/9/2023-30/8/2025), apoyando proyectos de mitigación climática.",Environmental Benefit,2026-01-26 00:00:00+00:00,retirement,,2018
VCS1395,176470.0,,"Netflix, Inc.",,"Retired for the sole benefit of Netflix, Inc.",Environmental Benefit,2026-04-21 00:00:00+00:00,retirement,,2019
VCS2317,500.0,,GOFO Inc,,GOFO Express retires 500 tonnes rom VCS2317 - Magnolias Forest Conservation for 2025 operational footprint,Environmental Benefit,2025-11-12 00:00:00+00:00,retirement,,2020
VCS1400,36.0,,,,,,2025-10-29 00:00:00+00:00,retirement,,2018
VCS2532,5.0,,,,,,2026-03-16 00:00:00+00:00,retirement,,2021
VCS2532,5.0,,,,,,2026-05-18 00:00:00+00:00,retirement,,2022
