category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,protocol_unassigned,registry,retired,status,vintage_start,vintage_end,credit_rows,startDate,endDate,fuente
fuel-switching,Colombia,,,False,0.0,,Electric Mobility Program Colombia,VCS5908,Unknown,carbonplan,https://registry.verra.org/app/projectDetail/VCS/5908,Grutter Consulting AG,['vm0038'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",VCS5901,REDD+,carbonplan,https://registry.verra.org/app/projectDetail/VCS/5901,Multiple Proponents,['vm0048'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
ghg-management,Colombia,,,False,0.0,,El Estero biogas recovery and utilization,VCS5756,Unknown,carbonplan,https://registry.verra.org/app/projectDetail/VCS/5756,EXTRACTORA EL ESTERO S.A.S.,['ams-iii-h'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,CO2ROZO,VCS5680,REDD+,carbonplan,https://registry.verra.org/app/projectDetail/VCS/5680,FUNDACIÓN CATARUBEN,"['vm0007', 'vm0042']",,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Green and Carbon Capture project,VCS5632,Afforestation + Reforestation,carbonplan,https://registry.verra.org/app/projectDetail/VCS/5632,Scellec Teca Colombia SAS,['vm0047'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
agriculture,Colombia,,,False,0.0,,Boomitra grassland Restoration in Colombia,VCS5335,Grassland Management,berkeley,https://registry.verra.org/app/projectDetail/VCS/5335,Boomitra Inc,['vm0042'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Sembrando Futuro Restoration Project,VCS5324,Afforestation + Reforestation,carbonplan,https://registry.verra.org/app/projectDetail/VCS/5324,Fundación Grupo Argos,['vm0047'],,verra,0.0,completed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Bella Bosque Vichada Afforestation Project,VCS5305,Afforestation + Reforestation,carbonplan,https://registry.verra.org/app/projectDetail/VCS/5305,Multiple Proponents,['vm0047'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,Sembrando Futuro 2.0,VCS5169,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/5169,Terraformation Inc.,['vm0047'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",VCS4894,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/4894,ALLCOT A.G.,['vm0047'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
agriculture,Colombia,,,False,0.0,,NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION,VCS4777,Sustainable Agriculture,berkeley,https://registry.verra.org/app/projectDetail/VCS/4777,Agropecuaria Bambusa SAS,['vm0042'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
forest,Colombia,,,False,0.0,,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,VCS4748,Afforestation + Reforestation,berkeley,https://registry.verra.org/app/projectDetail/VCS/4748,FUNDACIÓN PROYECTO PRIMATES - FPP,['ar-acm0003'],,verra,0.0,listed,,,,,,carbonplan_offsetsdb
