COD_DANE,NOMBRE_MPI,DPTO_CNMBR,year,loss_pixels,loss_area_ha
05001,MEDELLÍN,ANTIOQUIA,2001,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2002,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2003,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2004,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2005,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2006,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2007,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2008,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2009,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2010,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2011,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2012,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2013,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2014,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2015,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2016,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2017,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2018,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2019,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2020,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2021,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2022,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2023,0,0.0
05001,MEDELLÍN,ANTIOQUIA,2024,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2001,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2002,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2003,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2004,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2005,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2006,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2007,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2008,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2009,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2010,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2011,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2012,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2013,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2014,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2015,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2016,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2017,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2018,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2019,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2020,0,0.0
05002,ABEJORRAL,ANTIOQUIA,2021,0,0.0
