clave,fuente,nombre_proyecto,clasificacion_final,justificacion,clasificacion_sugerida,motivo_sugerencia,tokens_match,cod_dane_match
renare|carbono agroforestal la argentina,renare,Carbono Agroforestal La Argentina,AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b229782cb375c800b83a48 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,LA ARGENTINA,41378
renare|mas bosques para medellin,renare,Más Bosques para Medellín,AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b22bb62cb375c800b83c76 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,MEDELLIN,5001
renare|proyecto forestal co2cero refocosta la gloria,renare,PROYECTO FORESTAL CO2CERO REFOCOSTA LA GLORIA,AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b22c1a2cb375c800b83ce6 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,LA GLORIA,20383
renare|proyecto co2cero col la gloria - alouatta carbon forest,renare,Proyecto CO2CERO COL LA GLORIA - Alouatta Carbon Forest,AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=695d37c9dc90ca1cbe64d1fa | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,LA GLORIA,20383
renare|proyecto carbono sombrilla abejorral,renare,Proyecto Carbono Sombrilla Abejorral,AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b228652cb375c800b8395e | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,ABEJORRAL,5002
renare|proyecto forestal carbono sombrilla abejorral,renare,Proyecto Forestal Carbono Sombrilla Abejorral,AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b22c752cb375c800b83d35 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,ABEJORRAL,5002
"renare|proyecto forestal para la cuenca del rio chinchina, una alternativa ambiental para la ciudad y la region¿",renare,"Proyecto Forestal Para La Cuenca del Rio Chinchiná, una alternativa ambiental para la ciudad y La Región¿",AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b22b922cb375c800b83c52 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,CHINCHINA,17174
"renare|proyecto de captura de carbono, y conservacion hidrica del bosque altoandino-humedo en la finca la giovanna, pamplona (norte de santander).",renare,"Proyecto de Captura de Carbono, y Conservación Hídrica del Bosque Altoandino-Húmedo en la Finca La Giovanna, Pamplona (Norte de Santander). 
",AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=690caa31471be180c8ed9765 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,PAMPLONA,54518
"renare|proyecto de mitigacion en el sector del uscuss por remociones debidas al establecimiento de sistemas forestales de hevea brasiliensis en el municipio de barrancabermeja, santander, colombia",renare,"Proyecto de mitigación en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia",AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b229872cb375c800b83a54 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,BARRANCABERMEJA,68081
renare|sustainable agroforestry cacao meta,renare,Sustainable Agroforestry Cacao Meta,AFOLU,renare | tipo=PDBC - Proyectos de Desarrollo Bajo en Carbono | id=68b22bfc2cb375c800b83cb8 | sin campo sectorial estructurado: clasificado por nombre y tipo de iniciativa | revision manual 2026-09-17,AFOLU,tipo=PDBC - Proyectos de Desarrollo; actividades sugiere AFOLU,CABUYARO,50124
