COD_DANE,year,poblacion_dane,temp_media_c,prec_anual_mm,proyectos_carbono_co
11001,2001,,,,0
11001,2002,,,,0
11001,2003,,,,0
11001,2004,,,,0
11001,2005,,,,0
11001,2006,,,,0
11001,2007,,,,0
11001,2008,,,,0
11001,2009,,,,0
11001,2010,,,,0
11001,2011,,,,0
11001,2012,,,,0
11001,2013,,,,0
11001,2014,,,,0
11001,2015,,,,0
11001,2016,,,,0
11001,2017,,,,0
11001,2018,,,,0
11001,2019,,,,0
11001,2020,,,,0
11001,2021,,,,0
11001,2022,,,,0
11001,2023,,,,0
11001,2024,,,,0
13001,2001,,,,0
13001,2002,,,,0
13001,2003,,,,0
13001,2004,,,,0
13001,2005,,,,0
13001,2006,,,,0
13001,2007,,,,0
13001,2008,,,,0
13001,2009,,,,0
13001,2010,,,,0
13001,2011,,,,0
13001,2012,,,,0
13001,2013,,,,0
13001,2014,,,,0
13001,2015,,,,0
13001,2016,,,,0
13001,2017,,,,0
13001,2018,,,,0
13001,2019,,,,0
13001,2020,,,,0
13001,2021,,,,0
13001,2022,,,,0
13001,2023,,,,0
13001,2024,,,,0
13006,2001,,,,0
13006,2002,,,,0
13006,2003,,,,0
13006,2004,,,,0
13006,2005,,,,0
13006,2006,,,,0
13006,2007,,,,0
13006,2008,,,,0
13006,2009,,,,0
13006,2010,,,,0
13006,2011,,,,0
13006,2012,,,,0
13006,2013,,,,0
13006,2014,,,,0
13006,2015,,,,0
13006,2016,,,,0
13006,2017,,,,0
13006,2018,,,,0
13006,2019,,,,0
13006,2020,,,,0
13006,2021,,,,0
13006,2022,,,,0
13006,2023,,,,0
13006,2024,,,,0
13030,2001,,,,0
13030,2002,,,,0
13030,2003,,,,0
13030,2004,,,,0
13030,2005,,,,0
13030,2006,,,,0
13030,2007,,,,0
13030,2008,,,,0
13030,2009,,,,0
13030,2010,,,,0
13030,2011,,,,0
13030,2012,,,,0
13030,2013,,,,0
13030,2014,,,,0
13030,2015,,,,0
13030,2016,,,,0
13030,2017,,,,0
13030,2018,,,,0
13030,2019,,,,0
13030,2020,,,,0
13030,2021,,,,0
13030,2022,,,,0
13030,2023,,,,0
13030,2024,,,,0
13042,2001,,,,0
13042,2002,,,,0
13042,2003,,,,0
13042,2004,,,,0
13042,2005,,,,0
13042,2006,,,,0
13042,2007,,,,0
13042,2008,,,,0
13042,2009,,,,0
13042,2010,,,,0
13042,2011,,,,0
13042,2012,,,,0
13042,2013,,,,0
13042,2014,,,,0
13042,2015,,,,0
13042,2016,,,,0
13042,2017,,,,0
13042,2018,,,,0
13042,2019,,,,0
13042,2020,,,,0
13042,2021,,,,0
13042,2022,,,,0
13042,2023,,,,0
13042,2024,,,,0
