id,entityId,esUpdatedOn,standardId,standardName,accountId,accountName,modifiedDate,auxiliaries,status,publicStateNameEn,projectId,projectName,projectDescription,environmentalCategory,piusListed,projectStartDate,projectActivationDate,projectPublicVisibility,statePublicVisibility,projectSubmittedDate,projectRegistrationDate,projectEndDate,masterProjectId,masterProjectName,projectType,vcsProjectId,validatorName,validatorId,ragRating,stateCode,units,countryId,countryName,city,stateProvince,gridReference,latitude,longitude,accountExternalIdentifier,certification,additionalCertification,additionalGoalInfo,complianceEligibility,projectSubmissionId,submissionDate,startDate,latitudeLongitude,sectoralScope,unitsIssuedInPermanenceBufferAccount,unitsIssuedInCorrespondingAdjustmentReserveAccount,unitsIssuedInCountrySopReserveAccount,electricityGenerated,plasticCredits,exanteQuantity,unitsGhgEmissionReduction,unitsIssued,unitsInOmgeAccount,unitsInAppFundAccount,hcloaName,corrAdjustmentName,projectCategory,projectActivityType,considerAccountPrivate,authorizedRepresentative,methodologies,ccbStandardTypeId,ccbStandardTypeName,periodOfValidityStart,verraProjectRegistrationDate,regionId,regionName,area,website,proponents,afoluNames,avgAnnualVolVcu,otherGhgProgramName,otherGhgProgramId,registeredOtherGhgProgram,jnrProgramProjectName,creditPeriodStartDate,creditPeriodEndDate,sdContributions,projectSize,projectSizeId,creditPeriodTerm,creditPeriod,jurisdictionalStatus,jurisdictionalStatusId,jnrScenario,jnrScenarioId,dateOfInactivity,linkedVcsProjectId,registeredInVcs,estimatedAnnualCarbonDioxideRemovals,estimatedEmissionsAnnualReduction,projectMaterialTypes,projectEndOfLifeSelections,fuente,_id_estable,metodo_correccion_coords,COD_DANE,NOMBRE_MPI
110200000674123,110200000674123,2026-08-21T17:27:46.103504499,150000000000001,Verified Carbon Standard,,,2024-03-14T09:42:14,,Pipeline Listing (under development) approved,Pipeline listing (under development) approved,3475,ACABA REDD+ Project,"The ACABA REDD+ Project is located in the General Community Council of the Baudó River and its Tributaries (ACABA) on the Pacific coast of the department of Chocó. The Project contains very humid tropical forest with transition to tropical pluvial forest, and has unique habitat conditions for both flora and fauna. It is considered an invaluable region at the national and international level and is classified as one of the of the most biodiverse hotspots on Earth, characterized by the presence of endemic species. Significant and exponential deforestation has occurred in the region over time, which according to the IDEAM forest monitoring report for the 2010-2017 period was 10,559 ha. This scenario is the caused by a lack of territorial planning, which in turn results in processes associated with wood extraction, the expansion of the agricultural frontier, the establishment of crops for illicit use, unplanned infrastructure, the construction of new road accesses, and itinerant open-pit mining. The project uses a standalone approach and an annual average of 208,556 tCO2e are expected to be reduced with a total reduction of 6,465,226 tCO2e over the project’s lifetime of thirty years. With the implementation of the REDD+ project, the community will achieve the reduction of emissions resulting from deforestation and forest degradation, and thereby environmental and social benefits will be generated. Additionally, economic resources will be available to be invested in the creation of productive opportunities aimed at improving the living conditions of the inhabitants, in alignment with the ACABA ethno-development plan. The Project is eligible under the VCS Program and uses the VM0009, v3 Methodology. The project will have a AUDD activity type baseline scenario, using Colombia’s national Forest Reference Emissions Levels (FREL). The project will generate GHG emission reductions by reducing unplanned deforestation, covering activities within the scope of the VCS Program.",Carbon,No,2019-02-13T00:00:00,,True,True,,,2029-02-12T00:00:00,,,,3475,,,,PIPELINE_LISTING_UNDER_DEVELOPMENT_APPROVED,False,100000000000011,Colombia,Municipalities of Alto Baudó and Medio Baudó,department of Chocó,,5.539792,-77.105663,,,,,,3475,2019-02-13T00:00:00,2019-02-13T00:00:00,5.539792/77.105663,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-02-13T00:00:00,,150000000000045.0,Latin America,98683.0,https://www.wildlifeworks.com/,"Consejo Comunitario General Del Río Baudo y sus Afluentes, ACABA",REDD,208556,,,False,,2019-02-13T00:00:00,2029-02-12T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,,,,,,,,False,,,,,verra_platts,3475,signo_lon_negado,27025,ALTO BAUDÓ
110200000675492,110200000675492,2026-08-21T17:27:46.304516709,150000000000001,Verified Carbon Standard,,,2025-03-12T01:52:35,,Registered,Registered,1389,Acapa -­ Bajo Mira Y Frontera REDD+ Project,"Proyecto REDD+ para mitigar el cambio climático, proteger la rica biodiversidad y generar fuentes de ingresos para las comunidades pobres, a través de la gobernanza forestal, el desarrollo de capacidades y las actividades productivas que evitarán la tala selectiva de bosques nativos, evitando la degradación y la deforestación. Ubicado en Tumaco, costa suroeste del Pacífico de Colombia. Desarrollado por BIOREDD+/USAID",Carbon,No,2013-11-13T00:00:00,2025-03-12T01:52:35,True,True,,,2043-11-12T00:00:00,,,,1389,"Rainforest Alliance, Inc. (Rainforest Alliance)",110100000041307.0,,REGISTERED,True,100000000000011,Colombia,Tumaco,Nariño,,1.6428,-78.892797,,,,,,1389,2013-11-13T00:00:00,2013-11-13T00:00:00,1.642800/-78.892797,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,True,,VM0006 (Version NA),,,2013-11-13T00:00:00,2020-06-09T00:00:00,150000000000045.0,Latin America,58212.0,,Multiple Project Proponents,REDD,404786,,,False,,2013-11-13T00:00:00,2043-11-12T00:00:00,,"> 1,000,000 tCO2-e per year",150000000000063,1.0,30.0,,,,,,,False,,,,,verra_platts,1389,original,52835,SAN ANDRÉS DE TUMACO
110200000676448,110200000676448,2026-08-21T17:27:52.54229245,150000000000001,Verified Carbon Standard,,,2026-01-17T20:02:39,,Registered,Registered,2512,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA","The grouped project aim is to recover degraded grasslands in Vichada, Colombia, through the establishment of timber plantations. The first instance consists of the afforestation of 30,605 ha of low-fertility grasslands that have been degraded by livestock in the municipalities of Puerto Carreño and La Primavera, it includes the planting of Eucalyptus (Eucalyptus pellita) and Acacia (Acacia mangium) as timber species. Through afforestation activities to recover degraded lands, the project aims to promote connectivity between ecosystems. In addition, this project is expected to provide more than 200 full-time employment opportunities (with equal access to women and men) in a zone historically affected by poverty. Furthermore, the increase in the forest cover and sequestration of carbon in living biomass will contribute to the reduction of GHG emissions by acting as sink that sequesters an average of 139,489 tCO2e per year.",Carbon,No,2016-09-15T00:00:00,2026-01-17T20:02:39,True,True,,,2046-09-14T00:00:00,,,,2512,Colombian Institute for Technical Standards and Certification (ICONTEC),110100000042585.0,,REGISTERED,True,100000000000011,Colombia,Puerto Carreño,Vichada,,6.0902,-68.5006,,,,,,2512,2016-09-15T00:00:00,2016-09-15T00:00:00,6.090200/-68.500600,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,AR-ACM0003 (Version NA),,,2016-09-15T00:00:00,2022-05-25T00:00:00,150000000000045.0,Latin America,9419.0,,Forest First Colombia S.A.S. (PP),ARR,139489,,,False,,2016-09-15T00:00:00,2046-09-14T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,2512,original,99001,PUERTO CARREÑO
110200000673379,110200000673379,2026-08-21T17:27:46.001735749,150000000000001,Verified Carbon Standard,,,2026-08-12T17:15:37.27,,Inactive,Inactive,3215,ASATIQ Vaupés Maloca REDD+ Project,"The ASATIQ Vaupés Maloca REDD+ Project is located within the area of the Association of Traditional Indigenous Authorities of Querarí (ASATIQ), which is part of the Great Eastern Indigenous Reservation of Vaupés in jurisdiction of the municipality of Mitú, in the department of Vaupés, Colombia. ASATIQ’s territory is located in the Colombian Amazon biome. The objective of the ASATIQ Vaupés Maloca REDD+ Project is to reduce greenhouse gas emissions coming mainly from deforestation and degradation of the Amazon Forest. Potential activities to reduce deforestation include forest protection and monitoring, the intensification and improvement of agricultural productivity in local communities, planting of fruit and timber trees (including those used for firewood), planting of other species used as construction materials, the creation of jobs as an alternative source of income (for example, in forest monitoring) and the improvement of health and education conditions of the communities in order to offer non-extractive work options. At the same time, actions in the medium and long terms have been defined to support the territory’s self-governance principles, as well as to promote the development of local traditional practices and ancestral education. The proposals made are framed aligned with the general action lines of the ASATIQ Life Plan. On the other hand, between 40% and 60% of recent IDEAM deforestation early warning bulletins come from the Amazon, and the department of Vaupés appears in the first five ranks of alert. Under these circumstances, the without-project scenario presents an unplanned use of forest resources with extractive logging activities and the expansion of the agricultural frontier through subsistence crops and itinerant mining, which are being developed progressively putting at risk the ecosystem balance of the forests and the cultural traditions of the communities. The duration of the project is proposed from January 1, 2018 to December 31, 2047.",Carbon,No,2019-11-08T00:00:00,,True,True,,,2049-11-07T00:00:00,,,,3215,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,INACTIVE,False,100000000000011,Colombia,municipality of Mitu,Department of Vaupés,,1.605186,-70.48573,,,,,,3215,2019-11-08T00:00:00,,1.605186/70.485730,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-11-08T00:00:00,,150000000000045.0,Latin America,391310.0,www.wildlifeworks.com,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),REDD,943225,,,False,,2019-11-08T00:00:00,2049-11-07T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,3215,signo_lon_negado,97001,MITÚ
110200000673688,110200000673688,2026-08-21T17:27:46.021506895,150000000000001,Verified Carbon Standard,,,2024-11-01T20:12:04,,Registration and verification approval requested,Registration and verification approval requested,3216,ASATRIZY Vaupés Maloca REDD+ Project,"The ASATRIZY Vaupés Maloca REDD+ Project proposed to be implemented in the Great Eastern Reservation of Vaupés is in the Reduced Emissions from Deforestation and Degradation (REDD+) category. Development of the REDD+ project is based on the VM0009 Methodology, v3 of the VCS. This methodology is applicable to this project and is being used for other REDD+ projects in the region. It has also been used by Wildlife Works, having two types of areas of application.  The first, corresponding to the Project Area (PA) and the second to the Project Accounting Area (PAA). The PAA is the area with forest cover, where the project would implement activities to prevent deforestation and whose results would be used to calculate carbon credits. According to the territory conditions, this is a standalone project that respects ASATRIZY’s autonomy. In the without-project scenario, the forest ecosystems in the department of Vaupés and in particular those in the territory of ASATRIZY are located in life zones of tropical humid forest. This area has been recognized as one of the most biodiverse in the country and the whole continent, being characterized by its endemic species. The forest monitoring carried out by the Colombian Government and coordinated by IDEAM has shown a national annual deforestation average between 177,764 ha and 219,552 ha for the 2016-2017 period, with the Amazon biome representing 70% of the total deforestation. In addition, between 40% and 60% of recent IDEAM deforestation early warning bulletins come from the Amazon, and the department of Vaupés appears in the first five ranks of alert. According to this scenario and based on data obtained from the Amazonian Scientific Research Institute (SINCHI) and through field visits carried out by WWC, it was possible to identify the unplanned use of forestry resources as the main driver of deforestation in the project area, consisting of “slash-and-burn” activities in the jungle to expand the chagras.",Carbon,No,2019-05-30T00:00:00,,True,True,,,2049-05-29T00:00:00,,,,3216,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,REGISTRATION_VERIFICATION_APPROVAL_REQ,False,100000000000011,Colombia,Municipality of Mitú,Department of Vaupés,,0.588388,-70.455077,,,,,,3216,2019-05-30T00:00:00,2019-05-30T00:00:00,0.588388/70.455077,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-05-30T00:00:00,,150000000000045.0,Latin America,128556.0,www.wildlifeworks.com,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),REDD,355612,,,False,,2019-05-30T00:00:00,2049-05-29T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,3216,signo_lon_negado,97001,MITÚ
110200000676707,110200000676707,2026-08-21T17:27:52.557400767,150000000000001,Verified Carbon Standard,,,2022-04-05T20:40:33,,Pipeline Listing (under development) approved,Pipeline listing (under development) approved,1524,AXIA Energia Cogeneration Project in Familia,"The AXIA Energia Cogeneration Project in Familia will be implemented by the company AXIA Energía S.A.S.The project consists of the implementation and operation of a cogeneration plant to deliver electric and thermal energy to the manufacturing plant of the company Productos Familia S.A., located in the municipality of Medellin in the Department of Antioquia in Colombia. The main equipment of the cogeneration plant consists of a high-efficiency natural gas based power generator and a heat recovery steam boiler that utilizes waste energy. The project is expected to reduce approximately 7,901 tCO2 per year by reducing fossil fuel consumption.Besides, the project contributes to the country's sustainable development by decreasing other emissions such as sulphur oxides and particulate matter, as well as stimlulating the technology transfer and diffusion of similar activities in the industrial sectors in Colombia.",Carbon,No,2016-05-01T00:00:00,,True,True,,,2026-04-30T00:00:00,,,,1524,,,,PIPELINE_LISTING_UNDER_DEVELOPMENT_APPROVED,False,100000000000011,Colombia,municipality of Medellin,Department of Antioquia,,6.198269,-75.581389,,,,,,1524,2016-05-01T00:00:00,2016-05-01T00:00:00,6.198269/-75.581389,Manufacturing industries,,,,,,,,,,,,,,,False,,AMS-II.D. (Version NA),,,2016-05-01T00:00:00,,150000000000045.0,Latin America,,,AXIA Energia,,7901,,,False,,2016-05-01T00:00:00,2026-04-30T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,,,,,,,,False,,,,,verra_platts,1524,original,05001,MEDELLÍN
110200000676876,110200000676876,2026-08-21T17:27:52.581192949,150000000000001,Verified Carbon Standard,,,2022-04-04T18:21:24,,Pipeline Listing (under development) approved,Pipeline listing (under development) approved,1405,AXIA Energia Cogeneration Project in Unibol,"The AXIA Energia Cogeneration Project in Unibol will be implemented by the company AXIA Energía S.A.S.  The project consists of the implementation and operation of a cogeneration plant to deliver electric and thermal energy to the paper manufacturing plant of the company Fábrica de Bolsas de Papel Unibol S.A., located in the municipality of Soledad in the Department of Atlántico in Colombia.  The main equipment of the cogeneration plant consists of a high-efficiency natural gas based power generator and a heat recovery steam boiler that utilizes waste energy. The project is expected to reduce approximately 9,354 tCO2 per year by reducing fossil fuel consumption.  Besides, the project contributes to the country ́s sustainable development by decreasing other emissions such as sulphur oxides and particulate matter, as well as stimlulating the technology transfer and diffusion of similar activities in the industrial sectors in Colombia",Carbon,No,2015-07-01T00:00:00,,True,True,,,2025-06-30T00:00:00,,,,1405,Bureau Veritas India Private Limited,110100000045221.0,,PIPELINE_LISTING_UNDER_DEVELOPMENT_APPROVED,False,100000000000011,Colombia,municipality of Soledad,Department of Atlántico,,10.8971,-74.7683,,,,,,1405,2015-07-01T00:00:00,2015-07-01T00:00:00,10.897100/-74.768300,Manufacturing industries,,,,,,,,,,,,,,,False,,AMS-II.D. (Version 13),,,2015-07-01T00:00:00,,150000000000043.0,Asia,,,AXIA Energia,,9354,,,False,,2015-07-01T00:00:00,2025-06-30T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,,,,,,,,False,,,,,verra_platts,1405,original,08758,SOLEDAD
110200000677888,110200000677888,2026-08-21T17:27:52.638254306,150000000000001,Verified Carbon Standard,,,2024-12-09T00:37:24,,Registration and verification approval requested,Registration and verification approval requested,3210,Bajo Atrato REDD+ Project,"The purpose of the REDD+ Bajo Atrato project is to reduce GHG emissions from deforestation and forest degradation activities, envisioning that the efforts of the communities inhabiting and owning the territories where it is located are materialized in actions that lead to forest conservation and the improvement of living conditions. The project is located in the northwest of Colombia, in the Department of Chocó, between the municipalities of Riosucio and Carmen del Darién, in the lower basin of the Atrato River, which is part of the Darién area. In the area of the project’s first instance, the following Afro-descendant communal lands are grouped: the Quiparadó River Basin Community Council, the Curbaradó River Community Council, the Salaquí River Basin Community Council, the Cacarica River Basin Community Council, the Truandó Medio La Teresita Community Council, the Bocas de Taparal Community Council, the Dos Bocas Chintado Community Council, the La Nueva Truandó Community Council, and the Clavellino Community Council. The actions that will make possible to reduce deforestation and forest degradation in the project area are aligned with the needs and purposes  identified during the first meetings with the communities and while conducting the prior, free and informed consent process. These actions are aimed at achieving four major purposes: strengthening of governance and community management; improvement of community welfare; provision of social and community infrastructure; and boost of sustainable livelihoods and environmental protection, basic sanitation and aqueducts. The lands in the project area include tropical pluvial forests with transition to cold and very humid tropical forests. There, forests, grasslands, secondary vegetation, swampy areas and agroecosystems are found. In these areas, deforestation is associated with wood extraction, agricultural frontier expansion, illicit crop cultivation, and unplanned infrastructure construction.",Carbon,No,2019-10-17T00:00:00,,True,True,,,2049-10-16T00:00:00,,,,3210,"AENOR CONFIA, S.A. (UNIPERSONAL)",110100000041003.0,,REGISTRATION_VERIFICATION_APPROVAL_REQ,False,100000000000011,Colombia,Municipalities of Riosucio and Carmen del Darién,Department of Chocó,,7.354147,-77.391208,,,,,,3210,2019-10-17T00:00:00,2019-10-17T00:00:00,7.354147/77.391208,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0009 (Version NA),,,2019-10-17T00:00:00,,150000000000045.0,Latin America,313082.0,www.wildlifeworks.com,Multiple Project Proponents,REDD,668184,,,False,,2019-10-17T00:00:00,2049-10-16T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,3210,signo_lon_negado,27615,RIOSUCIO
110200000672610,110200000672610,2026-08-21T17:27:39.653690219,150000000000001,Verified Carbon Standard,,,2026-02-17T22:16:23,,Registered,Registered,1395,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,"REDD+ Project to mitigate climate change, protect rich biodiversity, and generate sources of income for poor communities, through forest governance, capacity building, and productive activities that will prevent selective logging of native forests, avoiding degradation and deforestation. Located in Buenaventura, Western Pacific coast of Colombia. Developed by BIOREDD+/USAID",Carbon,No,2013-08-26T00:00:00,2026-02-17T22:16:23,True,True,,,2043-08-25T00:00:00,,,,1395,"Rainforest Alliance, Inc. (Rainforest Alliance)",110100000041307.0,,REGISTERED,True,100000000000011,Colombia,Buenaventura,Valle de Cauca,,4.005277,-77.159722,,,,,,1395,2013-08-26T00:00:00,2013-08-26T00:00:00,4.005277/-77.159722,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,True,,VM0006 (Version NA),,,2013-08-26T00:00:00,2020-04-06T00:00:00,150000000000045.0,Latin America,83452.0,,Multiple Project Proponents,REDD,1050286,,,False,,2013-08-26T00:00:00,2043-08-25T00:00:00,,"> 1,000,000 tCO2-e per year",150000000000063,1.0,30.0,,,,,,,False,,,,,verra_platts,1395,original,76109,BUENAVENTURA
110200000672015,110200000672015,2026-08-21T17:27:39.617865227,150000000000001,Verified Carbon Standard,,,2025-04-01T22:17:26,,Under validation (Public comment period closed),Under validation (Public comment period closed),5305,Bella Bosque Vichada Afforestation Project,"The project aims to undertake afforestation across 11,452 hectares of degraded grasslands, using a mix of native species and eucalyptus trees, and to preserve the planted areas. The objective of the project is to build biodiversity corridors across the land that is primarily dominated by cattle grazing, provide economical alternative livelihoods to local populations in the sparsely-populated region, and provide a source of material for fencing (from thinning activities, not for commercial harvesting) for local use. At the time of the project’s listing process' start (October 2024), 20.5 hectares have been planted in the Potosí farm and constitute the initial activity instance for the project. The initial instance of the grouped project is located in the Primavera municipality, roughly halfway between Puerto Carreño, the capital of the Vichada Department, which is situated on Colombia's eastern border with Venezuela, and Villavicencio, a sizable city in the westernmost part of the Meta Department. All project areas have historically been used for cattle grazing activities and rudimentary fire management practices, which have led to a continuous state of degradation, which is expected to continue. The project is expected to remove 15,374 tCO2e from the atmosphere with this initial activity instance and an average annual sequestration of 512 tCO2e. Overall, the project will have a positive community impact, providing economic opportunities to residents (and non-residents ) in the area. It will bring skilled training to seasonal and year-round employees of the project partners.",Carbon,No,2024-06-17T00:00:00,,True,True,,,2054-06-16T00:00:00,,,,5305,Carbon Check (India) Private Ltd.,110100000035758.0,,UNDER_VAL_COMMENT_CLOSED,False,100000000000011,Colombia,La Primavera,Vichada,,5.418336,-70.143544,,,,,,5305,2024-06-17T00:00:00,2024-06-17T00:00:00,5.418336/-70.143544,Agriculture Forestry and Other Land Use,,,,,,,,,,,,,,,False,,VM0047 (Version NA),,,2024-06-17T00:00:00,,150000000000045.0,Latin America,20.0,,Multiple Project Proponents,ARR,512,,,False,,2024-06-17T00:00:00,2054-06-16T00:00:00,,"5,000 - 1,000,000 tCO2-e per year",150000000000062,1.0,30.0,,,,,,,False,,,,,verra_platts,5305,original,99524,LA PRIMAVERA
