project_id,cod_dane,municipio
VCS5908,41206,COLOMBIA
VCS5901,41206,COLOMBIA
VCS5680,47288,FUNDACION
VCS5632,41206,COLOMBIA
VCS5335,41206,COLOMBIA
VCS5324,47288,FUNDACION
VCS4777,41206,COLOMBIA
VCS4732,41206,COLOMBIA
VCS4480,27077,BAJO BAUDO
VCS3927,41206,COLOMBIA
VCS3849,17867,VICTORIA
VCS3646,97161,CARURU
VCS3450,41206,COLOMBIA
VCS3210,27050,ATRATO
VCS3218,27050,ATRATO
VCS2750,41206,COLOMBIA
VCS2723,27205,CONDOTO
VCS2512,41206,COLOMBIA
VCS2392,66001,PEREIRA
VCS2356,41206,COLOMBIA
VCS2330,41206,COLOMBIA
VCS2317,5887,YARUMAL
VCS2298,41206,COLOMBIA
VCS491,41206,COLOMBIA
VCS1169,5001,MEDELLIN
VCS2262,41885,YAGUARA
VCS2071,41206,COLOMBIA
VCS1936,41206,COLOMBIA
VCS1909,47707,SANTA ANA
VCS1910,41206,COLOMBIA
VCS1869,68533,PARAMO
VCS1821,94001,INIRIDA
VCS1797,44110,EL MOLINO
VCS1769,41206,COLOMBIA
VCS1765,19585,PURACE
VCS1695,15236,CHIVOR
VCS1682,41206,COLOMBIA
VCS1390,27150,CARMEN DEL DARIEN
VCS1399,5480,MUTATA
VCS1206,41206,COLOMBIA
VCS1233,41206,COLOMBIA
VCS1378,17174,CHINCHINA
VCS1434,5001,MEDELLIN
VCS1429,41206,COLOMBIA
CCB5,52687,SAN LORENZO
CCB8,41206,COLOMBIA
CCB10,5142,CARACOLI
CCB14,41206,COLOMBIA
CCB15,41206,COLOMBIA
CCB31,41378,LA ARGENTINA
CCB34,41206,COLOMBIA
CCB35,41206,COLOMBIA
CCB36,41206,COLOMBIA
CCB38,41206,COLOMBIA
CCB40,41206,COLOMBIA
CCB41,41206,COLOMBIA
CCB50,41206,COLOMBIA
CCB51,41206,COLOMBIA
CCB68,41206,COLOMBIA
CCB70,41206,COLOMBIA
CCB71,41206,COLOMBIA
CCB72,41206,COLOMBIA
CCB74,41206,COLOMBIA
CCB75,41206,COLOMBIA
CCB77,47707,SANTA ANA
CCB85,41206,COLOMBIA
CCB88,5021,ALEJANDRIA
CCB90,41206,COLOMBIA
CCB93,41206,COLOMBIA
CCB103,41206,COLOMBIA
CCB147,41206,COLOMBIA
CCB149,41206,COLOMBIA
CCB180,17867,VICTORIA
CCB184,41206,COLOMBIA
CCB188,15759,SOGAMOSO
CCB210,41206,COLOMBIA
CCB211,41206,COLOMBIA
CCB213,73547,PIEDRAS
GLD23567,41206,COLOMBIA
GLD23143,41206,COLOMBIA
GLD12634,41206,COLOMBIA
GLD12635,41206,COLOMBIA
GLD12234,41206,COLOMBIA
GLD3565,5858,VEGACHI
GLD3375,5021,ALEJANDRIA
