cohorte,n_municipios,att,se,ic_inf,ic_sup,significativo
2002,3,79.14514177093858,132.088258433885,-226.1585038391335,384.4487873810107,FALSE
2007,1,-13.024588469257827,9.142969475149698,-34.157291296602615,8.10811435808696,FALSE
2008,2,27.846997701851805,5.232977729412529,15.751697202559937,39.94229820114367,TRUE
2009,1,56.73404544560302,1.8946937868569025,52.35472416980844,61.113366721397604,TRUE
2010,5,-21.788497943809862,61.558259952065555,-164.07185759750067,120.49486170988095,FALSE
2011,4,15.505935104214014,29.001898861733448,-51.52792208403686,82.5397922924649,FALSE
2012,3,131.5348012195031,120.02646554083451,-145.88968702636464,408.95928946537083,FALSE
2013,7,-631.5995018504668,309.82148255344117,-1347.7087853961236,84.50978169518999,FALSE
2014,11,60.84339036262963,80.58119548392052,-125.40884008200811,247.09562080726738,FALSE
2015,7,30.06130424405043,54.8149472222757,-96.6358255334691,156.75843402156997,FALSE
2016,7,165.26787290284295,154.6235988873604,-192.1230791573625,522.6588249630483,FALSE
2017,12,-263.1328693345376,209.38371290071967,-747.0942118331179,220.8284731640427,FALSE
2018,9,-110.78280671035218,922.3628554449451,-2242.6963142505338,2021.1307008298293,FALSE
2019,6,124.51605301152055,365.80852670847423,-720.9994994192648,970.0316054423058,FALSE
2020,2,-2.7783736125716954,8.7647242589671,-23.036815208794877,17.480067983651487,FALSE
2021,4,26.59781072411881,79.0122833032013,-156.0280973350559,209.2237187832935,FALSE
2022,8,3.5129357005166546,94.24311882656059,-214.31693118211766,221.34280258315098,FALSE
2023,3,-0.08073291725230103,4.248743202974666,-9.901112143301788,9.739646308797184,FALSE
2024,1,-206.09558153755313,12.486505397527983,-234.95640280959125,-177.234760265515,TRUE
