COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
08758,SOLEDAD,ATLÁNTICO,1,0.005480693865169512,FALSE,TRUE
68176,CHIMA,SANTANDER,1,0.008774847282574594,FALSE,TRUE
25845,UNE,CUNDINAMARCA,1,0.010561422728975834,FALSE,FALSE
23672,SAN ANTERO,CÓRDOBA,1,0.012986166684019772,FALSE,FALSE
25754,SOACHA,CUNDINAMARCA,1,0.0174789563387155,FALSE,FALSE
15236,CHIVOR,BOYACÁ,1,0.02204147800083483,FALSE,FALSE
05792,TARSO,ANTIOQUIA,1,0.022560296812422758,FALSE,FALSE
25793,TAUSA,CUNDINAMARCA,1,0.029856420145944786,FALSE,FALSE
05212,COPACABANA,ANTIOQUIA,1,0.03079557926838523,FALSE,FALSE
19392,LA SIERRA,CAUCA,1,0.03782403795345223,FALSE,FALSE
44430,MAICAO,LA GUAJIRA,1,0.0398024476473597,FALSE,FALSE
50124,CABUYARO,META,1,0.044267179057152925,FALSE,FALSE
08001,BARRANQUILLA,ATLÁNTICO,1,0.044712826337326234,FALSE,FALSE
47189,CIÉNAGA,MAGDALENA,1,0.05209618679409298,FALSE,FALSE
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,1,0.05309189226019045,FALSE,FALSE
05642,SALGAR,ANTIOQUIA,1,0.05614135954824826,FALSE,FALSE
05364,JARDÍN,ANTIOQUIA,1,0.06119510523621639,FALSE,FALSE
99624,SANTA ROSALÍA,VICHADA,1,0.06450625501965658,FALSE,FALSE
05679,SANTA BÁRBARA,ANTIOQUIA,1,0.06856154259876433,FALSE,FALSE
05079,BARBOSA,ANTIOQUIA,1,0.07647744795862604,FALSE,FALSE
41668,SAN AGUSTÍN,HUILA,1,0.07753792151615556,FALSE,FALSE
68464,MOGOTES,SANTANDER,1,0.07782922958770822,FALSE,FALSE
68770,SUAITA,SANTANDER,1,0.08049379250962034,FALSE,FALSE
05615,RIONEGRO,ANTIOQUIA,1,0.08663639031177325,FALSE,FALSE
05440,MARINILLA,ANTIOQUIA,1,0.08972273124541527,FALSE,FALSE
20570,PUEBLO BELLO,CESAR,1,0.08983844868335857,FALSE,FALSE
68500,OIBA,SANTANDER,1,0.09476781615278808,FALSE,FALSE
