COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
08758,SOLEDAD,ATLÁNTICO,1,0.004594514503086512,FALSE,TRUE
68176,CHIMA,SANTANDER,1,0.011146536916617893,FALSE,FALSE
23672,SAN ANTERO,CÓRDOBA,1,0.01681433212304987,FALSE,FALSE
15759,SOGAMOSO,BOYACÁ,1,0.019432777917461175,FALSE,FALSE
25845,UNE,CUNDINAMARCA,1,0.019442143918367003,FALSE,FALSE
25754,SOACHA,CUNDINAMARCA,1,0.02772535587046135,FALSE,FALSE
15236,CHIVOR,BOYACÁ,1,0.029194150498296132,FALSE,FALSE
05792,TARSO,ANTIOQUIA,1,0.031064541079338072,FALSE,FALSE
08001,BARRANQUILLA,ATLÁNTICO,1,0.03297861812562715,FALSE,FALSE
05212,COPACABANA,ANTIOQUIA,1,0.03717885390323192,FALSE,FALSE
25793,TAUSA,CUNDINAMARCA,1,0.043962562614461714,FALSE,FALSE
20383,LA GLORIA,CESAR,1,0.04664128572981389,FALSE,FALSE
50124,CABUYARO,META,1,0.05113570765808438,FALSE,FALSE
19392,LA SIERRA,CAUCA,1,0.0530817201644595,FALSE,FALSE
44430,MAICAO,LA GUAJIRA,1,0.05449513664177163,FALSE,FALSE
41378,LA ARGENTINA,HUILA,1,0.05462141604548742,FALSE,FALSE
73043,ANZOÁTEGUI,TOLIMA,1,0.066494869179412,FALSE,FALSE
20250,EL PASO,CESAR,1,0.0683644650114602,FALSE,FALSE
99624,SANTA ROSALÍA,VICHADA,1,0.06926811544493654,FALSE,FALSE
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,1,0.07207153918463631,FALSE,FALSE
17174,CHINCHINÁ,CALDAS,1,0.072941706599794,FALSE,FALSE
54518,PAMPLONA,NORTE DE SANTANDER,1,0.07490723059460294,FALSE,FALSE
47189,CIÉNAGA,MAGDALENA,1,0.07655720167317295,FALSE,FALSE
05679,SANTA BÁRBARA,ANTIOQUIA,1,0.07938410534123855,FALSE,FALSE
05364,JARDÍN,ANTIOQUIA,1,0.08072814372893239,FALSE,FALSE
05642,SALGAR,ANTIOQUIA,1,0.08087589082912637,FALSE,FALSE
05440,MARINILLA,ANTIOQUIA,1,0.08921797310556646,FALSE,FALSE
05079,BARBOSA,ANTIOQUIA,1,0.09137018043405673,FALSE,FALSE
47551,PIVIJAY,MAGDALENA,1,0.09430366797348995,FALSE,FALSE
05615,RIONEGRO,ANTIOQUIA,1,0.10017338451243671,FALSE,FALSE
19585,PURACÉ,CAUCA,1,0.10078466789409823,FALSE,FALSE
85139,MANÍ,CASANARE,1,0.10188657045920975,FALSE,FALSE
05021,ALEJANDRÍA,ANTIOQUIA,1,0.10222990524985677,FALSE,FALSE
68464,MOGOTES,SANTANDER,1,0.10251013392849741,FALSE,FALSE
68770,SUAITA,SANTANDER,1,0.1034327939624577,FALSE,FALSE
73168,CHAPARRAL,TOLIMA,1,0.10590434390633122,FALSE,FALSE
05002,ABEJORRAL,ANTIOQUIA,1,0.11270914783081845,FALSE,FALSE
68500,OIBA,SANTANDER,1,0.11508092577564184,FALSE,FALSE
50689,SAN MARTÍN,META,1,0.11620223477239808,FALSE,FALSE
50573,PUERTO LÓPEZ,META,1,0.11707884618560616,FALSE,FALSE
99001,PUERTO CARREÑO,VICHADA,1,0.12416388830895293,FALSE,FALSE
41668,SAN AGUSTÍN,HUILA,1,0.13072897905557473,FALSE,FALSE
20570,PUEBLO BELLO,CESAR,1,0.13215358263361582,FALSE,FALSE
05034,ANDES,ANTIOQUIA,1,0.14515631359313277,FALSE,FALSE
05197,COCORNÁ,ANTIOQUIA,1,0.1551263982786971,FALSE,FALSE
99524,LA PRIMAVERA,VICHADA,1,0.15785801465437457,FALSE,FALSE
52490,OLAYA HERRERA,NARIÑO,1,0.16078561713881065,FALSE,FALSE
05237,DONMATÍAS,ANTIOQUIA,1,0.16151333232960594,FALSE,FALSE
50590,PUERTO RICO,META,1,0.16286639436077144,FALSE,FALSE
66682,SANTA ROSA DE CABAL,RISARALDA,1,0.16297433758437332,FALSE,FALSE
17541,PENSILVANIA,CALDAS,1,0.1707000867894835,FALSE,FALSE
05107,BRICEÑO,ANTIOQUIA,1,0.1742043928278184,FALSE,FALSE
27495,NUQUÍ,CHOCÓ,1,0.17613205057721754,FALSE,FALSE
91669,PUERTO SANTANDER,AMAZONAS,1,0.17800515589484758,FALSE,FALSE
05858,VEGACHÍ,ANTIOQUIA,1,0.18238457666289193,FALSE,FALSE
27205,CONDOTO,CHOCÓ,1,0.18442593891657805,FALSE,FALSE
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,1,0.19187253223040016,FALSE,FALSE
99773,CUMARIBO,VICHADA,1,0.1968367561909154,FALSE,FALSE
05579,PUERTO BERRÍO,ANTIOQUIA,1,0.19989789343851264,FALSE,FALSE
05690,SANTO DOMINGO,ANTIOQUIA,1,0.21199447938209942,FALSE,FALSE
05670,SAN ROQUE,ANTIOQUIA,1,0.21735888421005092,FALSE,FALSE
27800,UNGUÍA,CHOCÓ,1,0.21817833332712785,FALSE,FALSE
68081,BARRANCABERMEJA,SANTANDER,1,0.2236485341546667,FALSE,FALSE
05893,YONDÓ,ANTIOQUIA,1,0.22454481660723827,FALSE,FALSE
05310,GÓMEZ PLATA,ANTIOQUIA,1,0.23579090397484603,FALSE,FALSE
52835,SAN ANDRÉS DE TUMACO,NARIÑO,1,0.2435747236194606,FALSE,FALSE
05134,CAMPAMENTO,ANTIOQUIA,1,0.24697882567051957,FALSE,FALSE
27050,ATRATO,CHOCÓ,1,0.26328805338686995,FALSE,FALSE
68745,SIMACOTA,SANTANDER,1,0.26357758197725156,FALSE,FALSE
27615,RIOSUCIO,CHOCÓ,1,0.2653756476500157,FALSE,FALSE
05120,CÁCERES,ANTIOQUIA,1,0.2670965911974352,FALSE,FALSE
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1,0.2709500690700815,FALSE,FALSE
68190,CIMITARRA,SANTANDER,1,0.2742400920726045,FALSE,FALSE
97161,CARURÚ,VAUPÉS,1,0.277313470667349,FALSE,FALSE
05686,SANTA ROSA DE OSOS,ANTIOQUIA,1,0.27889492915886366,FALSE,FALSE
05837,TURBO,ANTIOQUIA,1,0.2917822902485152,FALSE,FALSE
91405,LA CHORRERA,AMAZONAS,1,0.3099035830806492,FALSE,FALSE
52001,PASTO,NARIÑO,1,0.3159764757858651,FALSE,FALSE
94888,MORICHAL,GUAINÍA,1,0.3168729067778338,FALSE,FALSE
05031,AMALFI,ANTIOQUIA,1,0.34165917953689495,FALSE,FALSE
27600,RÍO QUITO,CHOCÓ,1,0.374569477770305,FALSE,FALSE
19318,GUAPI,CAUCA,1,0.3809029095829567,FALSE,FALSE
27006,ACANDÍ,CHOCÓ,1,0.38602255626122783,FALSE,FALSE
27025,ALTO BAUDÓ,CHOCÓ,1,0.4074082290217055,FALSE,FALSE
05480,MUTATÁ,ANTIOQUIA,1,0.41255525486412636,FALSE,FALSE
97511,PACOA,VAUPÉS,1,0.42657816656823333,FALSE,FALSE
27001,QUIBDÓ,CHOCÓ,1,0.4288865949042268,FALSE,FALSE
05756,SONSÓN,ANTIOQUIA,1,0.4341250852869048,FALSE,FALSE
18756,SOLANO,CAQUETÁ,1,0.47955154358873214,FALSE,FALSE
27077,BAJO BAUDÓ,CHOCÓ,1,0.5199033303468221,FALSE,FALSE
27430,MEDIO BAUDÓ,CHOCÓ,1,0.5209260242532789,FALSE,FALSE
27150,CARMEN DEL DARIÉN,CHOCÓ,1,0.5218198047186872,FALSE,FALSE
94001,INÍRIDA,GUAINÍA,1,0.5383925873219538,FALSE,FALSE
97001,MITÚ,VAUPÉS,1,0.5438354985033843,FALSE,FALSE
27361,ISTMINA,CHOCÓ,1,0.6210340480560769,FALSE,FALSE
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1,0.6411183047782734,FALSE,FALSE
19418,LÓPEZ DE MICAY,CAUCA,1,0.7111239790722933,FALSE,FALSE
76109,BUENAVENTURA,VALLE DEL CAUCA,1,0.7337550893500833,FALSE,FALSE
05001,MEDELLÍN,ANTIOQUIA,1,0.8222882062386928,TRUE,FALSE
13188,CICUCO,BOLÍVAR,0,0.0029229683485023604,TRUE,TRUE
08634,SABANAGRANDE,ATLÁNTICO,0,0.0033356143096345096,TRUE,TRUE
70717,SAN PEDRO,SUCRE,0,0.00364504916817707,TRUE,TRUE
23300,COTORRA,CÓRDOBA,0,0.0037450517725594224,TRUE,TRUE
73275,FLANDES,TOLIMA,0,0.003989903662297346,TRUE,TRUE
15638,SÁCHICA,BOYACÁ,0,0.004268732315770333,TRUE,TRUE
08137,CAMPO DE LA CRUZ,ATLÁNTICO,0,0.0044322615898460295,TRUE,TRUE
68370,JORDÁN,SANTANDER,0,0.00445303516283652,TRUE,TRUE
68872,VILLANUEVA,SANTANDER,0,0.004901422361516774,FALSE,TRUE
08558,POLONUEVO,ATLÁNTICO,0,0.0049097968492823035,FALSE,TRUE
19513,PADILLA,CAUCA,0,0.005249198726949458,FALSE,TRUE
15762,SORA,BOYACÁ,0,0.005348888678158342,FALSE,TRUE
05390,LA PINTADA,ANTIOQUIA,0,0.005547514841788152,FALSE,TRUE
15362,IZA,BOYACÁ,0,0.005635576680603071,FALSE,TRUE
70702,SAN JUAN DE BETULIA,SUCRE,0,0.005684773173046784,FALSE,TRUE
15224,CUCAITA,BOYACÁ,0,0.005702242899403792,FALSE,TRUE
08770,SUAN,ATLÁNTICO,0,0.0061001053811770446,FALSE,TRUE
08560,PONEDERA,ATLÁNTICO,0,0.006158253912650233,FALSE,TRUE
19845,VILLA RICA,CAUCA,0,0.006180081752722259,FALSE,TRUE
19573,PUERTO TEJADA,CAUCA,0,0.006540153336416018,FALSE,TRUE
70418,LOS PALMITOS,SUCRE,0,0.006599256849793475,FALSE,TRUE
54553,PUERTO SANTANDER,NORTE DE SANTANDER,0,0.006614193858284562,FALSE,TRUE
08675,SANTA LUCÍA,ATLÁNTICO,0,0.0067865073507610806,FALSE,TRUE
23464,MOMIL,CÓRDOBA,0,0.007219746978273791,FALSE,TRUE
25807,TIBIRITA,CUNDINAMARCA,0,0.007224699658865283,FALSE,TRUE
15114,BUSBANZÁ,BOYACÁ,0,0.00725377573218373,FALSE,TRUE
13780,TALAIGUA NUEVO,BOLÍVAR,0,0.007306557198256158,FALSE,TRUE
15187,CHIVATÁ,BOYACÁ,0,0.0073106605888730155,FALSE,TRUE
68147,CAPITANEJO,SANTANDER,0,0.007400400551685055,FALSE,TRUE
15476,MOTAVITA,BOYACÁ,0,0.007453645361301573,FALSE,TRUE
08520,PALMAR DE VARELA,ATLÁNTICO,0,0.007518499465210853,FALSE,TRUE
15723,SATIVASUR,BOYACÁ,0,0.007537659855268145,FALSE,TRUE
23815,TUCHÍN,CÓRDOBA,0,0.007613861079163658,FALSE,TRUE
25224,CUCUNUBÁ,CUNDINAMARCA,0,0.00774081368817308,FALSE,TRUE
23162,CERETÉ,CÓRDOBA,0,0.0077859802982748255,FALSE,TRUE
15380,LA CAPILLA,BOYACÁ,0,0.0077986858614560095,FALSE,TRUE
25126,CAJICÁ,CUNDINAMARCA,0,0.007822186820427937,FALSE,TRUE
13760,SOPLAVIENTO,BOLÍVAR,0,0.007865179990426989,FALSE,TRUE
08685,SANTO TOMÁS,ATLÁNTICO,0,0.00800928397557518,FALSE,TRUE
15104,BOYACÁ,BOYACÁ,0,0.008105016234366458,FALSE,TRUE
19300,GUACHENÉ,CAUCA,0,0.00810574526649276,FALSE,TRUE
23670,SAN ANDRÉS DE SOTAVENTO,CÓRDOBA,0,0.008118552200052729,FALSE,TRUE
08433,MALAMBO,ATLÁNTICO,0,0.00818571535506462,FALSE,TRUE
25612,RICAURTE,CUNDINAMARCA,0,0.008260206184230134,FALSE,TRUE
54405,LOS PATIOS,NORTE DE SANTANDER,0,0.008331632077885853,FALSE,TRUE
25797,TENA,CUNDINAMARCA,0,0.008389625382845524,FALSE,TRUE
88564,PROVIDENCIA,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",0,0.008452673847690152,FALSE,TRUE
47205,CONCORDIA,MAGDALENA,0,0.008471234765682704,FALSE,TRUE
52036,ANCUYA,NARIÑO,0,0.008671049809952907,FALSE,TRUE
23168,CHIMÁ,CÓRDOBA,0,0.008798972460013328,FALSE,TRUE
70670,SAMPUÉS,SUCRE,0,0.008800200252935786,FALSE,TRUE
23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,0,0.00889935180631646,FALSE,TRUE
68684,SAN JOSÉ DE MIRANDA,SANTANDER,0,0.009106199754871338,FALSE,TRUE
54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,0,0.00912285000826082,FALSE,TRUE
15522,PANQUEBA,BOYACÁ,0,0.009147773866547275,FALSE,TRUE
13620,SAN CRISTÓBAL,BOLÍVAR,0,0.009217546578396244,FALSE,TRUE
73268,ESPINAL,TOLIMA,0,0.009220729274518806,FALSE,TRUE
70221,COVEÑAS,SUCRE,0,0.00922801475040755,FALSE,TRUE
15810,TIPACOQUE,BOYACÁ,0,0.009487387432511728,FALSE,TRUE
15215,CORRALES,BOYACÁ,0,0.009497113753755237,FALSE,TRUE
47161,CERRO DE SAN ANTONIO,MAGDALENA,0,0.009498939581640282,FALSE,TRUE
52254,EL PEÑOL,NARIÑO,0,0.009683924736430245,FALSE,TRUE
44560,MANAURE,LA GUAJIRA,0,0.009835033547582191,FALSE,TRUE
05501,OLAYA,ANTIOQUIA,0,0.009985877517249287,FALSE,TRUE
25260,EL ROSAL,CUNDINAMARCA,0,0.010177007728050998,FALSE,FALSE
68160,CEPITÁ,SANTANDER,0,0.010340178602870792,FALSE,FALSE
25175,CHÍA,CUNDINAMARCA,0,0.010428828315281,FALSE,FALSE
15500,OICATÁ,BOYACÁ,0,0.010476994012758712,FALSE,FALSE
15097,BOAVITA,BOYACÁ,0,0.010612542408907025,FALSE,FALSE
25785,TABIO,CUNDINAMARCA,0,0.010641284154723514,FALSE,FALSE
25781,SUTATAUSA,CUNDINAMARCA,0,0.010803962845056629,FALSE,FALSE
15776,SUTAMARCHÁN,BOYACÁ,0,0.010822468474592804,FALSE,FALSE
15367,JENESANO,BOYACÁ,0,0.010869421451845114,FALSE,FALSE
