COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
08758,SOLEDAD,ATLÁNTICO,1,0.005044247725107859,FALSE,TRUE
68176,CHIMA,SANTANDER,1,0.012156566183728465,FALSE,FALSE
25845,UNE,CUNDINAMARCA,1,0.016533296509104865,FALSE,FALSE
23672,SAN ANTERO,CÓRDOBA,1,0.01678384392396368,FALSE,FALSE
15759,SOGAMOSO,BOYACÁ,1,0.018019302382310136,FALSE,FALSE
25754,SOACHA,CUNDINAMARCA,1,0.023986348452541585,FALSE,FALSE
15236,CHIVOR,BOYACÁ,1,0.028826385302211713,FALSE,FALSE
05792,TARSO,ANTIOQUIA,1,0.029150351663047795,FALSE,FALSE
05212,COPACABANA,ANTIOQUIA,1,0.035466093825050976,FALSE,FALSE
08001,BARRANQUILLA,ATLÁNTICO,1,0.03701099545033809,FALSE,FALSE
25793,TAUSA,CUNDINAMARCA,1,0.039112924815574324,FALSE,FALSE
20383,LA GLORIA,CESAR,1,0.04542418540792024,FALSE,FALSE
50124,CABUYARO,META,1,0.04750241360726219,FALSE,FALSE
41378,LA ARGENTINA,HUILA,1,0.048973274083008944,FALSE,FALSE
19392,LA SIERRA,CAUCA,1,0.04994304342612155,FALSE,FALSE
44430,MAICAO,LA GUAJIRA,1,0.05276024826313077,FALSE,FALSE
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,1,0.06724982533195226,FALSE,FALSE
99624,SANTA ROSALÍA,VICHADA,1,0.06901021945313848,FALSE,FALSE
20250,EL PASO,CESAR,1,0.07084502657884367,FALSE,FALSE
05642,SALGAR,ANTIOQUIA,1,0.07254321324409513,FALSE,FALSE
54518,PAMPLONA,NORTE DE SANTANDER,1,0.07460108172758015,FALSE,FALSE
47189,CIÉNAGA,MAGDALENA,1,0.07612731230448251,FALSE,FALSE
05679,SANTA BÁRBARA,ANTIOQUIA,1,0.07684559389374587,FALSE,FALSE
05364,JARDÍN,ANTIOQUIA,1,0.07714041915883878,FALSE,FALSE
