bloque,especificacion,n_tratados,media_pre_tratados,att_rel_pct,att_simple,ee_simple,ic_inf,ic_sup,att_balanceado,ee_balanceado
A. binario,D1 depurada - DR con covariables (PRINCIPAL),37,983.4186170508743,-43.21565412223132,-424.9907881183364,263.82073883118005,-942.0794362274494,92.0978599907765,-464.89237963582605,300.7216905619694
A. binario,D1 depurada - sin covariables,37,983.4186170508743,-17.984889864670457,-176.86675518526505,298.2468469075203,-761.4305751240049,407.69706475347476,-239.8511300093288,314.67090070889486
A. binario,D1 original - DR con covariables,42,1004.2790279111645,-38.695243714966786,-388.60821742852437,208.42943742054788,-797.1299147727982,19.913479915749463,-418.5050101730925,256.64640521597056
B. terciles,Tercil bajo - sin covariables,9,2191.0305077928606,-27.66718411231296,-606.1964445479963,652.528542085924,-1885.1523870364072,672.7594979404147,-959.1192637465051,834.6658378798171
B. terciles,Tercil bajo - DR,9,2191.0305077928606,-41.08560504506214,-900.198140848594,633.6687958601889,-2142.188980734564,341.7926990373762,-1039.8849589113402,624.7359944681775
B. terciles,Tercil medio - sin covariables,9,522.379640837104,7.632825239131218,39.872325069897485,112.10509173018811,-179.8536547212712,259.5983048610662,27.01910531220875,97.11146373003672
B. terciles,Tercil medio - DR,9,522.379640837104,-7.316014824944349,-38.21737196613358,122.82107301169334,-278.9466750690525,202.51193113678536,-85.76761926807941,150.35212076616034
B. terciles,Tercil alto - sin covariables,7,113.84575039246468,-33.39510183091409,-38.01890427373186,56.01614343945752,-147.8105454150686,71.77273686760488,-22.151433231260814,44.67584039850485
B. terciles,Tercil alto - DR,7,113.84575039246468,-0.9311149822644204,-1.0600348385755938,17.42014512852499,-35.20351929048458,33.083449613333386,6.116898006939302,38.082416505737505
C. puente,"Puente: binario sin covariables, muestra de contdid",21,1178.501565530058,-23.89257688920852,-281.57439268479527,354.828309234944,-977.0378787852856,413.889093415695,-402.6221801358008,398.4946868515937
C. puente,"Puente relativo: binario sin covariables, outcome / base 2001-2012",21,1.2054497319216,2.7485936092689283,0.033132914294546525,0.1798514702094036,-0.3193759673158845,0.38564179590497755,0.028790968468917103,0.2035475385310524
