e,att,ee,ic_inf,ic_sup
-5,-522.9801394228209,397.4182686301588,-1301.9199459379322,255.95966709229037
-4,-171.79283051372218,383.0530813810686,-922.5768700206165,578.9912089931722
-3,-178.173152209885,452.29152303924667,-1064.6645373668084,708.3182329470385
-2,-230.81855172894853,357.79655489185814,-932.0997993169904,470.46269585909334
-1,0,NA,NA,NA
0,27.746184633885846,235.4794647711972,-433.7935663176607,489.28593558543236
1,-482.18527999521035,396.45131373949727,-1259.229854924625,294.85929493420423
2,-152.98618624598632,242.44413415272845,-628.1766891853341,322.2043166933614
3,-467.23089688801394,294.97379263791373,-1045.379530458325,110.917736682297
4,-749.3842294155063,393.15398229209444,-1519.9660347080114,21.197575876998826
5,-965.3138699041253,537.7466077848104,-2019.2972211623537,88.66948135410303
