estimador,e,att,se,ic_inf,ic_sup
Callaway-Sant'Anna (DR),-5,-522.9801394239684,397.41826863046657,-1301.9199459396827,255.95966709174616
Callaway-Sant'Anna (DR),-4,-171.79283051436934,383.0530813778964,-922.5768700150462,578.9912089863075
Callaway-Sant'Anna (DR),-3,-178.17315221115336,452.2915230432316,-1064.6645373758874,708.3182329535806
Callaway-Sant'Anna (DR),-2,-230.81855172989265,357.79655488990454,-932.0997993141056,470.46269585432026
Callaway-Sant'Anna (DR),-1,0,NA,NA,NA
Callaway-Sant'Anna (DR),0,27.746184634553355,235.47946477038792,-433.79356631540696,489.28593558451365
Callaway-Sant'Anna (DR),1,-482.18527999553953,396.4513137397984,-1259.2298549255443,294.8592949344653
Callaway-Sant'Anna (DR),2,-152.98618624791004,242.44413415435048,-628.176689190437,322.20431669461686
Callaway-Sant'Anna (DR),3,-467.2308968882765,294.97379263787934,-1045.37953045852,110.91773668196703
Callaway-Sant'Anna (DR),4,-749.3842294153421,393.15398229249433,-1519.966034708631,21.197575877946747
Callaway-Sant'Anna (DR),5,-965.3138699047662,537.7466077832192,-2019.2972211598758,88.66948135034352
Sun-Abraham,-5,-544.1431000744394,309.2465865776077,-1150.2664097665504,61.98020961767156
Sun-Abraham,-4,-411.1112006279049,269.8291916369668,-939.9764162363599,117.75401498055004
Sun-Abraham,-3,-436.7369778912718,395.74379174228056,-1212.3948097061416,338.92085392359803
Sun-Abraham,-2,-318.8479733178975,323.94615095239726,-953.7824291845961,316.0864825488011
Sun-Abraham,-1,0,0,0,0
Sun-Abraham,0,67.78015408955676,111.93497153877954,-151.61239012645112,287.1726983055646
Sun-Abraham,1,-323.807638664291,268.36330859146096,-849.7997235035546,202.1844461749725
Sun-Abraham,2,-162.40574655226487,178.2071776909742,-511.6918148265743,186.88032172204453
Sun-Abraham,3,-386.7323966256207,228.92563060478804,-835.4266326110053,61.961839359763815
Sun-Abraham,4,-444.6581157697368,251.82636509807344,-938.2377913619607,48.9215598224871
Sun-Abraham,5,-699.5943171461856,411.5977728364265,-1506.3259519055814,107.13731761321026
Wooldridge (ETWFE),-5,-530.1030078055785,98.68217494887878,-723.5200707053809,-336.68594490577607
Wooldridge (ETWFE),-4,-398.52813053379595,77.33140569749735,-550.0976857008907,-246.95857536670115
Wooldridge (ETWFE),-3,-438.8264792337051,205.0281249609423,-840.6816041571519,-36.971354310258164
Wooldridge (ETWFE),-2,-339.66369678347996,17.470331919642295,-373.90554734597885,-305.4218462209811
Wooldridge (ETWFE),-1,0,NA,NA,NA
Wooldridge (ETWFE),0,84.5294700359226,63.722568939206234,-40.36676508492161,209.4257051567668
Wooldridge (ETWFE),1,-331.41596818223456,63.60302944969345,-456.07790590363373,-206.7540304608354
Wooldridge (ETWFE),2,-190.4920498319017,58.04848551031867,-304.2670814321263,-76.71701823167712
Wooldridge (ETWFE),3,-437.18276437036485,51.19291497902036,-537.5208777292447,-336.844651011485
Wooldridge (ETWFE),4,-466.6941763032209,70.02116097586604,-603.9356518159184,-329.45270079052347
Wooldridge (ETWFE),5,-707.7413958676316,62.567828633285416,-830.374339988871,-585.1084517463921
"Wooldridge, base = todo el previo",0,620.0380036149548,73.12190177638657,476.7190761332372,763.3569310966725
"Wooldridge, base = todo el previo",1,203.60624148396352,69.11946939677718,68.13208146628025,339.08040150164675
"Wooldridge, base = todo el previo",2,381.8387686675794,77.95852321613988,229.04006316394526,534.6374741712136
"Wooldridge, base = todo el previo",3,120.72646379973611,78.23856892086981,-32.6211312851687,274.0740588846409
"Wooldridge, base = todo el previo",4,66.11985262951613,70.74114064773632,-72.53278304004705,204.77248829907933
"Wooldridge, base = todo el previo",5,-133.83705454166116,84.06885596526988,-298.6120122335901,30.9379031502678
