e,att,se,ic_inf,ic_sup,estimador
-5,-544.1431000744456,302.5067806765372,-1142.858399366275,-8.792672717518485,SA
-4,-411.11120062791,264.27153406285044,-946.9791883439723,23.96778888250352,SA
-3,-436.7369778912764,411.2364350978427,-1280.8108046779003,353.6545524573463,SA
-2,-318.8479733179033,336.73528490291193,-1001.5037802438434,329.6080477210545,SA
0,67.78015408955464,113.17882454726362,-147.16351135352096,286.9567747668408,SA
1,-323.8076386642939,262.78397228236935,-875.1094060705697,161.96359847533972,SA
2,-162.4057465522692,169.93818617385026,-474.1876143720984,176.9413138312148,SA
3,-386.7323966256222,221.80503091898018,-858.9668949786774,6.549430385555651,SA
4,-444.6581157697398,247.7722957863631,-955.3959785508998,11.544887868751754,SA
5,-699.5943171461885,408.9029637040359,-1524.0344206126013,72.76698701422032,SA
0,594.9326087293075,358.5747240822967,-49.79224944329223,1318.2617502116477,WNY
1,190.93470761412786,183.3308258556195,-171.0969294373349,538.1196923511243,WNY
2,369.0500130238297,250.87480420375513,-96.82681718390583,886.4169706052546,WNY
3,141.08610325178472,168.57937990150822,-185.7890524430833,463.5836397142773,WNY
4,96.7848698604524,134.2847109967814,-175.09753218006338,362.50999288131106,WNY
5,-126.68522172303152,174.43684092131505,-505.4437648410071,148.92869545829717,WNY
