COD_DANE,peso_psm,subclase
05001,0.9333333333333333,34
05002,0.3783783783783784,12
05004,0.2295081967213115,30
05021,0.3783783783783784,12
05030,0.15730337078651685,6
05031,1.1666666666666665,33
05034,1,1
05036,0.16470588235294117,11
05038,1.1666666666666665,1
05040,2.8000000000000003,38
05042,0.2545454545454545,31
05044,0.08187134502923976,52
05045,3.5,51
05051,0.2295081967213115,30
05055,0.2295081967213115,30
05079,1,12
05086,0.08187134502923976,52
05088,0.08187134502923976,52
05091,0.8235294117647058,27
05093,0.08187134502923976,52
05101,0.8235294117647058,27
05107,1.1666666666666665,1
05113,0.08187134502923976,52
05125,0.2545454545454545,31
05129,0.08187134502923976,52
05134,1,21
05138,0.8235294117647058,27
05142,0.8235294117647058,27
05145,0.16470588235294117,11
05147,1.1666666666666665,1
05148,0.2295081967213115,30
05150,0.6666666666666666,39
05154,1.1666666666666665,33
05172,0.9333333333333333,34
05190,0.15730337078651685,6
05197,1.1666666666666665,21
05206,1.076923076923077,37
05209,0.08187134502923976,52
05212,0.16470588235294117,11
05234,14,26
05237,0.3783783783783784,12
05240,0.08187134502923976,52
05250,1.272727272727273,2
05264,0.08187134502923976,52
05266,0.08187134502923976,52
05282,0.08187134502923976,52
05284,1,35
05306,0.16470588235294117,11
05308,0.15730337078651685,6
05310,1.75,28
05313,0.3783783783783784,12
05315,0.5185185185185185,49
05318,0.16470588235294117,11
05321,0.08187134502923976,52
05347,0.15730337078651685,6
05353,0.16470588235294117,11
05361,1.272727272727273,2
05364,1,31
05368,0.16470588235294117,11
05376,0.2545454545454545,31
05400,0.08187134502923976,52
05411,0.08187134502923976,52
05425,1.1666666666666665,1
05440,0.08187134502923976,52
05467,0.16470588235294117,11
05475,14,36
05480,1,42
05483,0.3783783783783784,12
05490,1,35
05495,1.1666666666666665,33
05541,0.2545454545454545,31
05543,0.2545454545454545,31
05576,0.16470588235294117,11
05579,1,50
05585,1.1666666666666665,21
05591,0.2295081967213115,30
05604,4.666666666666666,42
05607,0.3783783783783784,12
05615,0.08187134502923976,52
05628,0.2545454545454545,31
05642,0.5185185185185185,49
05647,0.5185185185185185,49
05649,1.4000000000000001,32
05652,1,35
05656,0.15730337078651685,6
05658,0.15730337078651685,6
05659,0.3783783783783784,12
05660,1.272727272727273,2
05664,0.15730337078651685,6
05665,0.3783783783783784,12
05667,1.75,28
05670,1,51
05674,0.2545454545454545,31
05679,1,52
05686,1.1666666666666665,10
05690,0.8235294117647058,27
05697,0.15730337078651685,6
05736,1.75,24
05756,1,53
05761,0.16470588235294117,11
05789,0.08187134502923976,52
05790,1.4000000000000001,32
05792,0.15730337078651685,6
05809,0.16470588235294117,11
05819,0.08187134502923976,52
05837,1,2
05842,1.076923076923077,37
05847,1.1666666666666665,33
05854,1,35
05856,0.08187134502923976,52
05858,1,3
05861,0.08187134502923976,52
05873,1.5555555555555554,25
05885,1.1666666666666665,21
05887,1.4000000000000001,32
05890,1,35
05893,1,4
05895,1.5555555555555554,25
08001,1,5
08078,0.15730337078651685,6
08296,0.15730337078651685,6
08372,0.16470588235294117,11
08421,0.15730337078651685,6
08433,0.15730337078651685,6
08436,0.45161290322580644,5
08549,0.08187134502923976,52
08573,0.15730337078651685,6
08606,0.15730337078651685,6
08638,0.08187134502923976,52
08832,0.2545454545454545,31
08849,0.45161290322580644,5
11001,0.2295081967213115,30
13001,0.6666666666666666,39
13006,1,35
13030,0.2545454545454545,31
13042,1.1666666666666665,1
13052,0.3783783783783784,12
13062,0.16470588235294117,11
13074,0.2545454545454545,31
13140,0.16470588235294117,11
13160,1.75,3
13212,0.08187134502923976,52
13222,0.16470588235294117,11
13244,1.1666666666666665,10
13248,0.2545454545454545,31
13268,0.2295081967213115,30
13300,0.15730337078651685,6
13430,0.3783783783783784,12
13433,0.08187134502923976,52
13440,0.08187134502923976,52
13442,0.6666666666666666,39
13458,1.75,24
13468,0.15730337078651685,6
13473,0.9333333333333333,34
13490,0.2295081967213115,30
13549,0.5185185185185185,49
13580,0.3783783783783784,12
13600,0.8235294117647058,27
13647,0.08187134502923976,52
13650,0.08187134502923976,52
13654,0.2295081967213115,30
13655,1,35
13657,0.2295081967213115,30
13667,0.2295081967213115,30
13670,1.4000000000000001,32
13673,0.15730337078651685,6
13683,0.15730337078651685,6
13688,1,35
13744,1.75,28
13810,0.9333333333333333,34
13836,0.15730337078651685,6
13838,0.16470588235294117,11
13873,0.08187134502923976,52
13894,1.076923076923077,37
15022,0.45161290322580644,5
15047,0.3783783783783784,12
15090,1.5555555555555554,13
15106,0.08187134502923976,52
15135,0.2545454545454545,31
15180,0.15730337078651685,6
15183,0.08187134502923976,52
15185,0.08187134502923976,52
15212,0.15730337078651685,6
15223,0.9333333333333333,34
15236,1,6
15238,0.16470588235294117,11
15299,0.16470588235294117,11
15325,0.16470588235294117,11
15332,0.16470588235294117,11
15377,0.2295081967213115,30
15425,0.08187134502923976,52
15442,0.08187134502923976,52
15455,0.15730337078651685,6
15464,0.15730337078651685,6
15469,0.08187134502923976,52
15480,0.08187134502923976,52
15507,0.2295081967213115,30
15514,0.6666666666666666,39
15516,0.16470588235294117,11
15518,0.2295081967213115,30
15531,0.3783783783783784,12
15533,0.2295081967213115,30
15542,1.5555555555555554,13
15550,0.2295081967213115,30
15572,0.8235294117647058,27
15580,0.08187134502923976,52
15621,0.15730337078651685,6
15632,0.16470588235294117,11
15660,0.15730337078651685,6
15664,0.16470588235294117,11
15667,0.8235294117647058,27
15681,0.08187134502923976,52
15686,0.08187134502923976,52
15690,0.08187134502923976,52
15755,0.08187134502923976,52
15761,1.5555555555555554,13
15763,0.15730337078651685,6
15816,0.15730337078651685,6
15832,0.16470588235294117,11
15897,0.15730337078651685,6
17001,0.6666666666666666,39
17013,0.08187134502923976,52
17042,0.2545454545454545,31
17050,0.15730337078651685,6
17088,0.08187134502923976,52
17174,0.08187134502923976,52
17272,0.16470588235294117,11
17380,0.6666666666666666,39
17433,0.3783783783783784,12
17444,0.2545454545454545,31
17446,0.08187134502923976,52
17486,0.2545454545454545,31
17495,0.2295081967213115,30
17513,0.08187134502923976,52
17524,0.08187134502923976,52
17541,0.5185185185185185,49
17614,0.2295081967213115,30
17616,0.16470588235294117,11
17653,0.15730337078651685,6
17662,1.75,3
17665,0.15730337078651685,6
17777,0.16470588235294117,11
17867,0.9333333333333333,34
17873,0.08187134502923976,52
17877,0.15730337078651685,6
18001,2.8000000000000003,38
18029,1.1666666666666665,21
18094,1.1666666666666665,33
18150,1,7
18205,1.4000000000000001,47
18247,1.1666666666666665,33
18256,14,41
18410,14,19
18460,2.8000000000000003,38
18479,1.1666666666666665,10
18592,3.5,15
18610,1.272727272727273,2
18753,14,44
18756,1,8
18785,1.75,3
18860,1.4000000000000001,47
19001,0.5185185185185185,49
19022,0.15730337078651685,6
19050,2,48
19075,0.3783783783783784,12
19100,0.2295081967213115,30
19110,0.2295081967213115,30
19130,1.1666666666666665,21
19137,0.2545454545454545,31
19142,0.08187134502923976,52
19212,0.08187134502923976,52
19256,3.5,15
19290,0.15730337078651685,6
19318,1,9
19355,1.076923076923077,37
19364,0.15730337078651685,6
19392,0.08187134502923976,52
19397,0.08187134502923976,52
19450,0.08187134502923976,52
19455,0.45161290322580644,5
19473,0.5185185185185185,49
19517,1.4000000000000001,32
19532,1.1666666666666665,10
19533,1.75,24
19548,0.08187134502923976,52
19585,0.2545454545454545,31
19622,0.16470588235294117,11
19693,0.08187134502923976,52
19698,0.3783783783783784,12
19701,1.1666666666666665,21
19743,0.08187134502923976,52
19760,0.2545454545454545,31
19780,1.75,28
19785,0.08187134502923976,52
19807,0.08187134502923976,52
19809,14,14
19821,0.08187134502923976,52
19824,0.15730337078651685,6
20001,1.75,50
20011,0.2545454545454545,31
20013,1.75,28
20032,0.3783783783783784,12
20045,0.2295081967213115,30
20060,0.08187134502923976,52
20175,1.1666666666666665,21
20178,1.1666666666666665,10
20228,0.2295081967213115,30
20238,0.2295081967213115,30
20250,0.2295081967213115,30
20383,0.3783783783783784,12
20400,0.8235294117647058,27
20443,0.08187134502923976,52
20517,0.3783783783783784,12
20550,0.08187134502923976,52
20570,1,10
20614,0.08187134502923976,52
20621,1.1666666666666665,10
20710,0.2545454545454545,31
20750,0.2295081967213115,30
20770,0.6666666666666666,39
20787,0.6666666666666666,39
23001,0.5185185185185185,49
23068,1.75,3
23079,0.08187134502923976,52
23090,0.08187134502923976,52
23182,0.15730337078651685,6
23189,0.08187134502923976,52
23350,0.08187134502923976,52
23417,0.2545454545454545,31
23419,0.2545454545454545,31
23466,1.75,50
23500,0.08187134502923976,52
23555,0.08187134502923976,52
23570,0.2545454545454545,31
23574,0.08187134502923976,52
23580,1.1666666666666665,33
23660,0.15730337078651685,6
23672,1,11
23675,0.16470588235294117,11
23678,0.6666666666666666,39
23682,1.1666666666666665,1
23686,0.16470588235294117,11
23807,1.5555555555555554,25
23815,0.45161290322580644,5
23855,0.6666666666666666,39
25035,0.16470588235294117,11
25040,0.45161290322580644,5
25053,0.16470588235294117,11
25086,0.08187134502923976,52
25120,0.16470588235294117,11
25148,0.6666666666666666,39
25168,0.08187134502923976,52
25245,0.15730337078651685,6
25258,0.16470588235294117,11
25279,0.16470588235294117,11
25290,0.15730337078651685,6
25293,0.08187134502923976,52
25297,0.16470588235294117,11
25299,0.45161290322580644,5
25307,0.16470588235294117,11
25312,0.15730337078651685,6
25320,0.5185185185185185,49
25322,0.15730337078651685,6
25324,0.16470588235294117,11
25326,0.15730337078651685,6
25335,0.2295081967213115,30
25339,0.08187134502923976,52
25368,0.08187134502923976,52
25372,0.15730337078651685,6
25377,0.45161290322580644,5
25386,0.15730337078651685,6
25394,0.08187134502923976,52
25398,0.16470588235294117,11
25402,0.15730337078651685,6
25438,3.5,51
25483,0.08187134502923976,52
25488,0.08187134502923976,52
25489,1.5555555555555554,13
25491,0.45161290322580644,5
25506,0.08187134502923976,52
25513,0.08187134502923976,52
25518,0.08187134502923976,52
25524,0.15730337078651685,6
25530,1.75,3
25535,0.45161290322580644,5
25572,0.2545454545454545,31
25580,0.08187134502923976,52
25594,0.15730337078651685,6
25599,0.45161290322580644,5
25649,0.15730337078651685,6
25653,0.16470588235294117,11
25658,0.5185185185185185,49
25662,0.08187134502923976,52
25718,0.15730337078651685,6
25743,0.15730337078651685,6
25769,1.5555555555555554,13
25777,0.15730337078651685,6
25793,1,13
25815,0.15730337078651685,6
25823,0.08187134502923976,52
25839,0.2545454545454545,31
25862,0.16470588235294117,11
25867,0.45161290322580644,5
25875,0.16470588235294117,11
25878,0.08187134502923976,52
25885,1.1666666666666665,1
25899,0.45161290322580644,5
27001,1,14
27006,1,15
27025,1,9
27050,42,9
27073,1.5555555555555554,25
27075,1.5555555555555554,25
27099,14,20
27135,1,7
27150,1,16
27160,1,17
27205,1,18
27245,1.1666666666666665,33
27250,14,8
27372,1,19
27413,1,20
27425,14,46
27430,1,22
27450,14,22
27491,1,23
27495,1,24
27580,14,43
27600,1,7
27615,1,25
27660,4.666666666666666,29
27745,1.4000000000000001,32
27787,14,40
27800,1,26
27810,1.5555555555555554,25
41001,0.2295081967213115,30
41006,1.1666666666666665,10
41013,0.16470588235294117,11
41016,0.6666666666666666,39
41020,0.6666666666666666,39
41026,0.15730337078651685,6
41078,0.3783783783783784,12
41132,0.2545454545454545,31
41206,0.2295081967213115,30
41298,0.6666666666666666,39
41306,0.3783783783783784,12
41319,0.2295081967213115,30
41349,0.16470588235294117,11
41357,0.08187134502923976,52
41359,0.2545454545454545,31
41378,0.2545454545454545,31
41396,0.2295081967213115,30
41483,0.16470588235294117,11
41503,0.15730337078651685,6
41518,0.08187134502923976,52
41524,0.5185185185185185,49
41530,0.6666666666666666,39
41548,0.15730337078651685,6
41551,0.8235294117647058,27
41615,0.08187134502923976,52
41660,0.3783783783783784,12
41668,1,27
41676,0.08187134502923976,52
41770,0.5185185185185185,49
41791,0.08187134502923976,52
41797,0.08187134502923976,52
41799,0.2545454545454545,31
41801,0.5185185185185185,49
41807,0.08187134502923976,52
41872,0.45161290322580644,5
41885,0.08187134502923976,52
44001,1.1666666666666665,33
44035,1.4000000000000001,47
44078,0.5185185185185185,49
44090,1,35
44098,0.16470588235294117,11
44110,0.08187134502923976,52
44279,0.08187134502923976,52
44378,0.15730337078651685,6
44420,0.08187134502923976,52
44430,0.3783783783783784,12
44650,0.5185185185185185,49
44855,0.2545454545454545,31
44874,0.08187134502923976,52
47001,1,35
47030,0.08187134502923976,52
47053,1.272727272727273,2
47058,0.08187134502923976,52
47170,0.2545454545454545,31
47189,1,28
47245,0.2295081967213115,30
47258,0.15730337078651685,6
47268,0.5185185185185185,49
47288,0.2295081967213115,30
47318,0.3783783783783784,12
47460,0.16470588235294117,11
47541,0.45161290322580644,5
47545,0.08187134502923976,52
47551,1,29
47555,0.2295081967213115,30
47570,1.076923076923077,37
47605,0.08187134502923976,52
47660,1.1666666666666665,1
47692,0.08187134502923976,52
47703,0.15730337078651685,6
47707,0.08187134502923976,52
47720,0.45161290322580644,5
47745,0.2545454545454545,31
47798,0.08187134502923976,52
47960,0.16470588235294117,11
47980,0.8235294117647058,27
50001,1.75,3
50006,2,48
50110,0.2295081967213115,30
50124,1,30
50150,0.3783783783783784,12
50223,1.1666666666666665,21
50226,1.1666666666666665,21
50245,0.2545454545454545,31
50251,1.75,28
50270,0.2545454545454545,31
50287,0.2295081967213115,30
50313,0.6666666666666666,39
50318,0.08187134502923976,52
50325,1.75,24
50330,1.4000000000000001,32
50350,4.666666666666666,42
50370,2.8000000000000003,38
50400,1.1666666666666665,21
50450,1,35
50568,1.272727272727273,2
50573,1,32
50577,1.272727272727273,2
50590,1,33
50606,0.5185185185185185,49
50680,0.8235294117647058,27
50683,1.75,28
50686,0.08187134502923976,52
50689,1,34
50711,1.272727272727273,2
52001,0.2295081967213115,30
52079,1.5555555555555554,25
52110,0.08187134502923976,52
52207,0.15730337078651685,6
52215,0.16470588235294117,11
52227,0.08187134502923976,52
52233,0.08187134502923976,52
52240,1.5555555555555554,13
52250,1.272727272727273,2
52256,0.08187134502923976,52
52258,0.08187134502923976,52
52260,1.076923076923077,37
52287,0.2545454545454545,31
52356,0.8235294117647058,27
52378,0.15730337078651685,6
52381,0.45161290322580644,5
52385,0.15730337078651685,6
52390,1.1666666666666665,1
52399,0.08187134502923976,52
52405,0.08187134502923976,52
52418,0.3783783783783784,12
52427,1.75,50
52435,0.3783783783783784,12
52473,0.2545454545454545,31
52490,1,35
52520,4.666666666666666,29
52540,0.2545454545454545,31
52560,0.2545454545454545,31
52573,0.08187134502923976,52
52612,0.2295081967213115,30
52621,1.75,50
52678,0.5185185185185185,49
52683,0.45161290322580644,5
52687,0.16470588235294117,11
52693,0.16470588235294117,11
52696,1.1666666666666665,21
52699,0.2545454545454545,31
52788,0.16470588235294117,11
52835,1,36
52838,1.5555555555555554,13
54001,0.9333333333333333,34
54003,0.2295081967213115,30
54051,0.08187134502923976,52
54099,0.15730337078651685,6
54109,0.16470588235294117,11
54125,0.16470588235294117,11
54128,0.6666666666666666,39
54172,0.15730337078651685,6
54174,1.076923076923077,37
54206,1.75,50
54223,0.08187134502923976,52
54239,0.16470588235294117,11
54245,14,16
54250,1.75,50
54261,1.076923076923077,37
54313,0.45161290322580644,5
54344,0.5185185185185185,49
54377,0.16470588235294117,11
54385,0.2295081967213115,30
54398,0.08187134502923976,52
54405,0.15730337078651685,6
54498,0.6666666666666666,39
54518,0.08187134502923976,52
54520,0.45161290322580644,5
54660,0.2545454545454545,31
54670,0.6666666666666666,39
54673,0.16470588235294117,11
54680,0.16470588235294117,11
54720,1.4000000000000001,47
54800,2,48
54810,1.1666666666666665,1
54820,0.9333333333333333,34
54871,0.15730337078651685,6
63001,0.16470588235294117,11
63130,0.16470588235294117,11
63190,0.45161290322580644,5
63272,0.15730337078651685,6
63302,0.08187134502923976,52
63470,0.15730337078651685,6
63548,0.2545454545454545,31
63594,0.16470588235294117,11
63690,0.15730337078651685,6
66001,0.5185185185185185,49
66045,0.2545454545454545,31
66075,0.16470588235294117,11
66088,0.2545454545454545,31
66170,0.15730337078651685,6
66318,0.16470588235294117,11
66383,0.08187134502923976,52
66440,0.08187134502923976,52
66456,0.2295081967213115,30
66572,0.9333333333333333,34
66594,0.08187134502923976,52
66682,1,37
66687,0.2545454545454545,31
68001,0.15730337078651685,6
68013,0.3783783783783784,12
68020,0.3783783783783784,12
68077,0.16470588235294117,11
68079,0.45161290322580644,5
68081,1,35
68092,0.5185185185185185,49
68101,1.75,3
68121,0.16470588235294117,11
68162,0.45161290322580644,5
68167,0.3783783783783784,12
68169,0.45161290322580644,5
68176,0.16470588235294117,11
68179,0.16470588235294117,11
68190,1,38
68207,0.08187134502923976,52
68209,0.16470588235294117,11
68211,0.2545454545454545,31
68217,0.2545454545454545,31
68229,0.08187134502923976,52
68235,0.9333333333333333,34
68245,0.08187134502923976,52
68250,0.5185185185185185,49
68255,0.2295081967213115,30
68264,0.2545454545454545,31
68271,0.08187134502923976,52
68276,0.15730337078651685,6
68296,0.08187134502923976,52
68298,1.076923076923077,37
68307,0.2295081967213115,30
68320,0.08187134502923976,52
68322,0.15730337078651685,6
68324,0.15730337078651685,6
68327,1.5555555555555554,13
68344,0.08187134502923976,52
68368,0.16470588235294117,11
68377,0.2295081967213115,30
68385,0.9333333333333333,34
68397,0.08187134502923976,52
68406,0.2295081967213115,30
68444,0.08187134502923976,52
68464,1,39
68498,0.16470588235294117,11
68500,0.2295081967213115,30
68502,0.08187134502923976,52
68524,0.15730337078651685,6
68533,0.15730337078651685,6
68547,0.08187134502923976,52
68572,0.08187134502923976,52
68573,1.75,3
68575,1.4000000000000001,32
68615,4.666666666666666,29
68655,1.1666666666666665,33
68669,0.08187134502923976,52
68673,0.16470588235294117,11
68679,0.08187134502923976,52
68682,0.45161290322580644,5
68689,1.4000000000000001,47
68705,0.08187134502923976,52
68720,0.8235294117647058,27
68745,1.75,50
68755,0.08187134502923976,52
68770,0.3783783783783784,12
68773,1.1666666666666665,10
68780,0.08187134502923976,52
68820,0.15730337078651685,6
68855,0.16470588235294117,11
68861,0.2295081967213115,30
68895,0.15730337078651685,6
70001,0.16470588235294117,11
70124,0.16470588235294117,11
70204,0.08187134502923976,52
70230,0.15730337078651685,6
70233,0.15730337078651685,6
70235,0.16470588235294117,11
70265,0.5185185185185185,49
70400,0.08187134502923976,52
70429,0.2295081967213115,30
70473,0.15730337078651685,6
70508,0.08187134502923976,52
70523,0.45161290322580644,5
70678,0.2295081967213115,30
70708,0.5185185185185185,49
70713,0.5185185185185185,49
70771,0.2295081967213115,30
70820,0.08187134502923976,52
70823,0.16470588235294117,11
73001,0.2295081967213115,30
73024,0.3783783783783784,12
73026,0.08187134502923976,52
73030,0.15730337078651685,6
73055,0.2545454545454545,31
73067,0.2295081967213115,30
73124,0.08187134502923976,52
73148,0.08187134502923976,52
73152,0.15730337078651685,6
73168,1.75,28
73200,0.08187134502923976,52
73217,0.08187134502923976,52
73226,0.2295081967213115,30
73236,1.076923076923077,37
73268,0.45161290322580644,5
73270,0.08187134502923976,52
73283,0.6666666666666666,39
73319,0.08187134502923976,52
73347,0.3783783783783784,12
73349,0.3783783783783784,12
73352,0.08187134502923976,52
73408,0.08187134502923976,52
73411,0.2545454545454545,31
73443,0.5185185185185185,49
73449,0.16470588235294117,11
73461,0.15730337078651685,6
73483,0.08187134502923976,52
73504,0.2295081967213115,30
73520,0.16470588235294117,11
73547,0.08187134502923976,52
73555,1.1666666666666665,1
73563,0.3783783783783784,12
73585,0.2545454545454545,31
73616,1.1666666666666665,10
73622,0.08187134502923976,52
73624,0.6666666666666666,39
73671,0.45161290322580644,5
73675,0.08187134502923976,52
73678,14,53
73686,0.16470588235294117,11
73770,1.1666666666666665,10
73854,0.16470588235294117,11
73861,0.2545454545454545,31
73870,0.08187134502923976,52
73873,0.08187134502923976,52
76001,1.4000000000000001,47
76036,0.45161290322580644,5
76041,0.08187134502923976,52
76054,0.2545454545454545,31
76100,0.2295081967213115,30
76111,0.08187134502923976,52
76113,0.08187134502923976,52
76122,0.08187134502923976,52
76126,1.4000000000000001,47
76147,0.16470588235294117,11
76233,1.1666666666666665,21
76243,0.08187134502923976,52
76246,0.15730337078651685,6
76248,0.08187134502923976,52
76250,0.15730337078651685,6
76275,0.08187134502923976,52
76306,0.08187134502923976,52
76318,0.16470588235294117,11
76364,0.2295081967213115,30
76377,0.15730337078651685,6
76403,0.16470588235294117,11
76497,0.45161290322580644,5
76520,1.076923076923077,37
76563,0.08187134502923976,52
76606,0.3783783783783784,12
76616,0.2545454545454545,31
76670,0.16470588235294117,11
76736,0.2545454545454545,31
76828,0.08187134502923976,52
76834,0.5185185185185185,49
76863,1.5555555555555554,13
76890,0.15730337078651685,6
76892,0.08187134502923976,52
76895,0.16470588235294117,11
81001,1.4000000000000001,47
81065,1.4000000000000001,32
81220,0.3783783783783784,12
81300,0.9333333333333333,34
81591,0.2295081967213115,30
81736,2,48
81794,1.272727272727273,2
85001,1.4000000000000001,47
85010,0.9333333333333333,34
85015,0.2295081967213115,30
85125,2,48
85136,0.08187134502923976,52
85139,1.1666666666666665,1
85162,1.1666666666666665,10
85225,0.8235294117647058,27
85230,0.8235294117647058,27
85250,1,35
85263,0.2295081967213115,30
85279,0.2545454545454545,31
85300,0.2295081967213115,30
85315,1.076923076923077,37
85325,0.9333333333333333,34
85400,1.4000000000000001,47
85410,3.5,51
85430,2,48
85440,1.076923076923077,37
86001,1.1666666666666665,33
86320,1.1666666666666665,10
86568,0.8235294117647058,27
86569,1,35
86571,1.75,24
86573,3.5,15
86749,0.45161290322580644,5
86755,3.5,51
86760,0.08187134502923976,52
86865,0.08187134502923976,52
86885,1.272727272727273,2
91001,2.8000000000000003,38
91263,3.5,15
91405,1,40
91407,28,23
91430,0.2295081967213115,30
91460,42,7
91530,14,45
91536,1.75,24
91540,0.9333333333333333,34
91669,1,41
91798,14,18
94001,1,9
94343,14,17
94883,14,4
94884,2,48
94885,1.4000000000000001,32
94886,1.1666666666666665,33
94887,1.5555555555555554,25
