COD_DANE,peso_psm,subclase
05001,1,1
05002,1,11
05004,0.34663865546218486,11
05021,0.40441176470588236,30
05030,0.1758312020460358,10
05031,0.7582720588235294,6
05034,1,21
05036,0.1758312020460358,10
05038,0.7136678200692042,38
05040,4.044117647058823,25
05042,0.22058823529411764,43
05044,0.1758312020460358,10
05045,1.1029411764705883,57
05051,0.26960784313725494,59
05055,0.7582720588235294,34
05059,0.12637867647058823,8
05079,1,30
05086,0.22058823529411764,43
05088,0.30330882352941174,2
05091,0.26960784313725494,59
05093,0.20220588235294118,31
05101,0.7136678200692042,47
05107,1.1029411764705883,57
05113,0.22058823529411764,43
05125,0.30330882352941174,2
05129,4.044117647058823,52
05134,1,41
05138,1.0110294117647058,44
05142,0.7582720588235294,34
05145,0.1988910318225651,7
05147,0.7582720588235294,5
05148,1.0110294117647058,44
05150,0.40441176470588236,30
05154,1.0110294117647058,58
05172,0.7582720588235294,6
05190,0.30330882352941174,2
05197,0.7136678200692042,38
05206,0.26960784313725494,59
05209,0.22058823529411764,43
05212,0.12637867647058823,8
05234,2.426470588235294,39
05237,0.40441176470588236,30
05240,0.1758312020460358,10
05250,4.044117647058823,49
05264,0.22058823529411764,43
05266,0.20220588235294118,31
05282,0.30330882352941174,2
05284,2.426470588235294,37
05306,0.12637867647058823,8
05308,0.12637867647058823,8
05310,12.132352941176471,62
05313,1.0110294117647058,44
05315,0.26960784313725494,59
05318,0.1758312020460358,10
05321,0.20220588235294118,31
05347,0.12637867647058823,8
05353,0.1758312020460358,10
05361,3.0330882352941178,27
05364,1,52
05368,0.22058823529411764,43
05376,0.30330882352941174,2
05380,0.1988910318225651,7
05400,0.5514705882352942,13
05411,0.22058823529411764,43
05425,0.7136678200692042,38
05440,0.20220588235294118,31
05467,0.12637867647058823,8
05475,6.0661764705882355,24
05480,1,60
05483,0.34663865546218486,11
05490,1.5165441176470589,61
05495,2.426470588235294,37
05541,0.5514705882352942,13
05543,0.26960784313725494,59
05576,0.5514705882352942,15
05579,1,61
05585,0.7582720588235294,5
05591,0.40441176470588236,30
05604,3.0330882352941178,42
05607,0.7136678200692042,47
05615,0.30330882352941174,2
05628,1.5165441176470589,12
05642,0.34663865546218486,11
05647,1.1029411764705883,21
05649,0.7582720588235294,6
05652,1.0110294117647058,58
05656,0.12637867647058823,8
05658,0.1758312020460358,10
05659,0.20220588235294118,31
05660,3.0330882352941178,29
05664,0.1758312020460358,10
05665,0.34663865546218486,11
05667,0.7582720588235294,5
05670,1,62
05674,0.20220588235294118,31
05679,1,2
05686,0.7136678200692042,38
05690,0.7136678200692042,38
05697,0.1758312020460358,10
05736,3.0330882352941178,29
05756,1,3
05761,0.5514705882352942,15
05789,0.30330882352941174,2
05790,0.7582720588235294,6
05792,0.12637867647058823,8
05809,0.1758312020460358,10
05819,0.20220588235294118,31
05837,1,4
05842,0.26960784313725494,59
05847,0.7582720588235294,6
05854,4.044117647058823,49
05856,0.1758312020460358,10
05858,1,5
05861,0.22058823529411764,43
05873,3.0330882352941178,54
05885,1.1029411764705883,57
05887,1.5165441176470589,61
05890,1.5165441176470589,61
05893,1,6
05895,6.0661764705882355,24
08001,1,7
08078,0.1988910318225651,7
08296,0.1988910318225651,7
08372,0.1988910318225651,7
08421,0.1988910318225651,7
08549,0.12637867647058823,8
08573,0.3192724458204334,16
08606,0.1988910318225651,7
08638,0.20220588235294118,31
08832,0.1758312020460358,10
11001,2.426470588235294,37
13001,0.20220588235294118,31
13006,0.9332579185520363,36
13030,0.20220588235294118,31
13042,0.7582720588235294,34
13052,0.20220588235294118,31
13062,0.3192724458204334,16
13074,0.20220588235294118,31
13140,0.12637867647058823,8
13160,3.0330882352941178,41
13212,0.12637867647058823,8
13222,0.3192724458204334,16
13244,0.26960784313725494,59
13248,0.30330882352941174,2
13268,0.5514705882352942,13
13300,0.12637867647058823,8
13430,0.20220588235294118,31
13433,0.1758312020460358,10
13440,0.1758312020460358,10
13442,0.40441176470588236,30
13458,4.044117647058823,4
13468,0.12637867647058823,8
13473,0.7136678200692042,38
13490,0.34663865546218486,11
13549,0.40441176470588236,30
13580,0.20220588235294118,31
13600,0.26960784313725494,59
13647,0.3192724458204334,16
13650,0.12637867647058823,8
13654,0.34663865546218486,11
13655,1.0110294117647058,58
13657,0.40441176470588236,30
13667,0.34663865546218486,11
13670,2.426470588235294,37
13673,0.5514705882352942,15
13683,0.5514705882352942,15
13688,2.0220588235294117,3
13744,1.1029411764705883,21
13810,0.7136678200692042,38
13836,0.12637867647058823,8
13838,0.1988910318225651,7
13873,0.1988910318225651,7
13894,0.22058823529411764,43
15022,0.12637867647058823,8
15047,0.26960784313725494,59
15087,0.3192724458204334,16
15090,0.5514705882352942,15
15106,0.20220588235294118,31
15109,0.1988910318225651,7
15135,0.5514705882352942,13
15172,0.1988910318225651,7
15176,0.3192724458204334,16
15180,0.5514705882352942,13
15183,0.7136678200692042,47
15185,0.30330882352941174,2
15212,0.1758312020460358,10
15223,1.0110294117647058,58
15236,1,8
15238,0.1758312020460358,10
15296,0.3192724458204334,16
15299,0.12637867647058823,8
15325,0.1988910318225651,7
15332,0.20220588235294118,31
15377,0.26960784313725494,59
15401,0.3192724458204334,16
15425,0.12637867647058823,8
15442,0.20220588235294118,31
15455,0.22058823529411764,43
15464,0.20220588235294118,31
15469,0.30330882352941174,2
15480,0.22058823529411764,43
15507,0.7582720588235294,34
15514,0.26960784313725494,59
15516,0.1758312020460358,10
15518,0.26960784313725494,59
15531,0.5514705882352942,13
15533,0.26960784313725494,59
15542,0.3192724458204334,16
15550,0.7136678200692042,47
15572,0.7136678200692042,38
15580,0.5514705882352942,13
15599,0.3192724458204334,16
15621,0.1758312020460358,10
15632,0.5514705882352942,15
15660,0.1758312020460358,10
15664,0.22058823529411764,43
15667,0.40441176470588236,30
15681,0.30330882352941174,2
15686,0.20220588235294118,31
15690,0.1758312020460358,10
15693,0.3192724458204334,16
15755,0.34663865546218486,11
15757,0.3192724458204334,16
15761,0.5514705882352942,15
15763,0.12637867647058823,8
15790,0.5514705882352942,15
15816,0.1758312020460358,10
15832,0.12637867647058823,8
15897,0.22058823529411764,43
17001,0.26960784313725494,59
17013,0.20220588235294118,31
17042,0.30330882352941174,2
17050,0.12637867647058823,8
17088,0.30330882352941174,2
17272,0.12637867647058823,8
17380,0.7582720588235294,34
17388,0.3192724458204334,16
17433,0.20220588235294118,31
17444,0.5514705882352942,13
17446,0.1758312020460358,10
17486,0.20220588235294118,31
