COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
08001,BARRANQUILLA,ATLÁNTICO,1,0.0012601503761110974,FALSE,TRUE
23672,SAN ANTERO,CÓRDOBA,1,0.00250950550367366,FALSE,TRUE
15236,CHIVOR,BOYACÁ,1,0.002755984380273032,FALSE,TRUE
68464,MOGOTES,SANTANDER,1,0.015438731648523874,FALSE,FALSE
66682,SANTA ROSA DE CABAL,RISARALDA,1,0.01730501966808294,FALSE,FALSE
19585,PURACÉ,CAUCA,1,0.018296413321393683,FALSE,FALSE
05134,CAMPAMENTO,ANTIOQUIA,1,0.02805994910247265,FALSE,FALSE
05893,YONDÓ,ANTIOQUIA,1,0.056381562724911155,FALSE,FALSE
52490,OLAYA HERRERA,NARIÑO,1,0.06842598737844276,FALSE,FALSE
41668,SAN AGUSTÍN,HUILA,1,0.07139807895401791,FALSE,FALSE
50590,PUERTO RICO,META,1,0.08504634664724077,FALSE,FALSE
27800,UNGUÍA,CHOCÓ,1,0.12971312890156916,FALSE,FALSE
05480,MUTATÁ,ANTIOQUIA,1,0.16827770856937915,FALSE,FALSE
52835,SAN ANDRÉS DE TUMACO,NARIÑO,1,0.16882266618400227,FALSE,FALSE
91669,PUERTO SANTANDER,AMAZONAS,1,0.18005365000416898,FALSE,FALSE
27495,NUQUÍ,CHOCÓ,1,0.18801947580511147,FALSE,FALSE
97161,CARURÚ,VAUPÉS,1,0.19947045582245831,FALSE,FALSE
27006,ACANDÍ,CHOCÓ,1,0.21730282075112076,FALSE,FALSE
94888,MORICHAL,GUAINÍA,1,0.22287570099659942,FALSE,FALSE
27205,CONDOTO,CHOCÓ,1,0.22483371109414751,FALSE,FALSE
27600,RÍO QUITO,CHOCÓ,1,0.2748494716762468,FALSE,FALSE
27025,ALTO BAUDÓ,CHOCÓ,1,0.280911261588035,FALSE,FALSE
27150,CARMEN DEL DARIÉN,CHOCÓ,1,0.29600503648161114,FALSE,FALSE
97511,PACOA,VAUPÉS,1,0.3309060646773172,FALSE,FALSE
99773,CUMARIBO,VICHADA,1,0.33444480894821677,FALSE,FALSE
27050,ATRATO,CHOCÓ,1,0.3393281588934695,FALSE,FALSE
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1,0.3528109185955031,FALSE,FALSE
