clave,fuente,nombre_proyecto,COD_DANE,NOMBRE_MPI,clasificacion_sugerida,motivo_sugerencia,clasificacion_final,justificacion,sector__methodology,sector__programme_of_activities
gold_standard|vichada climate reforestation project (paz),gold_standard,Vichada Climate Reforestation Project (PAZ) ,,,AFOLU,nombre del proyecto,AFOLU,,,Standalone
gold_standard|barroso 20mw hydroelectric project,gold_standard,Barroso 20MW hydroelectric project,,,NO_AFOLU,nombre del proyecto,NO_AFOLU,,,Standalone
gold_standard|guanaquitas 9.74 mw hydroelectric project,gold_standard,Guanaquitas 9.74 MW hydroelectric project,,,NO_AFOLU,methodology: AMS-I.D. Grid connected renewable electricity generation,NO_AFOLU,,AMS-I.D. Grid connected renewable electricity generation,Standalone
gold_standard|gs3510 fundacion natura cookstove poa_satander,gold_standard,GS3510 Fundacion Natura Cookstove PoA_Satander,,,NO_AFOLU,methodology: GS TPDDTEC v 2.,NO_AFOLU,,GS TPDDTEC v 2.,POA
"gold_standard|vegachi, ecological restoration of degraded lands",gold_standard,"Vegachi, ecological restoration of degraded lands ",,,AFOLU,nombre del proyecto,AFOLU,,,Standalone
gold_standard|fundacion natura cookstove poa,gold_standard,Fundacion Natura Cookstove POA,,,NO_AFOLU,methodology: GS TPDDTEC v 1.,NO_AFOLU,,GS TPDDTEC v 1.,POA
"gold_standard|conservation and reforestation of degraded areas in barbosa, colombia",gold_standard,"Conservation and reforestation of degraded areas in Barbosa, Colombia",,,AFOLU,methodology: Afforestation/Reforestation GHG Emissions Reduction & Seques,AFOLU,,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,Standalone
gold_standard|caruquia 9.76 mw hydroelectric project,gold_standard,Caruquia 9.76 MW hydroelectric project,,,NO_AFOLU,methodology: AMS-I.D. Grid connected renewable electricity generation,NO_AFOLU,,AMS-I.D. Grid connected renewable electricity generation,Standalone
gold_standard|caruquia 9.76 mw hydroelectric project pre-cdm vers,gold_standard,Caruquia 9.76 MW hydroelectric project Pre-CDM VERs,,,NO_AFOLU,methodology: AMS-I.D. Grid connected renewable electricity generation,NO_AFOLU,,AMS-I.D. Grid connected renewable electricity generation,Standalone
gold_standard|santander and las tapias renewable energy project,gold_standard,Santander and Las Tapias Renewable Energy Project,,,NO_AFOLU,methodology: GS SS Ecologically Sound Fuel Switch to Biomass v1.,NO_AFOLU,,GS SS Ecologically Sound Fuel Switch to Biomass v1.,Standalone
gold_standard|gen+: alejandria small hydropower (shp) run-of-the-river cdm project bundle,gold_standard,GEN+: Alejandría Small Hydropower (SHP) Run-of-the-River CDM Project Bundle,,,NO_AFOLU,nombre del proyecto,NO_AFOLU,,,VPA
gold_standard|programme of activities for the development and promotion of renewable energy,gold_standard,Programme of Activities for the Development and Promotion of Renewable Energy,,,NO_AFOLU,nombre del proyecto,NO_AFOLU,,,POA
