project_id,name,proponent,project_url,registry
VCS5908,Electric Mobility Program Colombia,Grutter Consulting AG,https://registry.verra.org/app/projectDetail/VCS/5908,verra
VCS5901,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/5901,verra
VCS5756,El Estero biogas recovery and utilization,EXTRACTORA EL ESTERO S.A.S.,https://registry.verra.org/app/projectDetail/VCS/5756,verra
VCS5680,CO2ROZO,FUNDACIÓN CATARUBEN,https://registry.verra.org/app/projectDetail/VCS/5680,verra
VCS5632,Green and Carbon Capture project,Scellec Teca Colombia SAS,https://registry.verra.org/app/projectDetail/VCS/5632,verra
VCS5335,Boomitra grassland Restoration in Colombia,Boomitra Inc,https://registry.verra.org/app/projectDetail/VCS/5335,verra
VCS5324,Sembrando Futuro Restoration Project,Fundación Grupo Argos,https://registry.verra.org/app/projectDetail/VCS/5324,verra
VCS5305,Bella Bosque Vichada Afforestation Project,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/5305,verra
VCS5169,Sembrando Futuro 2.0,Terraformation Inc.,https://registry.verra.org/app/projectDetail/VCS/5169,verra
VCS4894,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",ALLCOT A.G.,https://registry.verra.org/app/projectDetail/VCS/4894,verra
VCS4777,NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION,Agropecuaria Bambusa SAS,https://registry.verra.org/app/projectDetail/VCS/4777,verra
VCS4748,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,FUNDACIÓN PROYECTO PRIMATES - FPP,https://registry.verra.org/app/projectDetail/VCS/4748,verra
VCS4732,"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia",Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4732,verra
VCS4536,REDD+ Esteros y Manglares,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4536,verra
VCS4480,REDD++ Manglares del Bajo Baudo,Multiple Proponents,https://registry.verra.org/app/projectDetail/VCS/4480,verra
