COD_DANE,fuente,nombre_proyecto,anio_inicio,anio_fin,confianza,metodo
05001,cercarbono,Planta de Tratamiento de Aguas Residuales - PTAR Aguas Claras,2020.0,2060.0,media,matching_texto
19392,cercarbono,Proyecto Carbono CAS,2008.0,2038.0,media,matching_texto
19392,cercarbono,Proyecto Carbono CAS,2008.0,2038.0,media,matching_texto
19392,cercarbono,Proyecto Carbono CAS,2008.0,2038.0,media,matching_texto
73168,cercarbono,Rio Amoya Run-of-River Hydro Project,2008.0,2058.0,media,matching_texto
05021,cercarbono,Proyecto Hidroeléctrico Alejandría,2016.0,2036.0,media,matching_texto
05021,cercarbono,Proyecto Hidroeléctrico Alejandría,2016.0,2036.0,media,matching_texto
05021,cercarbono,Proyecto Hidroeléctrico Alejandría,2016.0,2036.0,media,matching_texto
94001,cercarbono,Proyecto de Conservación UNU-MAI REDD+,2017.0,2046.0,media,matching_texto
94001,cercarbono,Proyecto de Conservación UNU-MAI REDD+,2017.0,2046.0,media,matching_texto
15759,cercarbono,Sogamoso Hydroelectric Project,2023.0,2033.0,media,matching_texto
08001,cercarbono,Ciclo Combinado Termoflores IV,2017.0,2046.0,media,matching_texto
08001,cercarbono,Ciclo Combinado Termoflores IV,2017.0,2046.0,media,matching_texto
20250,cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,2018.0,2048.0,media,matching_texto
20250,cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica El Paso ,2018.0,2048.0,media,matching_texto
20250,cercarbono,Proyecto de Generación de Energía Solar Fotovoltaica La Loma ,2023.0,2033.0,media,matching_texto
68081,cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",,,media,matching_texto
68081,cercarbono,"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.",,,media,matching_texto
50573,cercarbono,Carbono Rancho Victoria,,,media,matching_texto
50573,cercarbono,Carbono Rancho Victoria,,,media,matching_texto
05142,cercarbono,Bonos de Carbono Caracoli,,,media,matching_texto
05142,cercarbono,Bonos de Carbono Caracoli,,,media,matching_texto
05142,cercarbono,Bonos de Carbono Caracoli,,,media,matching_texto
17001,cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,,,media,matching_texto
17001,cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,,,media,matching_texto
17001,cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,,,media,matching_texto
17001,cercarbono,Veolia LFG PTA Manizales and Cúcuta Landfill,,,media,matching_texto
05659,cercarbono,Carbono Paja Perdida,,,media,matching_texto
05659,cercarbono,Carbono Paja Perdida,,,media,matching_texto
99773,cercarbono,ORINOCO REDD+ PROJECT,,,media,matching_texto
47707,cercarbono,Central Hidroeléctrica de Santa Ana,,,media,matching_texto
05490,cercarbono,Carbono Ganados y Bosques,,,media,matching_texto
94001,cercarbono,Granja Solar de Inírida,,,media,matching_texto
