Project ID,Project Name,Project Stage,Project URL,Duration start,Duration end,n_matches,cod_dane,municipio
CDC-102,Proyecto Agrupado YAAWI IIPANA REDD+,Certified,https://www.ecoregistry.io/projects/102,2016-01-01,2045-12-31,3,13683;19701;94888,MORICHAL;SANTA ROSA
CDC-102,Proyecto Agrupado YAAWI IIPANA REDD+,Certified,https://www.ecoregistry.io/projects/102,2016-01-01,2045-12-31,3,13683;19701;94888,MORICHAL;SANTA ROSA
CDC-102,Proyecto Agrupado YAAWI IIPANA REDD+,Certified,https://www.ecoregistry.io/projects/102,2016-01-01,2045-12-31,3,13683;19701;94888,MORICHAL;SANTA ROSA
CDC-116,Generación Eléctrica/Térmica a partir de Biomasa – Manuelita S.A.,Verification,https://www.ecoregistry.io/projects/116,2018-06-22,2068-06-21,0,,
CDC-116,Generación Eléctrica/Térmica a partir de Biomasa – Manuelita S.A.,Verification,https://www.ecoregistry.io/projects/116,2018-06-22,2068-06-21,0,,
CDC-116,Generación Eléctrica/Térmica a partir de Biomasa – Manuelita S.A.,Verification,https://www.ecoregistry.io/projects/116,2018-06-22,2068-06-21,0,,
CDC-116,Generación Eléctrica/Térmica a partir de Biomasa – Manuelita S.A.,Verification,https://www.ecoregistry.io/projects/116,2018-06-22,2068-06-21,0,,
CDC-71,	Bajo Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/71,2011-11-29,2065-01-29,2,70717;76670,SAN PEDRO
CDC-71,	Bajo Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/71,2011-11-29,2065-01-29,2,70717;76670,SAN PEDRO
CDC-71,	Bajo Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/71,2011-11-29,2065-01-29,2,70717;76670,SAN PEDRO
CDC-71,	Bajo Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/71,2011-11-29,2065-01-29,2,70717;76670,SAN PEDRO
CDC-70,Alto Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/70,2012-01-01,2062-05-27,0,,
CDC-70,Alto Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/70,2012-01-01,2062-05-27,0,,
CDC-70,Alto Tuluá Minor Hydroelectric Power Plant,Registration,https://www.ecoregistry.io/projects/70,2012-01-01,2062-05-27,0,,
CDC-221,Planta de Tratamiento de Aguas Residuales - PTAR Aguas Claras,Verification,https://www.ecoregistry.io/projects/221,2020-01-01,2060-12-31,1,5001,MEDELLIN
CDC-67,Proyecto REDD+ Zona Isana y Surubi,Certified,https://www.ecoregistry.io/projects/67,2018-01-01,2047-12-31,0,,
CDC-67,Proyecto REDD+ Zona Isana y Surubi,Certified,https://www.ecoregistry.io/projects/67,2018-01-01,2047-12-31,0,,
CDC-67,Proyecto REDD+ Zona Isana y Surubi,Certified,https://www.ecoregistry.io/projects/67,2018-01-01,2047-12-31,0,,
CDC-73,Proyecto Carbono CAS,Validation,https://www.ecoregistry.io/projects/73,2008-11-30,2038-11-29,1,19392,LA SIERRA
CDC-73,Proyecto Carbono CAS,Validation,https://www.ecoregistry.io/projects/73,2008-11-30,2038-11-29,1,19392,LA SIERRA
CDC-73,Proyecto Carbono CAS,Validation,https://www.ecoregistry.io/projects/73,2008-11-30,2038-11-29,1,19392,LA SIERRA
CDC-254,Proyecto Forestal CO2CERO Chigüiro,Validation,https://www.ecoregistry.io/projects/244,2020-04-08,2040-04-08,3,50568;50573;99524,LA PRIMAVERA;PUERTO GAITAN;PUERTO LOPEZ
CDC-47,Infraestructuras Ecosistémicas REDD+ para los Campesinos de Antioquia Colombia,Verification,https://www.ecoregistry.io/projects/47,2019-01-01,2058-12-31,0,,
