id,created_at,updated_at,name,description,status,gsf_standards_version,estimated_annual_credits,crediting_period_start_date,crediting_period_end_date,methodology,type,size,sustaincert_id,sustaincert_url,project_developer,carbon_stream,country,country_code,latitude,longitude,state,crediting_periods,programme_of_activities,sustainable_development_goals,labels,poa_project_id,poa_project_sustaincert_id,poa_project_name,fuente
5511,2026-02-18T10:46:51Z,2026-06-01T10:40:29Z,Nestlé & FNC Tree Planting Colombia,"The Gold Standard “Nestlé & FNC Tree Planting Colombia” is a joint strategy between Nestlé and the National Federation of Coffee Growers of Colombia (FNC). It is implemented through the planting of trees on coffee farms that are part of Nestlé’s value chain and on neighboring farms located within the coffee-growing ecosystem. The project emerged as a mitigation and adaptation measure to prepare crops for the impacts of climate variability, contribute to the conservation of water and soils, enhance biodiversity, and serve as a nature-based solution for the removal of CO₂ from the atmosphere. ",LISTED,Gold Standard for the Global Goals,64861,2022-07-09,2027-07-08,,A/R,Large Scale,23567,https://assurance-platform.goldstandard.org/project-documents/GS23567,South Pole Ltd,GS_VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",[],,,,goldstandard
5442,2025-12-18T17:26:16Z,2026-03-25T19:34:23Z,CDR ORINOQUIA,"The CDR ORINOQUÍA project, developed by Biofix Consultoría S.A.S BIC, is a large-scale afforestation, reforestation, and revegetation (ARR) initiative designed to mitigate climate change by restoring degraded savannah ecosystems in the Orinoco region of Colombia. The project covers 8,441 hectares across seven private properties (Arizona, La Fortuna, La Carolina, San Andrés, Villa Claudia, Buenos Aires, and San Miguel) located in Puerto Gaitán, Meta.

The project employs a dual reforestation strategy:

Forest Plantations: Establishment of non-native species (Eucalyptus pellita and Pinus caribaea).

Natural Enrichment: Restoration of non-flood zones and flooded areas (gallery and moriche forests) using native species such as Cassia grandis, Hymenaea courbaril, Caraipa llanorum, Mauritia flexuosa, Euterpe precatoria, and Manilkara zapota.

To achieve its goals, the project operates a permanent nursery producing over three million seedlings annually. Implementation includes specialized machinery for site preparation, alongside GPS and drone technology for precise monitoring. This integrated approach aims to increase carbon sequestration and generate certified carbon credits while contributing to SDG 13 (Climate Action), SDG 8 (Decent Work), SDG 5 (Gender Equality) and SDG 15 (Life on Land). The project boundary encompasses all land parcels dedicated to these ARR activities as GHG sinks.",LISTED,Gold Standard for the Global Goals,83768,2026-05-15,2056-05-14,,A/R,Large Scale,23504,https://assurance-platform.goldstandard.org/project-documents/GS23504,Biofix Consultoría S.A.S. BIC,GS_CER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],,,,goldstandard
5291,2025-07-15T19:44:18Z,2025-09-10T05:49:22Z,Carbono Vivo Marañón KardiaNuts & Kashú,"Carbono Vivo Marañón KardiaNuts & Kashú is the first real-case VPA under the PoA, implemented in the department of Vichada, Colombia. It operationalizes the PoA framework by establishing the first set of agroforestry systems with cashew in collaboration with local stakeholders. The VPA focuses on generating measurable climate impact through carbon sequestration, while contributing to local livelihoods and sustainable land management.",LISTED,Gold Standard for the Global Goals,7424,2020-08-03,2050-08-02,,A/R,Large Scale,23368,https://assurance-platform.goldstandard.org/project-documents/GS23368,C-NEUTRAL SAS,GS_VER,Colombia,CO,,,,,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 2: Zero Hunger', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",[],5290.0,23367.0,Carbono Vivo Marañón,goldstandard
5290,2025-07-15T17:21:34Z,2025-09-10T05:48:25Z,Carbono Vivo Marañón,"The Carbono Vivo Marañón Project is a long-term environmental and climate initiative that supports the transition to sustainable land use through the establishment of agroforestry systems based on cashew (Anacardium occidentale) in Colombia. Designed to generate social, environmental, and climate benefits, the PoA brings together producers, processors, marketers, and local communities across the value chain to promote rural development, biodiversity conservation, and carbon removal.",LISTED,Gold Standard for the Global Goals,7424,2020-08-03,2050-08-02,,A/R,Large Scale,23367,https://assurance-platform.goldstandard.org/project-documents/GS23367,C-NEUTRAL SAS,GS_VER,Colombia,CO,,,,,POA,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 2: Zero Hunger', 'issuable_products': []}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}]",[],,,,goldstandard
5031,2025-04-04T14:26:42Z,2026-07-23T05:53:14Z,Brújula Verde,"Brújula Verde is a large-scale, 30,000-hectare reforestation and ecosystem restoration project in Vichada, Colombia, designed to deliver high-integrity nature-based carbon removals while supporting biodiversity and community development. The project focuses on establishing diverse, mixed-species forests through the planting of both fast-growing pioneer species and a wide range of native trees, 
ultimately transitioning toward predominantly native forest cover. This approach enhances soil recovery, 
improves water and nutrient cycles, and builds long-term landscape resilience. By combining phased 
planting and enrichment strategies, Brújula Verde strengthens ecosystem services, contributes to 
Colombia’s climate mitigation goals, and generates local employment and sustainable livelihood 
opportunities",GOLD_STANDARD_CERTIFIED_PROJECT,Gold Standard for the Global Goals,310058,2023-05-15,2053-05-14,,A/R,Large Scale,23254,https://assurance-platform.goldstandard.org/project-documents/GS23254,Inverbosques S.A,GS_VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}]",['EMISSION_REMOVAL'],,,,goldstandard
5007,2025-03-13T07:08:49Z,2026-01-22T07:25:36Z,Amazonia Nativa,"The Amazonia Nativa project seeks to create a new green cover with native species in a key region of Colombia through afforestation and reforestation efforts. The project will establish at least 7,500 hectares across 12 municipalities in the Southern Meta and Guaviare departments. The goal is to provide local stakeholders with sustainable land-use alternatives that offer equal or greater benefits compared to current practices. The project will adopt sustainable practices for managing planted native trees and açaí palms, such as Forest Sustainable Council. The project aims to pioneer the use of native species in large scale, creating timber products and açaí berries.

The project aims to increase the green forest cover in the Colombian Amazon and support the development of a sustainable wood value chain by planting native tree species on lands low-productivity degraded cattle ranching. 

Instead of a monocultural plantation, the project goes beyond common practice to produce sustainable wood by using a mix of native wood species, as well as açaí berries, removing on average 141,714 tCO2 annually. Selective low-impact logging will be employed instead of the clear-cutting harvesting. 
",LISTED,Gold Standard for the Global Goals,90058,2024-05-22,2054-05-22,,A/R,Large Scale,13100,https://assurance-platform.goldstandard.org/project-documents/GS13100,ACT Climate Solutions B.V.,GS_VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 2: Zero Hunger', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",[],,,,goldstandard
4987,2025-02-27T07:09:31Z,2025-11-06T05:46:51Z,Conservación de la selva de Guainía,"El proyecto ""Conservación de la selva de Guainía"" tiene como horizonte fortalecer el tejido social de las comunidades de los resguardos indígenas ""Caranacoa Yuri Laguna Morocoto"" y ""Bachaco Buenavista"" a través de acciones de conservación y plantación de especies forestales nativas de la selva amazónica colombiana con la finalidad de aumentar las coberturas de bosque presentes al interior de los resguardos a la par de fortalecer la estructura productiva de de las comunidades con la plantación de árboles frutales, lo cual posibilita un mejor desarrollo entorno a la conservación del bosque a través de la restauración activa y productiva (manejo agroforestal). El proyecto se establece en una superficie superior a las 18 000 hectáreas de las cuales cerca de 4 000 hectáreas, distribuido en las 7 comunidades participantes, se proyecta como área elegible para ejecutar las acciones de plantación, esperando una captura promedio anual de más de 100 000 ton CO2. La iniciativa de ""Conservación de la selva de Guainía"" busca impactar 9 de los 17 objetivos de desarrollo sostenible en donde se trabaja de manera mancomunada con cada una de las comunidades participantes en identificar, organizar y ejecutar cada una de las visuales a nivel  social ambiental y de desarrollo que esta iniciativa impactará.",LISTED,Gold Standard for the Global Goals,85610,2023-09-01,2053-09-01,,A/R,Small Scale,12696,https://assurance-platform.goldstandard.org/project-documents/GS12696,Comunidades Sostenibles S.A.S.,GS_VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 10: Reduced Inequalities', 'issuable_products': []}, {'name': 'Goal 2: Zero Hunger', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 6: Clean Water and Sanitation', 'issuable_products': [{'name': 'Water Benefit Certificate', 'abbreviation': 'WBC'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}]",[],,,,goldstandard
4850,2025-01-07T14:23:27Z,2025-09-05T13:41:04Z,BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce,"The ""BaumInvest Flor Saphira Reforestation Project El Capricho & La Catorce"" is the third Voluntary Project Activity (VPA) in Colombia incorporated into the Programme of Activities (PoA): BaumInvest Forest Landscape Restoration Programme (GS11707). The project focuses on ecological restoration of degraded cattle pastures in the Vichada department, Orinoquia region, municipality of Cumaribo, near the villages of El Capricho and La Catorce.

Key objectives include:

i) Climate change mitigation through long-term carbon sequestration via afforestation.
ii) Sustainable development and poverty alleviation by generating long-term employment in remote, economically underserved areas.
iii) Biodiversity conservation by preserving natural habitats and enhancing habitat connectivity.

This initiative integrates ecological, social, and economic dimensions to advance sustainable land use and restoration.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,0,2025-05-15,2065-05-14,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,A/R,Large Scale,23178,https://assurance-platform.goldstandard.org/project-documents/GS23178,BaumInvest AG,GS_VER,Colombia,CO,,,,,VPA,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}]",[],3596.0,11707.0,BaumInvest Forest Landscape Restoration Programme,goldstandard
4771,2024-12-11T08:11:11Z,2026-04-28T04:41:58Z,Renewable Energy and Biofertilizers from Waste in Colombia,The project shall consist of the construction and operation of several biogas facilities in the region of Valle del Cauca in southern Colombia. The facilities will convert organic waste and animal dung into biomethane and fertilizer by controlled anaerobic digestion. Methane generated during the digestion of the organic waste and manure will be captured and subsequently employed for the generation of renewable energy.,LISTED,Gold Standard for the Global Goals,12000,2026-01-01,2030-12-31,,"Biomass, or Liquid Biofuel - Cogeneration",Small Scale,23143,https://assurance-platform.goldstandard.org/project-documents/GS23143,atmosfair gGmbH,GS_VER,Colombia,CO,,,,,Standalone,"[{'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 7: Affordable and Clean Energy', 'issuable_products': []}, {'name': 'Goal 12: Responsible Production and Consumption', 'issuable_products': []}, {'name': 'Goal 5: Gender Equality', 'issuable_products': []}, {'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 4: Quality Education', 'issuable_products': []}]",[],,,,goldstandard
4640,2024-09-23T09:32:39Z,2025-12-22T09:10:59Z,BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo,"The ""BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo "" is the second voluntary project activity (VPA) in Colombia that will be included into the broader framework of the Programme of Activities (PoA) “BaumInvest Forest Landscape Restoration Programme” (GS11707).

The ""BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo” consists of the ecological restoration of 2,546 hectares of former cattle pastures, which are located in the department of Vichada, in the Orinoquia region, in the municipality of Cumaribo (Colombia).

The main objectives of the ""BaumInvest Flor Morado Reforestation Project Punta Hermosa & Moriche Solo"" are to:

•                    mitigate climate change through long-term carbon sequestration through planted trees and regeneration of secondary forests.

•                    contribute to sustainable socio-economic development and poverty reduction through long-term employment in in the remote, rural, and poorly developed eastern plains of Colombia.

•                    protect biodiversity by conserving natural habitats and improving habitat connectivity.",GOLD_STANDARD_CERTIFIED_DESIGN,Gold Standard for the Global Goals,57612,2024-07-04,2064-07-03,,A/R,Large Scale,12926,https://assurance-platform.goldstandard.org/project-documents/GS12926,BaumInvest AG,GS_VER,Colombia,CO,,,,,VPA,"[{'name': 'Goal 8: Decent Work and Economic Growth', 'issuable_products': []}, {'name': 'Goal 1: No Poverty', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}]}, {'name': 'Goal 13: Climate Action', 'issuable_products': [{'name': 'Verified Emission Reduction', 'abbreviation': 'VER'}, {'name': 'Certified Emission Reduction', 'abbreviation': 'CER'}, {'name': 'Renewable Energy Certificate', 'abbreviation': 'REC'}, {'name': 'Planned Emission Reduction', 'abbreviation': 'PER'}]}, {'name': 'Goal 15: Life On Land', 'issuable_products': []}]",[],3596.0,11707.0,BaumInvest Forest Landscape Restoration Programme,goldstandard
