COD_DANE,peso_psm,subclase
05002,1,1
05004,1.0642105263157895,4
05021,1,12
05030,0.4837320574162679,21
05031,1,22
05034,1,33
05036,0.19349282296650716,55
05038,2.128421052631579,13
05040,10.642105263157895,29
05042,0.9674641148325358,25
05044,0.18670360110803325,17
05045,0.6260061919504644,54
05051,0.8868421052631579,35
05055,0.6260061919504644,54
05059,0.25338345864661654,82
05079,1,43
05086,1.0642105263157895,4
05088,0.8868421052631579,35
05091,1.7736842105263158,72
05093,0.2595635430038511,11
05101,0.7094736842105264,5
05107,1,51
05113,0.19349282296650716,55
05125,0.28005540166204984,40
05129,1.0642105263157895,1
05134,1,62
05138,1.7736842105263158,37
05142,1.0642105263157895,1
05145,0.4837320574162679,21
05147,1.0642105263157895,1
05148,2.128421052631579,2
05150,1.0642105263157895,1
05154,2.128421052631579,2
05172,2.128421052631579,68
05190,0.7601503759398496,31
05197,1,73
05206,1.7736842105263158,37
05209,0.7094736842105264,9
05212,1,82
05234,1.5203007518796992,3
05237,1,2
05240,0.4837320574162679,21
05250,1.3302631578947368,7
05264,0.8868421052631579,86
05266,1.0642105263157895,4
05282,0.8868421052631579,86
05284,3.5473684210526315,50
05306,0.28005540166204984,40
05308,0.25338345864661654,82
05310,1,3
05313,5.321052631578947,19
05315,5.321052631578947,67
05318,0.8868421052631579,35
05321,1.0642105263157895,4
05347,0.4837320574162679,21
05353,0.18670360110803325,17
05360,0.161244019138756,39
05361,10.642105263157895,30
05364,1,4
05368,0.2595635430038511,11
05376,1.7736842105263158,12
05380,0.25338345864661654,82
05400,0.6260061919504644,59
05411,0.25338345864661654,82
05425,1.3302631578947368,7
05440,1,5
05467,0.8186234817813766,58
05475,1.5203007518796992,78
05480,1,6
05483,0.8868421052631579,35
05490,1.3302631578947368,51
05495,1.5203007518796992,78
05501,0.1252012383900929,69
05541,5.321052631578947,75
05543,0.6260061919504644,59
05576,0.18670360110803325,17
05579,1,7
05585,0.6260061919504644,54
05591,0.2595635430038511,11
05604,1.7736842105263158,22
05607,3.5473684210526315,46
05615,1,8
