term,estimate,std.error,conf.low,conf.high
-5,87.00278519494492,75.591861453186,-61.15726325329965,235.1628336431895
-4,148.87186004966463,118.77840627756368,-83.93381625436015,381.67753635368945
-3,114.16375670834196,135.75157884148638,-151.90933782097136,380.2368512376553
-2,213.87304685339728,130.79124454798637,-42.47779246065596,470.22388616745053
-1,275.4561822181137,186.68741894301493,-90.45115891019555,641.363523346423
0,233.042335594678,162.78970760909723,-86.02549131915256,552.1101625085086
1,34.09243374556102,49.342074456329655,-62.6180321888451,130.80289967996714
2,127.63328537145796,107.58227014679694,-83.22796411626405,338.49453485917996
3,64.49261334743466,77.4588451783927,-87.32672320221505,216.31194989708436
4,37.13723107102252,86.92230262093918,-133.23048206601828,207.5049442080633
5,-173.44286507002855,72.03223458333633,-314.6260448533677,-32.25968528668935
6,-20.525470578540226,92.44818627623064,-201.72391567995228,160.67297452287184
7,-126.94957720375349,47.62225080108147,-220.28918877387318,-33.609965633633806
8,-116.47672466653326,53.85332636858027,-222.02924434895058,-10.924204984115931
9,-187.05148050961458,58.51570674832358,-301.7422657363288,-72.36069528290037
10,-119.95786838265128,41.08628102983389,-200.4869792011257,-39.42875756417686
