term,estimate,std.error,conf.low,conf.high
-5,87.19575220012725,71.34882275984384,-52.64794040916668,227.03944480942118
-4,150.30995828738511,110.04526938745097,-65.3787697120188,365.99868628678905
-3,111.91820746624629,124.93646541239097,-132.95726474204002,356.7936796745326
-2,199.3488423282364,121.10871203139014,-38.02423325328826,436.72191790976103
-1,249.7704621295993,171.75153871921572,-86.86255376006346,586.4034780192621
0,206.59401560200266,153.86565389137195,-94.98266602508633,508.1706972290916
1,29.67512206770405,44.166020445743925,-56.890278005954045,116.24052214136215
2,100.68508319600203,101.31716550843274,-97.89656120052614,299.2667275925302
3,47.11179895306215,71.073383991563,-92.19203367040133,186.41563157652564
4,32.88192875037516,77.33471164807436,-118.6941060798506,184.4579635806009
5,-149.22411094872604,62.79278988045324,-272.2979791144144,-26.150242783037683
6,-24.231136324032892,78.70036635725079,-178.48385438424444,130.02158173617866
7,-119.75000027271925,41.12836540356142,-200.36159646369964,-39.13840408173887
8,-115.8082078602797,45.52673357720398,-205.0406056715995,-26.575810048959895
9,-157.1713679990312,48.025126579496266,-251.30061609484386,-63.042119903218506
10,-120.29106564698426,32.38363332853516,-183.76298697091318,-56.81914432305535
