cohorte,n,dev_tratados,dev_nunca,diferencia
2006,1,-1256.2875000000004,-6.92023913043478,-1249.3672608695656
2007,1,16.72200000000001,-2.2496695652173906,18.9716695652174
2010,2,53.915625000000006,27.115597826086955,26.80002717391305
2011,3,-0.9233333333333308,-13.117855072463767,12.194521739130437
2012,3,-172.88099999999997,-10.915199999999999,-161.96579999999997
2013,6,118.02681818181819,21.796916996047432,96.22990118577076
2014,10,-84.6405,-57.159666666666666,-27.480833333333337
2015,8,-205.29346153846154,4.491839464882945,-209.7853010033445
2016,7,-120.39061224489795,-46.563006211180124,-73.82760603371783
2017,11,311.46327272727274,77.86249855072464,233.6007741765481
2018,6,3218.3353125,195.87583152173914,3022.4594809782607
2019,7,599.1216806722688,116.53511508951406,482.5865655827547
2020,2,-56.317499999999995,46.13215942028985,-102.44965942028985
2021,5,-34.60073684210525,88.32902059496567,-122.92975743707092
2022,8,22.142250000000004,38.86648260869565,-16.724232608695644
2023,3,-2.695714285714286,40.8083933747412,-43.50410766045549
2024,2,35.66045454545454,-10.962620553359686,46.623075098814226
