anio,att,se
2010,0.0013201156388694911,3.4642469672980754e-4
2011,7.203093780310788e-4,3.633180203770386e-4
2012,6.361684458871127e-4,3.803988229660585e-4
2013,2.7408587468229613e-4,4.956338806703382e-4
2014,2.706317758598579e-4,4.6740073188106745e-4
2015,4.87025648314394e-4,6.16054845046262e-4
2016,-0.0011186304947818208,3.927359896484377e-4
2017,-0.0025432610305059626,7.087116474248244e-4
2018,-9.360908014742215e-4,9.768747959703029e-4
2019,-0.0029055689434375467,0.0010894684032289612
2020,-0.002757529797449978,7.028499874412428e-4
2021,-0.0017485904555398846,7.082501415417582e-4
2022,-0.0036146701199835955,9.564740970691255e-4
2023,-3.7146214362743864e-4,0.0016916924102228642
2024,-2.95352133791192e-4,7.981870778926984e-4
