COD_DANE,NOMBRE_MPI,DPTO_CNMBR,tratado,ps,fuera_soporte,ps_extremo
08758,SOLEDAD,ATLÁNTICO,1,0.004850196433166735,FALSE,TRUE
68176,CHIMA,SANTANDER,1,0.00851163055807284,FALSE,TRUE
25845,UNE,CUNDINAMARCA,1,0.011902150489704253,FALSE,FALSE
23672,SAN ANTERO,CÓRDOBA,1,0.012986703404248937,FALSE,FALSE
25754,SOACHA,CUNDINAMARCA,1,0.01921473787829594,FALSE,FALSE
15236,CHIVOR,BOYACÁ,1,0.02235609364985369,FALSE,FALSE
05792,TARSO,ANTIOQUIA,1,0.023496156706066536,FALSE,FALSE
05212,COPACABANA,ANTIOQUIA,1,0.03136323033218182,FALSE,FALSE
25793,TAUSA,CUNDINAMARCA,1,0.03236315675894218,FALSE,FALSE
08001,BARRANQUILLA,ATLÁNTICO,1,0.03920109597269493,FALSE,FALSE
19392,LA SIERRA,CAUCA,1,0.0394441613134637,FALSE,FALSE
44430,MAICAO,LA GUAJIRA,1,0.04066678537049856,FALSE,FALSE
73043,ANZOÁTEGUI,TOLIMA,1,0.04560810279555693,FALSE,FALSE
50124,CABUYARO,META,1,0.046259913725155616,FALSE,FALSE
47189,CIÉNAGA,MAGDALENA,1,0.05371470357883067,FALSE,FALSE
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,1,0.05574082858230436,FALSE,FALSE
05642,SALGAR,ANTIOQUIA,1,0.06052180943337603,FALSE,FALSE
05364,JARDÍN,ANTIOQUIA,1,0.0635447967318481,FALSE,FALSE
99624,SANTA ROSALÍA,VICHADA,1,0.06472907163296586,FALSE,FALSE
05679,SANTA BÁRBARA,ANTIOQUIA,1,0.06997819013175735,FALSE,FALSE
05079,BARBOSA,ANTIOQUIA,1,0.07804083990850096,FALSE,FALSE
68464,MOGOTES,SANTANDER,1,0.08069341012432023,FALSE,FALSE
68770,SUAITA,SANTANDER,1,0.08381397374592367,FALSE,FALSE
41668,SAN AGUSTÍN,HUILA,1,0.08382138636374616,FALSE,FALSE
05440,MARINILLA,ANTIOQUIA,1,0.08845396635177703,FALSE,FALSE
05615,RIONEGRO,ANTIOQUIA,1,0.08924894137864035,FALSE,FALSE
20570,PUEBLO BELLO,CESAR,1,0.09311799116598499,FALSE,FALSE
47551,PIVIJAY,MAGDALENA,1,0.0972495710694269,FALSE,FALSE
68500,OIBA,SANTANDER,1,0.09742156794452542,FALSE,FALSE
05021,ALEJANDRÍA,ANTIOQUIA,1,0.09792852540210446,FALSE,FALSE
85139,MANÍ,CASANARE,1,0.09976678304991501,FALSE,FALSE
50689,SAN MARTÍN,META,1,0.10323986399061458,FALSE,FALSE
50573,PUERTO LÓPEZ,META,1,0.10436075821207812,FALSE,FALSE
99001,PUERTO CARREÑO,VICHADA,1,0.11732556541403441,FALSE,FALSE
05034,ANDES,ANTIOQUIA,1,0.11892672005490809,FALSE,FALSE
66682,SANTA ROSA DE CABAL,RISARALDA,1,0.12736749031933936,FALSE,FALSE
52490,OLAYA HERRERA,NARIÑO,1,0.13847058798370632,FALSE,FALSE
50590,PUERTO RICO,META,1,0.13962188402959472,FALSE,FALSE
99524,LA PRIMAVERA,VICHADA,1,0.14581204127270145,FALSE,FALSE
05237,DONMATÍAS,ANTIOQUIA,1,0.14661710393325916,FALSE,FALSE
17541,PENSILVANIA,CALDAS,1,0.14746837652047934,FALSE,FALSE
91669,PUERTO SANTANDER,AMAZONAS,1,0.1479678420617084,FALSE,FALSE
27495,NUQUÍ,CHOCÓ,1,0.150192138373253,FALSE,FALSE
05107,BRICEÑO,ANTIOQUIA,1,0.15618007840000184,FALSE,FALSE
27205,CONDOTO,CHOCÓ,1,0.15624783876867548,FALSE,FALSE
05197,COCORNÁ,ANTIOQUIA,1,0.1623824661800949,FALSE,FALSE
05858,VEGACHÍ,ANTIOQUIA,1,0.17226581652461603,FALSE,FALSE
05579,PUERTO BERRÍO,ANTIOQUIA,1,0.19450743286423705,FALSE,FALSE
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,1,0.19719671566836627,FALSE,FALSE
27800,UNGUÍA,CHOCÓ,1,0.20445039981466473,FALSE,FALSE
05690,SANTO DOMINGO,ANTIOQUIA,1,0.2073215396447799,FALSE,FALSE
05670,SAN ROQUE,ANTIOQUIA,1,0.20828277587567695,FALSE,FALSE
27615,RIOSUCIO,CHOCÓ,1,0.21174337391002224,FALSE,FALSE
05893,YONDÓ,ANTIOQUIA,1,0.21790659095482515,FALSE,FALSE
99773,CUMARIBO,VICHADA,1,0.21804347485908984,FALSE,FALSE
52835,SAN ANDRÉS DE TUMACO,NARIÑO,1,0.22387783926394367,FALSE,FALSE
05310,GÓMEZ PLATA,ANTIOQUIA,1,0.22400525377623262,FALSE,FALSE
05686,SANTA ROSA DE OSOS,ANTIOQUIA,1,0.23555579560354303,FALSE,FALSE
05134,CAMPAMENTO,ANTIOQUIA,1,0.25093638375720945,FALSE,FALSE
97161,CARURÚ,VAUPÉS,1,0.2510901548088986,FALSE,FALSE
68081,BARRANCABERMEJA,SANTANDER,1,0.2520189868537384,FALSE,FALSE
05120,CÁCERES,ANTIOQUIA,1,0.2520819403079128,FALSE,FALSE
52001,PASTO,NARIÑO,1,0.2566808950811364,FALSE,FALSE
68190,CIMITARRA,SANTANDER,1,0.2571377007236596,FALSE,FALSE
68745,SIMACOTA,SANTANDER,1,0.26240979844772816,FALSE,FALSE
91405,LA CHORRERA,AMAZONAS,1,0.2650133316965431,FALSE,FALSE
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1,0.3015088640224918,FALSE,FALSE
05837,TURBO,ANTIOQUIA,1,0.30387715210127425,FALSE,FALSE
05031,AMALFI,ANTIOQUIA,1,0.3236474640497252,FALSE,FALSE
19318,GUAPI,CAUCA,1,0.3523421692244198,FALSE,FALSE
27600,RÍO QUITO,CHOCÓ,1,0.3659240330580608,FALSE,FALSE
27001,QUIBDÓ,CHOCÓ,1,0.3778472964075135,FALSE,FALSE
97511,PACOA,VAUPÉS,1,0.39303310139008923,FALSE,FALSE
27006,ACANDÍ,CHOCÓ,1,0.41900214872086,FALSE,FALSE
05480,MUTATÁ,ANTIOQUIA,1,0.42237970979734846,FALSE,FALSE
27025,ALTO BAUDÓ,CHOCÓ,1,0.4292888165475568,FALSE,FALSE
05756,SONSÓN,ANTIOQUIA,1,0.4320891163717875,FALSE,FALSE
